id,dataset,k=2,k=3,k=4,
0,sat_10pipe_d,0.277,0.617,9.255,
1,sat_10pipe,3.26,5.19,5.51,
2,sat_10pipe_p,1.352,2.309,2.858,
3,sat_11pipe_d,0.976,38.956,102.812,
4,sat_11pipe,4.897,11.54,33.957,
5,sat_11pipe_p,6.709,7.692,10.801,
6,sat_11pipe_kd,0.433,1.13,14.728,
7,sat_11pipe_k,3.033,5.858,6.427,
8,sat_11pipe_kp,1.867,3.068,5.27,
9,sat_6s10_d,0.046,0.077,0.102,
10,sat_6s10,0.102,0.16,0.283,
11,sat_6s10_p,0.119,0.162,0.193,
12,sat_6s11_d,0.059,0.096,0.106,
13,sat_6s11,0.089,0.194,0.24,
14,sat_6s11_p,0.142,0.147,0.236,
15,sat_6s12_d,0.046,0.095,0.106,
16,sat_6s12,0.068,0.159,0.187,
17,sat_6s12_p,0.168,0.192,0.259,
18,sat_130_d,0.063,0.093,0.154,
19,sat_130,0.072,0.219,0.209,
20,sat_130_p,0.069,0.239,0.255,
21,sat_131_d,0.089,0.092,0.201,
22,sat_131,0.152,0.233,0.301,
23,sat_131_p,0.221,0.192,0.355,
24,sat_133_d,0.046,0.09,0.135,
25,sat_133,0.14,0.266,0.284,
26,sat_133_p,0.227,0.172,0.367,
27,sat_153_d,0.052,0.11,0.15,
28,sat_153,0.089,0.178,0.238,
29,sat_153_p,0.088,0.158,0.269,
30,sat_16_d,0.049,0.068,0.141,
31,sat_16,0.122,0.248,0.254,
32,sat_16_p,0.139,0.182,0.234,
33,sat_184_d,0.053,0.087,0.124,
34,sat_184,0.082,0.223,0.183,
35,sat_184_p,0.098,0.115,0.198,
36,sat_9_d,0.049,0.103,0.125,
37,sat_9,0.065,0.177,0.199,
38,sat_9_p,0.131,0.238,0.227,
39,sat_9dlx_d,0.281,0.368,0.527,
40,sat_9dlx,0.886,2.161,2.384,
41,sat_9dlx_p,0.976,1.099,2.261,
42,sat_bug7,12.961,21.817,39.495,
43,sat_bug8_d,3.343,5.145,45.627,
44,sat_bug8,13.509,26.645,27.74,
45,sat_bug8_p,12.304,35.242,24.895,
46,sat_aaai_d,0.063,0.187,0.153,
47,sat_aaai,0.214,0.308,0.495,
48,sat_aaai_p,0.28,0.377,0.443,
49,sat_ACG_10p_d,0.324,0.556,0.795,
