id,dataset,k=2,k=3,k=4,
0,sat_10pipe_d,0.477,1.173,26.489,
1,sat_10pipe,5.449,8.22,8.985,
2,sat_10pipe_p,2.34,3.696,4.922,
3,sat_11pipe_d,1.903,104.175,277.675,
4,sat_11pipe,8.477,19.315,65.525,
5,sat_11pipe_p,12.749,13.189,20.119,
6,sat_11pipe_kd,0.79,2.014,40.903,
7,sat_11pipe_k,4.602,9.236,9.971,
8,sat_11pipe_kp,3.263,5.181,9.359,
9,sat_6s10_d,0.082,0.143,0.194,
10,sat_6s10,0.189,0.303,0.518,
11,sat_6s10_p,0.23,0.319,0.394,
12,sat_6s11_d,0.105,0.179,0.197,
13,sat_6s11,0.166,0.375,0.448,
14,sat_6s11_p,0.265,0.313,0.442,
15,sat_6s12_d,0.08,0.168,0.206,
16,sat_6s12,0.133,0.3,0.38,
17,sat_6s12_p,0.305,0.375,0.486,
18,sat_130_d,0.117,0.188,0.306,
19,sat_130,0.148,0.421,0.426,
20,sat_130_p,0.136,0.441,0.502,
21,sat_131_d,0.162,0.19,0.378,
22,sat_131,0.285,0.459,0.578,
23,sat_131_p,0.353,0.404,0.605,
24,sat_133_d,0.09,0.178,0.27,
25,sat_133,0.249,0.469,0.536,
26,sat_133_p,0.355,0.368,0.623,
27,sat_153_d,0.118,0.24,0.344,
28,sat_153,0.185,0.371,0.505,
29,sat_153_p,0.177,0.323,0.543,
30,sat_16_d,0.083,0.136,0.252,
31,sat_16,0.216,0.4,0.467,
32,sat_16_p,0.242,0.334,0.436,
33,sat_184_d,0.093,0.161,0.231,
34,sat_184,0.155,0.399,0.366,
35,sat_184_p,0.207,0.246,0.404,
36,sat_9_d,0.091,0.185,0.251,
37,sat_9,0.135,0.335,0.397,
38,sat_9_p,0.236,0.439,0.443,
39,sat_9dlx_d,0.475,0.728,1.099,
40,sat_9dlx,1.232,3.195,3.679,
41,sat_9dlx_p,1.681,1.823,3.91,
42,sat_bug7,19.79,35.946,67.108,
43,sat_bug8_d,5.37,8.336,92.916,
44,sat_bug8,22.858,41.743,44.1,
45,sat_bug8_p,18.512,56.321,38.152,
46,sat_aaai_d,0.138,0.379,0.357,
47,sat_aaai,0.37,0.588,0.805,
48,sat_aaai_p,0.387,0.633,0.741,
49,sat_ACG_10p_d,0.577,1.017,1.486,
50,sat_ACG_10p,1.084,1.786,2.445,
51,sat_ACG_10p_p,0.947,1.634,2.245,
52,sat_ACG_5p0_d,0.563,1.32,1.35,
53,sat_ACG_5p0,0.97,1.764,2.18,
54,sat_ACG_5p0_p,0.837,1.539,1.927,
55,sat_ACG_5p1_d,0.505,0.982,1.324,
56,sat_ACG_5p1,0.948,1.743,2.296,
57,sat_ACG_5p1_p,0.835,1.463,1.948,
58,sat_01_d,0.052,0.071,0.143,
59,sat_01,0.085,0.134,0.2,
60,sat_01_p,0.057,0.115,0.157,
61,sat_27_d,0.055,0.07,0.138,
62,sat_27,0.12,0.184,0.236,
63,sat_27_p,0.104,0.149,0.166,
64,sat_enc1_opt1_05_d,0.233,0.458,0.616,
65,sat_enc1_opt1_05,0.524,0.904,0.936,
66,sat_enc1_opt1_05_p,0.324,0.72,0.786,
67,sat_enc1_opt1_10_d,0.158,0.321,0.39,
68,sat_enc1_opt1_10,0.661,0.557,1.021,
69,sat_enc1_opt1_10_p,0.217,0.492,0.5,
70,sat_enc1_opt1_15_d,0.252,0.523,0.654,
71,sat_enc1_opt1_15,0.496,0.887,1.034,
72,sat_enc1_opt1_15_p,0.464,0.808,0.988,
73,sat_enc1_opt2_4_d,0.129,0.255,0.945,
74,sat_enc1_opt2_4,0.181,0.342,0.509,
75,sat_enc1_opt2_4_p,0.189,0.366,0.562,
76,sat_enc1_opt2_12_d,0.061,0.11,0.175,
77,sat_enc1_opt2_12,0.125,0.184,0.304,
78,sat_enc1_opt2_12_p,0.103,0.172,0.308,
79,sat_enc1_opt2_16_d,0.059,0.134,0.164,
80,sat_enc1_opt2_16,0.084,0.193,0.229,
81,sat_enc1_opt2_16_p,0.091,0.178,0.268,
82,sat_enc2_opt1_05_d,0.222,0.437,1.054,
83,sat_enc2_opt1_05,0.375,0.594,0.906,
84,sat_enc2_opt1_05_p,0.361,0.674,0.803,
85,sat_enc2_opt1_15_d,0.223,0.491,0.575,
86,sat_enc2_opt1_15,0.359,0.679,0.932,
87,sat_enc2_opt1_15_p,0.303,0.56,0.816,
88,sat_enc3_opt1_50_d,2.128,4.548,5.494,
89,sat_enc3_opt1_50,3.824,6.632,8.357,
90,sat_enc3_opt1_50_p,4.319,7.892,10.531,
91,sat_enc3_opt2_21_d,1.946,3.708,4.746,
92,sat_enc3_opt2_21,3.253,5.912,7.493,
93,sat_enc3_opt2_21_p,4.267,6.72,9.705,
94,sat_enc3_opt2_12_d,1.528,2.927,4.438,
95,sat_enc3_opt2_12,2.691,4.86,6.623,
96,sat_enc3_opt2_12_p,2.504,4.821,5.945,
97,sat_enc3_opt2_14_d,1.562,3.554,4.653,
98,sat_enc3_opt2_14,2.708,4.675,6.415,
99,sat_enc3_opt2_14_p,2.496,4.935,6.079,
100,sat_blocks_d,2.212,3.88,6.787,
101,sat_blocks,6.355,11.096,14.454,
102,sat_blocks_p,7.394,12.473,16.204,
103,sat_bob-opt_d,0.07,0.175,0.225,
104,sat_bob-opt,0.162,0.337,0.511,
105,sat_bob-opt_p,0.277,0.354,0.537,
106,sat_bob_d,0.054,0.102,0.16,
107,sat_bob,0.131,0.263,0.36,
108,sat_bob_p,0.121,0.179,0.289,
109,sat_c10_d,0.185,0.452,0.617,
110,sat_c10,0.708,0.925,1.699,
111,sat_c10_p,0.555,0.784,1.211,
112,sat_count_d,0.054,0.1,0.132,
113,sat_count,0.112,0.182,0.265,
114,sat_count_p,0.09,0.138,0.214,
115,sat_ctl_d,0.031,0.098,0.161,
116,sat_ctl,0.14,0.242,0.348,
117,sat_ctl_p,0.156,0.289,0.355,
118,sat_ctl_5_d,0.08,0.195,0.235,
119,sat_ctl_5,0.248,0.743,0.691,
120,sat_ctl_5_p,0.418,0.596,0.79,
121,sat_dated_11_d,0.29,0.793,0.914,
122,sat_dated_11,0.512,0.776,1.132,
123,sat_dated_11_p,0.537,0.995,1.053,
124,sat_dated_17_d,0.397,1.232,1.021,
125,sat_dated_17,0.832,1.484,1.93,
126,sat_dated_17_p,1.164,1.55,2.011,
127,sat_E02F20_d,0.161,1.263,0.593,
128,sat_E02F20,0.228,0.509,0.617,
129,sat_E02F20_p,0.221,0.507,0.67,
130,sat_E02F22_d,0.558,8.618,5.02,
131,sat_E02F22,0.623,1.31,1.848,
132,sat_E02F22_p,0.637,1.525,1.769,
133,sat_gss-18_d,0.066,0.102,0.134,
134,sat_gss-18,0.186,0.245,0.403,
135,sat_gss-18_p,0.143,0.235,0.328,
136,sat_gss-19_d,0.066,0.107,0.134,
137,sat_gss-19,0.172,0.251,0.396,
138,sat_gss-19_p,0.239,0.346,0.433,
139,sat_gss-20_d,0.061,0.119,0.145,
140,sat_gss-20,0.2,0.27,0.447,
141,sat_gss-20_p,0.195,0.326,0.351,
142,sat_gss-22_d,0.071,0.175,0.148,
143,sat_gss-22,0.148,0.337,0.342,
144,sat_gss-22_p,0.251,0.255,0.448,
145,sat_k45_d,0.318,0.529,0.669,
146,sat_k45,0.309,0.636,0.891,
147,sat_k45_p,0.244,0.487,0.671,
148,sat_itox_d,0.23,0.512,0.821,
149,sat_itox,0.459,0.779,1.416,
