id,dataset,k=2,k=3,k=4,
0,sat_10pipe_d,1.112,1.699,16.795,
1,sat_10pipe,4.633,7.576,7.751,
2,sat_10pipe_p,2.511,3.872,4.387,
3,sat_11pipe_d,5.189,74.618,190.971,
4,sat_11pipe,8.036,18.159,26.759,
5,sat_11pipe_p,6.769,9.574,12.864,
6,sat_11pipe_kd,1.807,3.035,27.753,
7,sat_11pipe_k,5.856,10.474,10.996,
8,sat_11pipe_kp,2.904,4.294,6.483,
9,sat_6s10_d,0.061,0.095,0.119,
10,sat_6s10,0.129,0.197,0.25,
11,sat_6s10_p,0.126,0.184,0.219,
12,sat_6s11_d,0.065,0.101,0.119,
13,sat_6s11,0.122,0.201,0.235,
14,sat_6s11_p,0.138,0.2,0.223,
15,sat_6s12_d,0.062,0.103,0.119,
16,sat_6s12,0.117,0.198,0.241,
17,sat_6s12_p,0.139,0.188,0.227,
18,sat_130_d,0.089,0.144,0.178,
19,sat_130,0.176,0.3,0.342,
20,sat_130_p,0.137,0.248,0.314,
21,sat_131_d,0.099,0.152,0.19,
22,sat_131,0.202,0.314,0.363,
23,sat_131_p,0.167,0.259,0.308,
24,sat_133_d,0.087,0.136,0.173,
25,sat_133,0.183,0.282,0.349,
26,sat_133_p,0.159,0.22,0.302,
27,sat_153_d,0.138,0.217,0.271,
28,sat_153,0.239,0.395,0.475,
29,sat_153_p,0.199,0.322,0.412,
30,sat_16_d,0.058,0.089,0.113,
31,sat_16,0.126,0.199,0.236,
32,sat_16_p,0.108,0.163,0.185,
33,sat_184_d,0.065,0.099,0.121,
34,sat_184,0.114,0.208,0.224,
35,sat_184_p,0.105,0.159,0.187,
36,sat_9_d,0.064,0.099,0.122,
37,sat_9,0.125,0.209,0.25,
38,sat_9_p,0.118,0.225,0.21,
39,sat_9dlx_d,0.658,0.934,1.091,
40,sat_9dlx,1.765,3.481,3.682,
41,sat_9dlx_p,1.161,1.671,2.19,
42,sat_bug7,26.263,37.782,67.525,
43,sat_bug8_d,14.845,18.305,55.599,
