id,dataset,bipart_cut2,bipart_time2,ghypart_cut2,ghypart_time2,bipart_cut3,bipart_time3,ghypart_cut3,ghypart_time3,bipart_cut4,bipart_time4,ghypart_cut4,ghypart_time4,hedges
0,sat_10pipe_d,4135,1.722,,,8352,2.276,,,11053,3.074,,,77639
1,sat_10pipe,48230,6.64,,,97670,11.424,,,119136,10.733,,,2082017
2,sat_10pipe_p,62705,6.441,,,304303,11.726,,,187892,10.844,,,2082017
3,sat_11pipe_d,3204,17.456,,,8387,18.905,,,9750,21.405,,,89315
4,sat_11pipe,55310,12.251,,,285110,24.45,,,246497,28.429,,,5584003
5,sat_11pipe_p,210539,19.924,,,283869,20.764,,,595069,26.409,,,5584003
6,sat_11pipe_kd,4735,2.721,,,8450,4.044,,,12136,3.941,,,104244
7,sat_11pipe_k,63660,7.734,,,140237,14.768,,,158728,15.285,,,3007883
8,sat_11pipe_kp,78222,5.286,,,356490,10.449,,,265374,9.781,,,3007883
9,sat_6s10_d,490,0.053,,,794,0.083,,,1170,0.1,,,33900
10,sat_6s10,2798,0.146,,,4276,0.243,,,5877,0.287,,,99184
11,sat_6s10_p,2395,0.14,,,4237,0.201,,,5402,0.253,,,99184
12,sat_6s11_d,521,0.053,,,1005,0.087,,,1384,0.104,,,33276
13,sat_6s11,2348,0.146,,,4113,0.26,,,5653,0.288,,,97312
14,sat_6s11_p,2927,0.112,,,5814,0.168,,,6149,0.229,,,97312
15,sat_6s12_d,473,0.055,,,1102,0.084,,,1441,0.102,,,34033
16,sat_6s12,2010,0.153,,,5295,0.269,,,4894,0.298,,,99580
17,sat_6s12_p,2419,0.135,,,5911,0.224,,,4931,0.252,,,99580
18,sat_130_d,474,0.08,,,601,0.119,,,1244,0.153,,,49327
19,sat_130,1913,0.177,,,5412,0.302,,,5382,0.34,,,144361
20,sat_130_p,2015,0.163,,,3814,0.288,,,5602,0.335,,,144361
21,sat_131_d,394,0.08,,,654,0.133,,,1100,0.151,,,49282
22,sat_131,1749,0.233,,,3352,0.354,,,4662,0.441,,,144226
23,sat_131_p,1832,0.119,,,3959,0.186,,,5469,0.252,,,144226
24,sat_133_d,512,0.077,,,964,0.126,,,1122,0.146,,,48215
25,sat_133,1763,0.219,,,3679,0.331,,,4809,0.419,,,140968
26,sat_133_p,1838,0.198,,,5568,0.305,,,4411,0.37,,,140968
27,sat_153_d,94,0.137,,,415,0.217,,,458,0.272,,,85646
28,sat_153,192,0.313,,,1653,0.504,,,2981,0.636,,,245440
29,sat_153_p,467,0.273,,,520,0.472,,,1710,0.519,,,245440
30,sat_16_d,460,0.049,,,1053,0.077,,,1120,0.094,,,31483
31,sat_16,1890,0.138,,,4055,0.21,,,5192,0.271,,,91888
32,sat_16_p,1979,0.128,,,4505,0.182,,,5216,0.241,,,91888
33,sat_184_d,704,0.053,,,1188,0.085,,,1648,0.098,,,33365
34,sat_184,2805,0.145,,,5646,0.216,,,6345,0.281,,,97516
35,sat_184_p,2240,0.141,,,4583,0.213,,,5499,0.254,,,97516
36,sat_9_d,410,0.053,,,802,0.084,,,1233,0.1,,,34317
37,sat_9,2276,0.163,,,4727,0.244,,,4806,0.318,,,100384
38,sat_9_p,2620,0.13,,,4068,0.2,,,5076,0.244,,,100384
39,sat_9dlx_d,1331,0.922,,,1793,1.237,,,2843,1.3,,,69789
40,sat_9dlx,37022,1.763,,,111717,3.479,,,132497,3.679,,,968295
41,sat_9dlx_p,57266,1.704,,,167774,3.024,,,192548,2.859,,,968295
42,sat_bug7,367093,26.254,,,873059,37.855,,,1320570,67.545,,,13378010
43,sat_bug8_d,3553,40.034,,,20334,46.504,,,21410,60.403,,,521179
44,sat_bug8,354839,28.329,,,695726,58.781,,,1058041,54.928,,,13378617
45,sat_bug8_p,370110,33.765,,,1544126,112.917,,,1954653,78.741,,,13378617
46,sat_aaai_d,1451,0.175,,,3612,0.289,,,4173,0.339,,,53919
47,sat_aaai,3180,0.494,,,5194,1.038,,,6895,1.094,,,308235
48,sat_aaai_p,2392,0.144,,,3915,0.247,,,6313,0.286,,,308235
49,sat_ACG_10p_d,2242,0.89,,,7129,1.475,,,6845,1.743,,,381708
50,sat_ACG_10p,5768,1.767,,,8121,2.864,,,14232,3.466,,,1632906
51,sat_ACG_10p_p,10620,1.766,,,15845,2.718,,,20120,3.387,,,1632906
52,sat_ACG_5p0_d,2111,0.727,,,3300,1.165,,,4997,1.409,,,324716
53,sat_ACG_5p0,6486,1.637,,,10978,2.63,,,16951,3.089,,,1390931
54,sat_ACG_5p0_p,9347,1.492,,,15219,2.423,,,19497,2.873,,,1390931
55,sat_ACG_5p1_d,2190,0.835,,,7341,1.407,,,6915,1.674,,,331196
56,sat_ACG_5p1,5506,1.868,,,11846,2.972,,,15941,3.637,,,1416850
57,sat_ACG_5p1_p,7080,1.728,,,13822,2.576,,,18698,3.279,,,1416850
58,sat_01_d,300,0.015,,,747,0.022,,,1045,0.024,,,7502
59,sat_01,1105,0.033,,,2886,0.054,,,3246,0.059,,,28770
60,sat_01_p,1276,0.033,,,3341,0.044,,,3926,0.059,,,28770
61,sat_27_d,211,0.013,,,376,0.02,,,658,0.021,,,7729
62,sat_27,2852,0.054,,,5126,0.076,,,5606,0.082,,,29194
63,sat_27_p,3201,0.035,,,4902,0.072,,,5468,0.06,,,29194
64,sat_enc1_opt1_05_d,828,0.235,,,1368,0.345,,,2014,0.422,,,59517
65,sat_enc1_opt1_05,3645,0.824,,,6393,1.373,,,8202,1.486,,,561784
66,sat_enc1_opt1_05_p,2918,0.781,,,4815,1.47,,,5081,1.478,,,561784
67,sat_enc1_opt1_10_d,451,0.107,,,803,0.173,,,1149,0.206,,,46993
68,sat_enc1_opt1_10,1854,0.328,,,3189,0.592,,,3148,0.598,,,270831
69,sat_enc1_opt1_10_p,3114,0.157,,,5514,0.239,,,4677,0.305,,,270831
70,sat_enc1_opt1_15_d,724,0.284,,,1411,0.45,,,1530,0.521,,,61642
71,sat_enc1_opt1_15,2235,0.868,,,4033,1.55,,,3554,1.671,,,644099
72,sat_enc1_opt1_15_p,2927,0.943,,,3700,1.388,,,4840,1.82,,,644099
73,sat_enc1_opt2_4_d,548,0.131,,,1072,0.218,,,1718,0.238,,,14636
74,sat_enc1_opt2_4,357,0.296,,,773,0.469,,,950,0.581,,,386163
75,sat_enc1_opt2_4_p,495,0.251,,,1363,0.394,,,1498,0.472,,,386163
76,sat_enc1_opt2_12_d,370,0.049,,,946,0.083,,,1261,0.092,,,9495
77,sat_enc1_opt2_12,382,0.115,,,729,0.165,,,785,0.215,,,147853
78,sat_enc1_opt2_12_p,789,0.174,,,1646,0.289,,,3120,0.375,,,147853
79,sat_enc1_opt2_16_d,398,0.052,,,899,0.085,,,1353,0.098,,,9643
80,sat_enc1_opt2_16,424,0.106,,,801,0.175,,,770,0.209,,,152744
81,sat_enc1_opt2_16_p,727,0.105,,,1266,0.173,,,1586,0.213,,,152744
82,sat_enc2_opt1_05_d,705,0.225,,,1321,0.342,,,1720,0.394,,,56533
83,sat_enc2_opt1_05,1440,0.684,,,2880,1.021,,,4145,1.354,,,526872
84,sat_enc2_opt1_05_p,1980,0.669,,,4274,1.105,,,6142,1.4,,,526872
85,sat_enc2_opt1_15_d,674,0.248,,,1215,0.398,,,1545,0.458,,,58752
86,sat_enc2_opt1_15,1488,0.837,,,2979,1.104,,,5391,1.61,,,580963
87,sat_enc2_opt1_15_p,2064,0.902,,,4298,1.289,,,6023,1.635,,,580963
88,sat_enc3_opt1_50_d,3958,4.997,,,6613,7.487,,,7965,9.155,,,1613160
89,sat_enc3_opt1_50,17953,18.545,,,54965,27.575,,,54888,34.092,,,6429816
90,sat_enc3_opt1_50_p,1980,7.891,,,5452,12.614,,,8650,15.846,,,6429816
91,sat_enc3_opt2_21_d,3230,4.324,,,3573,6.113,,,6588,8.005,,,1484061
92,sat_enc3_opt2_21,903,6.544,,,1867,10.543,,,6293,12.901,,,5933456
93,sat_enc3_opt2_21_p,4304,6.959,,,2529,11.23,,,14102,13.799,,,5933456
94,sat_enc3_opt2_12_d,2428,3.619,,,4042,5.831,,,4815,6.678,,,1236271
95,sat_enc3_opt2_12,1449,5.44,,,5052,8.863,,,6459,10.971,,,4932603
96,sat_enc3_opt2_12_p,12096,5.688,,,13064,9.455,,,20152,11.185,,,4932603
97,sat_enc3_opt2_14_d,3491,3.624,,,4129,5.864,,,6585,6.62,,,1240678
98,sat_enc3_opt2_14,1362,5.465,,,4267,8.357,,,4983,10.815,,,4950217
99,sat_enc3_opt2_14_p,7359,5.695,,,10940,9.388,,,16263,11.11,,,4950217
100,sat_blocks_d,1521,5.365,,,11578,8.644,,,10110,10.692,,,559571
101,sat_blocks,19987,14.57,,,43346,23.825,,,62347,29.007,,,10223027
102,sat_blocks_p,21984,15.551,,,54432,24.845,,,84823,31.08,,,10223027
103,sat_bob-opt_d,174,0.081,,,321,0.129,,,364,0.154,,,51144
104,sat_bob-opt,1427,0.165,,,2559,0.255,,,2092,0.336,,,152446
105,sat_bob-opt_p,421,0.107,,,6852,0.194,,,5344,0.241,,,152446
106,sat_bob_d,248,0.035,,,827,0.055,,,1008,0.067,,,26294
107,sat_bob,1919,0.105,,,4622,0.184,,,4404,0.215,,,77920
108,sat_bob_p,2039,0.081,,,4705,0.14,,,5107,0.169,,,77920
109,sat_c10_d,1496,0.218,,,1736,0.347,,,3398,0.386,,,133998
110,sat_c10,6731,0.697,,,14196,1.248,,,16012,1.337,,,398467
111,sat_c10_p,7909,0.588,,,13741,0.917,,,19766,1.095,,,398467
112,sat_count_d,117,0.029,,,235,0.047,,,385,0.054,,,18607
113,sat_count,379,0.053,,,866,0.086,,,994,0.109,,,55724
114,sat_count_p,424,0.05,,,726,0.083,,,1074,0.099,,,55724
115,sat_ctl_d,982,0.053,,,2285,0.104,,,2510,0.109,,,8806
116,sat_ctl,0,0.088,,,3187,0.148,,,3722,0.185,,,90812
117,sat_ctl_p,1710,0.125,,,20184,0.206,,,7018,0.276,,,90812
118,sat_ctl_5_d,2985,0.083,,,10628,0.565,,,10703,0.201,,,15232
119,sat_ctl_5,5096,0.244,,,10346,0.523,,,12531,0.537,,,134756
120,sat_ctl_5_p,4950,0.186,,,9677,0.338,,,12093,0.366,,,134756
121,sat_dated_11_d,3743,0.363,,,7774,0.617,,,8928,0.703,,,141860
122,sat_dated_11,10089,0.913,,,16021,1.473,,,18184,1.65,,,629461
123,sat_dated_11_p,8158,0.411,,,15321,0.598,,,14398,0.782,,,629461
124,sat_dated_17_d,6684,0.736,,,10969,1.294,,,13883,1.605,,,229544
125,sat_dated_17,16829,1.588,,,25032,2.697,,,27074,2.96,,,1070757
126,sat_dated_17_p,15439,1.536,,,25817,2.598,,,32133,2.83,,,1070757
127,sat_E02F20_d,384,0.158,,,710,0.242,,,1302,4.036,,,10420
128,sat_E02F20,190,0.275,,,4849,0.46,,,9502,0.549,,,395383
129,sat_E02F20_p,223,0.887,,,8507,1.441,,,10383,1.75,,,395383
130,sat_E02F22_d,486,1.02,,,956,1.369,,,1343,24.943,,,13574
131,sat_E02F22,243,0.895,,,7721,1.565,,,15307,1.836,,,1301188
132,sat_E02F22_p,367,2.548,,,9142,4.338,,,20812,5.232,,,1301188
133,sat_gss-18_d,284,0.054,,,410,0.086,,,563,0.106,,,31364
134,sat_gss-18,1253,0.103,,,3481,0.172,,,2989,0.197,,,94269
135,sat_gss-18_p,1454,0.084,,,2170,0.13,,,3132,0.168,,,94269
136,sat_gss-19_d,186,0.053,,,389,0.086,,,610,0.104,,,31435
137,sat_gss-19,1450,0.138,,,2323,0.192,,,3376,0.247,,,94548
138,sat_gss-19_p,1642,0.089,,,2565,0.139,,,3242,0.165,,,94548
139,sat_gss-20_d,311,0.056,,,485,0.086,,,703,0.107,,,31503
140,sat_gss-20,1622,0.116,,,3056,0.192,,,3127,0.225,,,94748
141,sat_gss-20_p,1475,0.088,,,2590,0.13,,,3027,0.166,,,94748
142,sat_gss-22_d,276,0.053,,,514,0.082,,,616,0.103,,,31616
143,sat_gss-22,1515,0.108,,,3209,0.184,,,3517,0.202,,,95110
144,sat_gss-22_p,1947,0.074,,,3161,0.117,,,3448,0.136,,,95110
145,sat_k45_d,183,0.301,,,945,0.506,,,1094,0.556,,,163622
146,sat_k45,1089,0.48,,,1285,0.778,,,2354,0.948,,,488120
147,sat_k45_p,841,0.37,,,1151,0.586,,,2027,0.716,,,488120
148,sat_itox_d,79,0.26,,,548,0.399,,,1111,0.523,,,152256
149,sat_itox,31,0.738,,,1483,1.195,,,4431,1.415,,,441729
150,sat_itox_p,149,0.536,,,3414,0.874,,,2734,1.171,,,441729
151,sat_k2fix_d,3482,0.128,,,7007,0.227,,,9396,0.32,,,11313
152,sat_k2fix,0,0.321,,,40,0.643,,,197,0.666,,,305160
153,sat_k2fix_p,1665,0.435,,,3722,0.632,,,8630,0.853,,,305160
154,sat_manol_c10_i_d,1360,0.457,,,2176,0.636,,,3528,0.815,,,252516
155,sat_manol_c10_i,7236,1.14,,,19555,2.013,,,18853,2.002,,,750877
156,sat_manol_c10_i_p,15781,0.84,,,16114,1.223,,,30184,1.522,,,750877
157,sat_manol_c10_d,3645,0.849,,,4140,1.382,,,7482,1.509,,,433601
158,sat_manol_c10,9628,2.591,,,22497,4.171,,,27391,5.214,,,1291714
159,sat_manol_c10_p,12314,1.588,,,28184,2.641,,,26750,3.024,,,1291714
