id,dataset,k=2,k=3,k=4,
0,sat_10pipe_d,0.0219036,0.0372876,0.826764,
1,sat_10pipe,0.0805535,0.14564,0.174819,
2,sat_10pipe_p,0.0555949,0.0829742,0.15163,
3,sat_11pipe_d,0.0648517,1.76641,4.96502,
4,sat_11pipe,0.150874,0.796943,1.47982,
5,sat_11pipe_p,0.188724,0.191114,0.377996,
6,sat_11pipe_kd,0.0379992,0.0536835,1.11955,
7,sat_11pipe_k,0.113941,0.232056,0.286962,
8,sat_11pipe_kp,0.0626282,0.0874501,0.158637,
9,sat_6s10_d,0.010015,0.0185218,0.0267639,
10,sat_6s10,0.0110541,0.0288745,0.0356099,
11,sat_6s10_p,0.0149442,0.0241572,0.037192,
12,sat_6s11_d,0.010678,0.026671,0.0257761,
13,sat_6s11,0.0156597,0.0286987,0.0437848,
14,sat_6s11_p,0.0129267,0.0257693,0.0309535,
15,sat_6s12_d,0.00981381,0.0163704,0.0324998,
16,sat_6s12,0.0120833,0.0273491,0.0424474,
17,sat_6s12_p,0.00993049,0.0232215,0.0302281,
18,sat_130_d,0.0109847,0.0236265,0.0315951,
19,sat_130,0.00715272,0.0271621,0.0305702,
20,sat_130_p,0.00807147,0.0289902,0.0347251,
21,sat_131_d,0.0104469,0.0184246,0.0310394,
22,sat_131,0.00911368,0.0220388,0.0346544,
23,sat_131_p,0.00864771,0.0263713,0.0324907,
24,sat_133_d,0.0114845,0.0212819,0.0308171,
25,sat_133,0.0124993,0.030399,0.034747,
26,sat_133_p,0.0182102,0.0204169,0.04294,
27,sat_153_d,0.0121631,0.0212784,0.0318337,
28,sat_153,0.00860094,0.021772,0.0293084,
29,sat_153_p,0.0121168,0.0244839,0.0324864,
30,sat_16_d,0.0140703,0.0179217,0.0314075,
31,sat_16,0.0170186,0.0263788,0.0423333,
32,sat_16_p,0.015746,0.0252081,0.0374792,
33,sat_184_d,0.0116607,0.0184439,0.0331008,
34,sat_184,0.0107007,0.0256062,0.038318,
35,sat_184_p,0.0121733,0.0197871,0.0295079,
36,sat_9_d,0.0124515,0.021279,0.0293728,
37,sat_9,0.0158652,0.024915,0.0453107,
38,sat_9_p,0.0137773,0.0232868,0.0351238,
39,sat_9dlx_d,0.0194982,0.0891694,0.0298119,
40,sat_9dlx,0.0367077,0.109448,0.102434,
41,sat_9dlx_p,0.0391358,0.0520992,0.0971798,
42,sat_bug7,0.285546,0.462476,0.976375,
43,sat_bug8_d,0.20251,3.60105,1.92161,
44,sat_bug8,0.29449,0.631098,0.663938,
45,sat_bug8_p,0.463597,0.742142,0.812357,
46,sat_aaai_d,0.00798405,0.0220916,0.040916,
47,sat_aaai,0.0135101,0.0359913,0.0376645,
48,sat_aaai_p,0.0147744,0.034714,0.041634,
49,sat_ACG_10p_d,0.0192494,0.0340069,0.0457305,
50,sat_ACG_10p,0.02171,0.0476454,0.0653026,
51,sat_ACG_10p_p,0.0317007,0.0531979,0.0769986,
52,sat_ACG_5p0_d,0.0150942,0.0343684,0.0461629,
53,sat_ACG_5p0,0.025391,0.0455365,0.061142,
54,sat_ACG_5p0_p,0.0241251,0.0423902,0.0702569,
55,sat_ACG_5p1_d,0.0162714,0.0268238,0.0593499,
56,sat_ACG_5p1,0.028665,0.0496732,0.0729815,
57,sat_ACG_5p1_p,0.0272676,0.0444212,0.0693093,
58,sat_01_d,0.00859488,0.0134482,0.0249377,
59,sat_01,0.0110686,0.0178123,0.0310682,
60,sat_01_p,0.00707381,0.0150763,0.0216942,
61,sat_27_d,0.0096208,0.0124522,0.0224278,
62,sat_27,0.0137739,0.0167998,0.028589,
63,sat_27_p,0.0098139,0.0142001,0.0209891,
64,sat_enc1_opt1_05_d,0.0172496,0.03067,0.0344894,
65,sat_enc1_opt1_05,0.0205934,0.0360323,0.0519481,
66,sat_enc1_opt1_05_p,0.014725,0.0346885,0.0367644,
67,sat_enc1_opt1_10_d,0.0145549,0.0254048,0.0324484,
68,sat_enc1_opt1_10,0.0314277,0.0284427,0.0557261,
69,sat_enc1_opt1_10_p,0.0189571,0.0312842,0.0467797,
70,sat_enc1_opt1_15_d,0.0173379,0.0301369,0.0388664,
71,sat_enc1_opt1_15,0.0164681,0.0371833,0.0429771,
72,sat_enc1_opt1_15_p,0.0262543,0.0337272,0.0567875,
73,sat_enc1_opt2_4_d,0.0121825,0.018345,0.0309124,
74,sat_enc1_opt2_4,0.0110949,0.0231255,0.0340752,
75,sat_enc1_opt2_4_p,0.0116557,0.022565,0.0439384,
76,sat_enc1_opt2_12_d,0.00881146,0.0164349,0.023059,
77,sat_enc1_opt2_12,0.0107834,0.0198679,0.029312,
78,sat_enc1_opt2_12_p,0.00996019,0.0148852,0.03079,
79,sat_enc1_opt2_16_d,0.00955625,0.0188922,0.0256691,
80,sat_enc1_opt2_16,0.00824225,0.0174493,0.0230328,
81,sat_enc1_opt2_16_p,0.00698576,0.0157072,0.0304639,
82,sat_enc2_opt1_05_d,0.0165196,0.0296221,0.031033,
83,sat_enc2_opt1_05,0.017528,0.0329414,0.0494948,
84,sat_enc2_opt1_05_p,0.0171972,0.0385567,0.0477421,
85,sat_enc2_opt1_15_d,0.0193508,0.0400362,0.0366068,
86,sat_enc2_opt1_15,0.0156539,0.0323614,0.0458243,
87,sat_enc2_opt1_15_p,0.0167482,0.0339657,0.0472409,
88,sat_enc3_opt1_50_d,0.0705079,0.105005,0.17537,
89,sat_enc3_opt1_50,0.0787118,0.129942,0.18734,
90,sat_enc3_opt1_50_p,0.108323,0.188422,0.253265,
91,sat_enc3_opt2_21_d,0.0645715,0.0893935,0.131001,
