id,dataset,bipart_cut2,bipart_time2,ghypart_cut2,ghypart_time2,bipart_cut3,bipart_time3,ghypart_cut3,ghypart_time3,bipart_cut4,bipart_time4,ghypart_cut4,ghypart_time4,hedges
0,sat_10pipe_d,,,4135,0.0320296,,,8239,0.0512637,,,11050,0.186697,0
1,sat_10pipe,,,48230,0.11078,,,97670,0.187362,,,119136,0.274314,0
2,sat_10pipe_p,,,62705,0.112073,,,304303,0.199213,,,187892,0.20443,0
3,sat_11pipe_d,,,4867,0.0514998,,,9689,0.128911,,,13532,0.173619,0
4,sat_11pipe,,,55310,0.173023,,,285110,0.347528,,,246497,0.568381,0
5,sat_11pipe_p,,,210539,0.304894,,,283869,0.38794,,,595069,0.534427,0
6,sat_11pipe_kd,,,4735,0.041982,,,7753,0.0691213,,,11976,0.279494,0
7,sat_11pipe_k,,,63660,0.114581,,,140237,0.222341,,,158728,0.278853,0
8,sat_11pipe_kp,,,78222,0.0997139,,,356490,0.192124,,,265374,0.194486,0
9,sat_6s10_d,,,477,0.0117464,,,1261,0.0186,,,1007,0.0192137,0
10,sat_6s10,,,2798,0.0119503,,,4276,0.0198535,,,5877,0.0347688,0
11,sat_6s10_p,,,2395,0.00852594,,,4237,0.0198523,,,5420,0.0273199,0
12,sat_6s11_d,,,521,0.0119602,,,1005,0.0194128,,,1384,0.0248075,0
13,sat_6s11,,,2348,0.0118433,,,4113,0.0231789,,,6288,0.0327146,0
14,sat_6s11_p,,,2927,0.0116988,,,5814,0.0149835,,,6149,0.0243218,0
15,sat_6s12_d,,,473,0.0145968,,,1102,0.0196318,,,1441,0.0227016,0
16,sat_6s12,,,2010,0.0134878,,,5295,0.0228196,,,4820,0.0362263,0
17,sat_6s12_p,,,2419,0.0147779,,,5911,0.0216862,,,4931,0.0353978,0
18,sat_130_d,,,474,0.0124506,,,601,0.0158804,,,1244,0.0276279,0
19,sat_130,,,1895,0.0107395,,,5061,0.0264393,,,5950,0.0282288,0
20,sat_130_p,,,2015,0.0116812,,,3814,0.0199552,,,5602,0.0239809,0
21,sat_131_d,,,394,0.0120244,,,654,0.024312,,,1100,0.0255092,0
22,sat_131,,,1532,0.0130626,,,3352,0.0218369,,,3893,0.0309925,0
23,sat_131_p,,,1829,0.0108787,,,4691,0.0137298,,,4284,0.0226353,0
24,sat_133_d,,,362,0.0120221,,,974,0.029041,,,1398,0.0228959,0
25,sat_133,,,1763,0.0117597,,,3679,0.0286891,,,5082,0.0334663,0
26,sat_133_p,,,1838,0.0152009,,,5568,0.023938,,,4411,0.0281926,0
27,sat_153_d,,,94,0.0132765,,,415,0.022379,,,458,0.0289136,0
28,sat_153,,,192,0.0123995,,,1653,0.0206916,,,2981,0.030481,0
29,sat_153_p,,,467,0.0122052,,,520,0.022185,,,1710,0.0241608,0
30,sat_16_d,,,460,0.00809069,,,1053,0.0238902,,,1120,0.0197239,0
31,sat_16,,,1890,0.0131745,,,4029,0.0201513,,,5192,0.0342675,0
