,matching,node merging,construction,total,matching %,merging %,construction %,others %,# of HEs,# of pins,avgHEdegree,nodemerging in remaining,nodemerging in coarsen,matching in remaining,coarsen %,Refine %,partition %,refine %,balance %,project %,edge cut,1-matching-merging-const-refine
sat_10pipe_d,0.0160479,0.0276848,0.0759578,0.132315,0.121286,0.209234,0.574068,0.0954128,77639,6164595,79.4008,0.491237,0.624927,0.284754,0.908881,0.0843105,0.00680846,0.0456554,0.0382551,0.000400015,edgecut:24972,0.0111015
sat_10pipe,0.0127162,0.00394291,0.0411011,0.122424,0.10387,0.0322069,0.335727,0.528196,2082017,6164595,2.96088,0.0484844,0.219555,0.156366,0.482418,0.417343,0.100239,0.191165,0.22561,0.00056773,edgecut:80589,0.1108531
sat_10pipe_p,0.00462522,0.00242218,0.0180787,0.0608704,0.0759846,0.0397923,0.297002,0.587221,2082017,6164595,2.96088,0.0566038,0.31275,0.108087,0.424236,0.456459,0.119305,0.133104,0.322749,0.000605614,edgecut:62837,0.1307621
sat_11pipe_d,0.0840012,0.143667,3.03,3.29887,0.0254636,0.0435505,0.918496,0.0124894,89315,16593705,185.789,0.534339,0.628451,0.312423,0.987795,0.0119298,0.000275493,0.0030444,0.00885789,2.76E-05,edgecut:46720,0.0005601
sat_11pipe,0.0180774,0.00763133,0.0679326,0.181529,0.0995842,0.0420393,0.374225,0.484151,5584003,16593705,2.97165,0.0671796,0.277439,0.159137,0.525752,0.3506,0.123648,0.201365,0.149027,0.000208716,edgecut:58655,0.1335515
sat_11pipe_p,0.0120059,0.00582374,0.042472,0.203056,0.059126,0.0286804,0.209164,0.70303,5584003,16593705,2.97165,0.036266,0.307499,0.0747639,0.302434,0.566919,0.130647,0.0970009,0.469792,0.000126073,edgecut:214473,0.1361106
sat_11pipe_kd,0.0180711,0.0332443,0.107058,0.182283,0.0991375,0.182377,0.587318,0.131167,104244,8917203,85.5416,0.441932,0.640024,0.240227,0.872272,0.123078,0.00465035,0.0465577,0.076217,0.000303352,edgecut:26616,0.0080895
sat_11pipe_k,0.0122561,0.00478669,0.0470154,0.131782,0.0930031,0.0363229,0.356768,0.513906,3007883,8917203,2.96461,0.0564693,0.260185,0.144587,0.496372,0.390578,0.113051,0.177223,0.212936,0.000418632,edgecut:79221,0.123328
sat_11pipe_kp,0.00827399,0.00370234,0.0279073,0.0705602,0.117261,0.0524706,0.39551,0.434758,3007883,8917203,2.96461,0.0868014,0.288247,0.193984,0.577543,0.308968,0.113489,0.168848,0.139626,0.000493423,edgecut:186481,0.1257904
sat_6s10_d,0.00219862,0.00276211,0.00378765,0.0161586,0.136066,0.170938,0.234405,0.458591,33900,231428,6.82678,0.223275,0.512364,0.177725,0.568031,0.386155,0.045814,0.212754,0.171037,0.00236457,edgecut:838,0.072436
