dataset,matching,node merging,construction,total,matching %,merging %,construction %,others %,# of HEs,# of pins,avgHEdegree,nodemerging in remaining,nodemerging in coarsen,matching in remaining,coarsen %,Refine %,partition %,refine %,balance %,project %,edge cut,1-matching-merging-const-refine
soc-sign,0.00209491,0.00440806,0.00456384,0.222915,0.0093978,0.0197746,0.0204734,0.950354,95318.0,841372.0,8.827,0.0201879,0.644026,0.00959423,0.0511781,0.944915,0.0039072,0.018969,0.925799,0.000146423,edgecut:1465,0.0054392
sat_manol_c10,0.00160794,0.00158214,0.0107561,0.0755702,0.0212774,0.0209361,0.142332,0.815454,1291714.0,3013998.0,2.33333,0.0244105,0.395213,0.0248084,0.195306,0.789023,0.0156705,0.0754003,0.712647,0.000976047,edgecut:23743,0.0264315
sat_L150_p,0.0101248,0.00285648,0.0311361,0.199571,0.0507327,0.0143131,0.156015,0.778939,2456708.0,7147094.0,2.90922,0.0169589,0.201455,0.0601109,0.227064,0.755779,0.0171577,0.0846106,0.670831,0.000336882,edgecut:182673,0.0231602
sat_L200_p,0.0128927,0.00378736,0.0420851,0.268151,0.0480799,0.014124,0.156946,0.780851,3513333.0,10259569.0,2.92018,0.0167533,0.209424,0.0570306,0.224388,0.754464,0.0211482,0.0766627,0.677569,0.000232585,edgecut:252687,0.0263861
IMDB,0.00425197,0.00675005,0.0127213,0.107038,0.0397238,0.063062,0.118848,0.778366,303617.0,3782463.0,12.458,0.0715677,0.576624,0.0450817,0.228212,0.738247,0.0335402,0.0625239,0.6752,0.000523476,edgecut:25333,0.0401192
sat_030_p,0.00613082,0.00484979,0.024474,0.105134,0.0583142,0.0461295,0.232788,0.662768,1934720.0,4605620.0,2.38051,0.0601262,0.398956,0.0760079,0.348414,0.636304,0.0152822,0.129979,0.505633,0.000692753,edgecut:15640,0.0264643
sat_L80_p,0.00409286,0.00138269,0.0117618,0.0612996,0.0667682,0.0225562,0.191874,0.718801,1183233.0,3415429.0,2.88652,0.0279118,0.223157,0.0826211,0.292952,0.619238,0.0878096,0.156092,0.462147,0.000999158,edgecut:61474,0.0995636
sat_11pipe_p,0.0120059,0.00582374,0.042472,0.203056,0.059126,0.0286804,0.209164,0.70303,5584003.0,16593705.0,2.97165,0.036266,0.307499,0.0747639,0.302434,0.566919,0.130647,0.0970009,0.469792,0.000126073,edgecut:214473,0.1361106
wbedu,0.0116747,0.0167166,0.0380474,0.169072,0.0690515,0.0988729,0.225037,0.607038,6920306.0,57156537.0,8.25925,0.127584,0.519719,0.089103,0.41528,0.556737,0.0279832,0.141184,0.412664,0.00288881,edgecut:10773,0.0503016
sat_L100_p,0.00671005,0.00187667,0.0195645,0.0779541,0.0860769,0.0240741,0.250974,0.638875,1522583.0,4407119.0,2.8945,0.0321405,0.196936,0.114918,0.373217,0.506636,0.120146,0.149444,0.35643,0.000761884,edgecut:76911,0.132239
sat_k100_1p,0.00465875,0.00467306,0.0365806,0.0959752,0.0485412,0.0486902,0.381146,0.521623,6356704.0,15957567.0,2.51035,0.0786781,0.415262,0.0784372,0.498398,0.491747,0.00985551,0.0957977,0.394614,0.00133468,edgecut:4439,0.0298756
sat_4.0-9_p,0.00575648,0.00403117,0.0229626,0.0803158,0.071673,0.0501914,0.285903,0.592232,1814189.0,5280501.0,2.91067,0.0702866,0.379485,0.100369,0.418165,0.486449,0.0953854,0.108004,0.377963,0.000481698,edgecut:145333,0.1057836
coPapersDBLP,0.00930061,0.0105524,0.0191754,0.0830133,0.112038,0.127117,0.230992,0.529853,540486.0,30491458.0,56.4149,0.1653,0.502879,0.145691,0.483771,0.457275,0.0589546,0.132724,0.324026,0.000524639,edgecut:194369,0.072578
sat_050,0.00626819,0.00506973,0.0293762,0.0778565,0.0805096,0.0651163,0.377312,0.477062,3224280.0,7675780.0,2.38062,0.104573,0.395368,0.129294,0.54201,0.440044,0.017946,0.153686,0.284999,0.00135881,edgecut:13197,0.0370181
kkt,0.00717245,0.00589158,0.0330755,0.0869762,0.0824645,0.0677379,0.380282,0.469515,2063494.0,14612663.0,7.08151,0.109304,0.398222,0.133068,0.550384,0.433369,0.016248,0.161193,0.270469,0.0017064,edgecut:19606,0.0361466
sat_030,0.00457965,0.00398067,0.0207314,0.0643619,0.0711546,0.0618482,0.322106,0.544891,1934720.0,4605620.0,2.38051,0.0912359,0.403521,0.104964,0.475378,0.431015,0.0936077,0.178517,0.25049,0.00200715,edgecut:14025,0.1138762
sat_10pipe,0.0127162,0.00394291,0.0411011,0.122424,0.10387,0.0322069,0.335727,0.528196,2082017.0,6164595.0,2.96088,0.0484844,0.219555,0.156366,0.482418,0.417343,0.100239,0.191165,0.22561,0.00056773,edgecut:80589,0.1108531
sat_enc3_opt1_50_p,0.00861344,0.00498314,0.0542692,0.122723,0.070186,0.0406047,0.442208,0.447001,6429816.0,16042866.0,2.49507,0.0727955,0.31667,0.125828,0.570432,0.416891,0.0126768,0.124388,0.291743,0.000759564,edgecut:28555,0.0301103
