id,dataset,part2_cut,part2_time,part3_cut,part3_time,part4_cut,part4_time,
0,sat_10pipe_d,2282,2.608,4508,2.992,5298,3.147,
1,sat_10pipe,57984,1.683,82002,2.494,162034,2.459,
2,sat_10pipe_p,105125,1.403,153735,2.624,211023,2.644,
3,sat_11pipe_d,2202,4.656,3743,5.442,6804,5.381,
4,sat_11pipe,54408,3.250,180126,4.417,353599,5.659,
5,sat_11pipe_p,262614,3.701,303942,5.377,873500,5.426,
6,sat_11pipe_kd,2843,3.549,5556,4.202,6382,4.127,
7,sat_11pipe_k,69289,1.977,107137,2.838,214234,2.924,
8,sat_11pipe_kp,144937,1.987,213866,3.301,327047,3.180,
9,sat_6s10_d,390,0.120,594,0.155,761,0.163,
10,sat_6s10,2675,0.191,3720,0.280,4801,0.308,
11,sat_6s10_p,2722,0.130,3745,0.195,4682,0.240,
12,sat_6s11_d,391,0.112,627,0.154,774,0.161,
13,sat_6s11,2542,0.178,3857,0.281,4889,0.335,
14,sat_6s11_p,2834,0.131,3843,0.195,4662,0.236,
15,sat_6s12_d,361,0.113,579,0.160,743,0.161,
16,sat_6s12,2418,0.189,3717,0.285,4848,0.309,
17,sat_6s12_p,2454,0.134,3813,0.193,4695,0.229,
18,sat_130_d,301,0.146,416,0.191,602,0.193,
19,sat_130,1589,0.204,2311,0.283,3405,0.324,
20,sat_130_p,1607,0.146,2203,0.201,3599,0.231,
21,sat_131_d,273,0.140,439,0.182,606,0.197,
22,sat_131,1607,0.209,2900,0.309,3738,0.352,
23,sat_131_p,1499,0.141,2406,0.199,3542,0.244,
24,sat_133_d,310,0.145,536,0.183,664,0.185,
25,sat_133,2027,0.197,3380,0.307,4427,0.349,
26,sat_133_p,2020,0.146,3332,0.217,4353,0.250,
27,sat_153_d,75,0.188,208,0.232,332,0.251,
28,sat_153,148,0.237,445,0.314,816,0.331,
29,sat_153_p,149,0.179,475,0.231,731,0.249,
30,sat_16_d,406,0.118,609,0.154,742,0.162,
31,sat_16,2229,0.173,3436,0.270,4621,0.310,
32,sat_16_p,2394,0.133,3417,0.198,4432,0.229,
33,sat_184_d,478,0.122,713,0.159,761,0.156,
34,sat_184,2633,0.195,3874,0.300,4907,0.335,
35,sat_184_p,2690,0.148,3901,0.221,4740,0.231,
36,sat_9_d,402,0.117,565,0.159,735,0.158,
