id,dataset,k=2,k=3,k=4,
0,sat_10pipe_d,0.968,1.048,1.133,
1,sat_10pipe,0.541,0.747,0.723,
2,sat_10pipe_p,0.475,0.704,0.764,
3,sat_11pipe_d,1.942,2.123,2.141,
4,sat_11pipe,1.143,1.468,1.598,
5,sat_11pipe_p,1.271,1.740,1.818,
6,sat_11pipe_kd,1.424,1.563,1.581,
7,sat_11pipe_k,0.757,0.960,1.023,
8,sat_11pipe_kp,0.716,1.028,1.015,
9,sat_6s10_d,0.078,0.069,0.070,
10,sat_6s10,0.092,0.127,0.135,
11,sat_6s10_p,0.064,0.080,0.114,
12,sat_6s11_d,0.071,0.074,0.087,
13,sat_6s11,0.081,0.112,0.126,
14,sat_6s11_p,0.056,0.091,0.099,
15,sat_6s12_d,0.056,0.070,0.073,
16,sat_6s12,0.083,0.109,0.127,
17,sat_6s12_p,0.078,0.094,0.094,
18,sat_130_d,0.079,0.092,0.093,
19,sat_130,0.095,0.123,0.132,
20,sat_130_p,0.065,0.102,0.105,
21,sat_131_d,0.072,0.087,0.086,
22,sat_131,0.097,0.128,0.137,
23,sat_131_p,0.072,0.085,0.112,
24,sat_133_d,0.077,0.081,0.087,
25,sat_133,0.090,0.123,0.133,
26,sat_133_p,0.068,0.091,0.105,
27,sat_153_d,0.089,0.103,0.115,
28,sat_153,0.112,0.128,0.135,
29,sat_153_p,0.084,0.107,0.106,
30,sat_16_d,0.059,0.077,0.075,
31,sat_16,0.079,0.107,0.114,
32,sat_16_p,0.063,0.090,0.102,
33,sat_184_d,0.061,0.072,0.082,
34,sat_184,0.095,0.117,0.121,
35,sat_184_p,0.081,0.090,0.103,
36,sat_9_d,0.063,0.067,0.084,
37,sat_9,0.094,0.122,0.116,
38,sat_9_p,0.056,0.077,0.089,
39,sat_9dlx_d,0.437,0.478,0.483,
40,sat_9dlx,0.319,0.403,0.477,
41,sat_9dlx_p,0.371,0.584,0.623,
42,sat_bug7,4.404,6.305,6.624,
43,sat_bug8_d,10.869,11.297,11.640,
44,sat_bug8,4.517,6.065,6.402,
45,sat_bug8_p,4.412,6.484,7.470,
46,sat_aaai_d,0.125,0.142,0.175,
47,sat_aaai,0.122,0.137,0.145,
48,sat_aaai_p,0.108,0.125,0.107,
49,sat_ACG_10p_d,0.540,0.576,0.594,
50,sat_ACG_10p,0.554,0.575,0.591,
51,sat_ACG_10p_p,0.399,0.423,0.431,
52,sat_ACG_5p0_d,0.460,0.494,0.502,
53,sat_ACG_5p0,0.461,0.487,0.502,
54,sat_ACG_5p0_p,0.334,0.355,0.359,
55,sat_ACG_5p1_d,0.473,0.511,0.517,
56,sat_ACG_5p1,0.470,0.500,0.509,
57,sat_ACG_5p1_p,0.342,0.362,0.372,
58,sat_01_d,0.043,0.062,0.037,
59,sat_01,0.041,0.047,0.077,
