id,dataset,k=2,k=3,k=4,
0,sat_10pipe_d,2.594,3.003,3.112,
1,sat_10pipe,1.631,2.490,2.401,
2,sat_10pipe_p,1.417,2.588,2.629,
3,sat_11pipe_d,4.670,5.383,5.366,
4,sat_11pipe,3.080,4.321,5.629,
5,sat_11pipe_p,3.586,5.365,5.470,
6,sat_11pipe_kd,3.520,4.204,4.126,
7,sat_11pipe_k,1.947,2.836,2.918,
8,sat_11pipe_kp,1.985,3.282,3.167,
9,sat_6s10_d,0.118,0.152,0.162,
10,sat_6s10,0.186,0.287,0.306,
11,sat_6s10_p,0.128,0.195,0.237,
12,sat_6s11_d,0.112,0.154,0.161,
13,sat_6s11,0.176,0.276,0.312,
14,sat_6s11_p,0.124,0.197,0.233,
15,sat_6s12_d,0.111,0.156,0.160,
16,sat_6s12,0.182,0.287,0.307,
17,sat_6s12_p,0.132,0.193,0.231,
18,sat_130_d,0.142,0.188,0.193,
19,sat_130,0.202,0.278,0.324,
20,sat_130_p,0.146,0.203,0.229,
21,sat_131_d,0.135,0.184,0.200,
22,sat_131,0.212,0.309,0.348,
23,sat_131_p,0.143,0.201,0.244,
24,sat_133_d,0.144,0.183,0.192,
25,sat_133,0.197,0.304,0.349,
26,sat_133_p,0.144,0.215,0.244,
27,sat_153_d,0.189,0.230,0.249,
28,sat_153,0.238,0.312,0.329,
29,sat_153_p,0.172,0.228,0.248,
30,sat_16_d,0.115,0.150,0.157,
31,sat_16,0.169,0.265,0.313,
32,sat_16_p,0.130,0.202,0.225,
33,sat_184_d,0.119,0.158,0.154,
34,sat_184,0.193,0.300,0.326,
35,sat_184_p,0.146,0.218,0.232,
36,sat_9_d,0.113,0.156,0.160,
37,sat_9,0.191,0.289,0.306,
38,sat_9_p,0.129,0.194,0.209,
39,sat_9dlx_d,1.131,1.325,1.327,
40,sat_9dlx,0.967,1.315,1.609,
41,sat_9dlx_p,1.251,1.950,2.067,
42,sat_bug7,10.877,18.151,18.807,
43,sat_bug8_d,24.459,26.282,27.518,
44,sat_bug8,11.079,17.564,17.605,
45,sat_bug8_p,11.474,19.349,22.575,
46,sat_aaai_d,0.283,0.419,0.473,
47,sat_aaai,0.242,0.342,0.342,
48,sat_aaai_p,0.221,0.285,0.330,
49,sat_ACG_10p_d,1.230,1.327,1.385,
50,sat_ACG_10p,1.208,1.291,1.323,
51,sat_ACG_10p_p,0.892,0.940,0.966,
52,sat_ACG_5p0_d,1.033,1.135,1.171,
53,sat_ACG_5p0,1.019,1.130,1.144,
54,sat_ACG_5p0_p,0.761,0.810,0.832,
55,sat_ACG_5p1_d,1.051,1.184,1.186,
56,sat_ACG_5p1,1.057,1.128,1.150,
57,sat_ACG_5p1_p,0.765,0.824,0.841,
58,sat_01_d,0.061,0.084,0.092,
59,sat_01,0.089,0.124,0.155,
60,sat_01_p,0.069,0.095,0.114,
61,sat_27_d,0.055,0.076,0.078,
62,sat_27,0.087,0.136,0.132,
63,sat_27_p,0.077,0.115,0.122,
64,sat_enc1_opt1_05_d,0.561,0.680,0.716,
65,sat_enc1_opt1_05,0.274,0.307,0.337,
66,sat_enc1_opt1_05_p,0.256,0.302,0.325,
67,sat_enc1_opt1_10_d,0.293,0.341,0.365,
68,sat_enc1_opt1_10,0.171,0.210,0.210,
69,sat_enc1_opt1_10_p,0.151,0.195,0.212,
70,sat_enc1_opt1_15_d,0.601,0.727,0.762,
71,sat_enc1_opt1_15,0.307,0.335,0.355,
72,sat_enc1_opt1_15_p,0.274,0.325,0.348,
73,sat_enc1_opt2_4_d,0.470,0.572,0.610,
74,sat_enc1_opt2_4,0.160,0.188,0.193,
75,sat_enc1_opt2_4_p,0.168,0.240,0.265,
76,sat_enc1_opt2_12_d,0.222,0.280,0.287,
77,sat_enc1_opt2_12,0.085,0.111,0.117,
78,sat_enc1_opt2_12_p,0.088,0.138,0.157,
79,sat_enc1_opt2_16_d,0.226,0.288,0.290,
80,sat_enc1_opt2_16,0.085,0.108,0.116,
81,sat_enc1_opt2_16_p,0.093,0.139,0.164,
82,sat_enc2_opt1_05_d,0.534,0.646,0.691,
83,sat_enc2_opt1_05,0.264,0.305,0.314,
84,sat_enc2_opt1_05_p,0.222,0.277,0.294,
85,sat_enc2_opt1_15_d,0.559,0.672,0.689,
86,sat_enc2_opt1_15,0.281,0.323,0.336,
87,sat_enc2_opt1_15_p,0.239,0.297,0.303,
88,sat_enc3_opt1_50_d,6.026,6.082,6.118,
89,sat_enc3_opt1_50,4.942,4.967,4.984,
90,sat_enc3_opt1_50_p,3.218,3.253,3.225,
91,sat_enc3_opt2_21_d,5.546,5.674,5.758,
92,sat_enc3_opt2_21,4.583,4.590,4.601,
93,sat_enc3_opt2_21_p,2.945,2.952,2.968,
94,sat_enc3_opt2_12_d,4.583,4.687,4.683,
95,sat_enc3_opt2_12,3.688,4.095,3.716,
96,sat_enc3_opt2_12_p,2.409,2.428,2.420,
97,sat_enc3_opt2_14_d,4.638,4.702,4.763,
98,sat_enc3_opt2_14,3.685,3.725,3.727,
99,sat_enc3_opt2_14_p,2.431,2.437,2.444,
100,sat_blocks_d,7.158,7.414,7.471,
101,sat_blocks,3.744,3.991,4.078,
102,sat_blocks_p,3.371,3.523,3.632,
103,sat_bob-opt_d,0.166,0.202,0.222,
104,sat_bob-opt,0.222,0.347,0.392,
105,sat_bob-opt_p,0.159,0.232,0.274,
106,sat_bob_d,0.111,0.143,0.165,
107,sat_bob,0.173,0.268,0.295,
108,sat_bob_p,0.122,0.194,0.199,
109,sat_c10_d,0.381,0.452,0.470,
110,sat_c10,0.513,0.694,0.742,
111,sat_c10_p,0.343,0.530,0.559,
112,sat_count_d,0.068,0.091,0.097,
113,sat_count,0.086,0.122,0.138,
114,sat_count_p,0.067,0.093,0.103,
115,sat_ctl_d,0.171,0.278,0.303,
116,sat_ctl,0.102,0.160,0.186,
117,sat_ctl_p,0.128,0.267,0.348,
118,sat_ctl_5_d,0.325,0.515,0.489,
