id,dataset,k=2,k=3,k=4,
0,sat_10pipe_d,2.608,3.367,3.128,
1,sat_10pipe,1.615,2.481,2.438,
2,sat_10pipe_p,1.403,2.575,2.615,
3,sat_11pipe_d,4.659,5.413,5.349,
4,sat_11pipe,3.041,4.348,5.592,
5,sat_11pipe_p,3.628,5.324,5.438,
6,sat_11pipe_kd,3.512,4.177,4.101,
7,sat_11pipe_k,1.985,2.822,2.909,
8,sat_11pipe_kp,1.962,3.266,3.253,
9,sat_6s10_d,0.118,0.150,0.159,
10,sat_6s10,0.189,0.281,0.306,
11,sat_6s10_p,0.132,0.195,0.235,
12,sat_6s11_d,0.111,0.152,0.168,
13,sat_6s11,0.175,0.278,0.317,
14,sat_6s11_p,0.126,0.194,0.235,
15,sat_6s12_d,0.113,0.162,0.160,
16,sat_6s12,0.185,0.291,0.307,
17,sat_6s12_p,0.136,0.190,0.233,
18,sat_130_d,0.145,0.192,0.194,
19,sat_130,0.202,0.285,0.341,
20,sat_130_p,0.147,0.203,0.231,
21,sat_131_d,0.137,0.183,0.198,
22,sat_131,0.214,0.306,0.353,
23,sat_131_p,0.143,0.201,0.244,
24,sat_133_d,0.140,0.187,0.184,
25,sat_133,0.218,0.305,0.350,
26,sat_133_p,0.149,0.216,0.245,
27,sat_153_d,0.191,0.230,0.249,
28,sat_153,0.238,0.314,0.329,
29,sat_153_p,0.170,0.231,0.246,
30,sat_16_d,0.113,0.152,0.160,
31,sat_16,0.169,0.269,0.305,
32,sat_16_p,0.129,0.199,0.229,
33,sat_184_d,0.135,0.152,0.155,
34,sat_184,0.216,0.299,0.340,
35,sat_184_p,0.142,0.217,0.234,
36,sat_9_d,0.115,0.158,0.159,
37,sat_9,0.195,0.285,0.307,
38,sat_9_p,0.131,0.192,0.216,
39,sat_9dlx_d,1.129,1.317,1.330,
40,sat_9dlx,0.968,1.326,1.620,
41,sat_9dlx_p,1.253,1.945,2.091,
42,sat_bug7,10.783,18.053,18.717,
43,sat_bug8_d,24.543,26.137,27.593,
44,sat_bug8,10.952,17.456,17.332,
45,sat_bug8_p,11.378,19.098,22.457,
46,sat_aaai_d,0.286,0.418,0.477,
47,sat_aaai,0.242,0.342,0.346,
48,sat_aaai_p,0.223,0.288,0.331,
49,sat_ACG_10p_d,1.218,1.316,1.381,
50,sat_ACG_10p,1.196,1.268,1.315,
51,sat_ACG_10p_p,0.878,0.920,0.966,
52,sat_ACG_5p0_d,1.028,1.133,1.173,
53,sat_ACG_5p0,1.010,1.108,1.130,
54,sat_ACG_5p0_p,0.754,0.804,0.833,
55,sat_ACG_5p1_d,1.036,1.172,1.176,
56,sat_ACG_5p1,1.033,1.113,1.145,
57,sat_ACG_5p1_p,0.757,0.819,0.835,
58,sat_01_d,0.059,0.084,0.091,
59,sat_01,0.090,0.126,0.159,
60,sat_01_p,0.066,0.096,0.114,
61,sat_27_d,0.055,0.073,0.074,
62,sat_27,0.082,0.134,0.132,
63,sat_27_p,0.077,0.115,0.121,
64,sat_enc1_opt1_05_d,0.556,0.680,0.711,
65,sat_enc1_opt1_05,0.278,0.304,0.340,
66,sat_enc1_opt1_05_p,0.256,0.304,0.325,
67,sat_enc1_opt1_10_d,0.293,0.344,0.367,
68,sat_enc1_opt1_10,0.172,0.211,0.213,
69,sat_enc1_opt1_10_p,0.151,0.195,0.215,
70,sat_enc1_opt1_15_d,0.617,0.724,0.768,
71,sat_enc1_opt1_15,0.309,0.342,0.354,
72,sat_enc1_opt1_15_p,0.273,0.325,0.350,
73,sat_enc1_opt2_4_d,0.467,0.575,0.615,
74,sat_enc1_opt2_4,0.161,0.188,0.194,
75,sat_enc1_opt2_4_p,0.168,0.241,0.266,
76,sat_enc1_opt2_12_d,0.224,0.281,0.286,
77,sat_enc1_opt2_12,0.088,0.111,0.116,
78,sat_enc1_opt2_12_p,0.091,0.139,0.157,
79,sat_enc1_opt2_16_d,0.225,0.288,0.290,
80,sat_enc1_opt2_16,0.087,0.108,0.118,
81,sat_enc1_opt2_16_p,0.094,0.139,0.165,
82,sat_enc2_opt1_05_d,0.533,0.649,0.688,
83,sat_enc2_opt1_05,0.264,0.311,0.317,
84,sat_enc2_opt1_05_p,0.225,0.276,0.295,
85,sat_enc2_opt1_15_d,0.555,0.670,0.695,
86,sat_enc2_opt1_15,0.284,0.320,0.333,
87,sat_enc2_opt1_15_p,0.236,0.300,0.303,
88,sat_enc3_opt1_50_d,5.931,6.028,7.469,
89,sat_enc3_opt1_50,4.868,4.934,4.890,
90,sat_enc3_opt1_50_p,3.170,3.207,3.194,
91,sat_enc3_opt2_21_d,5.454,5.567,5.649,
92,sat_enc3_opt2_21,4.478,4.540,4.496,
93,sat_enc3_opt2_21_p,2.853,2.892,2.902,
94,sat_enc3_opt2_12_d,4.487,4.584,4.617,
95,sat_enc3_opt2_12,3.602,3.634,3.945,
96,sat_enc3_opt2_12_p,2.357,2.378,2.372,
97,sat_enc3_opt2_14_d,4.535,4.637,4.635,
98,sat_enc3_opt2_14,3.634,3.644,3.652,
99,sat_enc3_opt2_14_p,2.373,2.391,2.717,
100,sat_blocks_d,6.996,7.218,7.382,
101,sat_blocks,3.671,3.920,4.004,
102,sat_blocks_p,3.333,3.472,3.532,
103,sat_bob-opt_d,0.164,0.207,0.218,
104,sat_bob-opt,0.219,0.347,0.395,
105,sat_bob-opt_p,0.161,0.232,0.273,
106,sat_bob_d,0.115,0.145,0.163,
107,sat_bob,0.176,0.266,0.295,
108,sat_bob_p,0.124,0.192,0.201,
109,sat_c10_d,0.379,0.452,0.473,
110,sat_c10,0.512,0.694,0.746,
111,sat_c10_p,0.339,0.529,0.561,
112,sat_count_d,0.069,0.090,0.097,
113,sat_count,0.082,0.123,0.138,
114,sat_count_p,0.067,0.095,0.105,
115,sat_ctl_d,0.173,0.282,0.302,
116,sat_ctl,0.100,0.163,0.189,
117,sat_ctl_p,0.130,0.270,0.349,
118,sat_ctl_5_d,0.327,0.519,0.495,
119,sat_ctl_5,0.263,0.493,0.496,
120,sat_ctl_5_p,0.172,0.349,0.412,
121,sat_dated_11_d,0.425,0.461,0.482,
122,sat_dated_11,0.441,0.504,0.520,
123,sat_dated_11_p,0.366,0.422,0.445,
124,sat_dated_17_d,0.700,0.764,0.796,
125,sat_dated_17,0.727,0.800,0.810,
126,sat_dated_17_p,0.601,0.657,0.679,
127,sat_E02F20_d,6.845,9.303,8.139,
128,sat_E02F20,0.324,0.454,0.583,
129,sat_E02F20_p,0.369,1.327,2.489,
130,sat_E02F22_d,36.772,56.860,51.941,
131,sat_E02F22,0.982,1.354,1.560,
132,sat_E02F22_p,0.849,1.614,5.685,
133,sat_gss-18_d,0.091,0.108,0.117,
134,sat_gss-18,0.117,0.159,0.170,
135,sat_gss-18_p,0.082,0.107,0.120,
136,sat_gss-19_d,0.087,0.112,0.122,
137,sat_gss-19,0.121,0.155,0.173,
138,sat_gss-19_p,0.083,0.108,0.118,
139,sat_gss-20_d,0.090,0.109,0.117,
140,sat_gss-20,0.120,0.149,0.171,
141,sat_gss-20_p,0.088,0.108,0.123,
142,sat_gss-22_d,0.094,0.111,0.122,
143,sat_gss-22,0.122,0.148,0.165,
144,sat_gss-22_p,0.087,0.111,0.119,
145,sat_k45_d,0.390,0.441,0.468,
146,sat_k45,0.410,0.473,0.498,
147,sat_k45_p,0.257,0.309,0.341,
148,sat_itox_d,0.324,0.354,0.371,
149,sat_itox,0.396,0.515,0.588,
150,sat_itox_p,0.262,0.318,0.373,
151,sat_k2fix_d,0.562,0.705,0.718,
152,sat_k2fix,0.101,0.114,0.123,
153,sat_k2fix_p,0.173,0.242,0.259,
154,sat_manol_c10_i_d,0.710,0.837,0.832,
155,sat_manol_c10_i,0.789,1.015,1.038,
156,sat_manol_c10_i_p,0.539,0.740,0.756,
157,sat_manol_c10_d,1.242,1.482,1.460,
158,sat_manol_c10,1.326,1.570,1.654,
159,sat_manol_c10_p,0.887,1.085,1.127,
160,sat_manol_c8_d,0.774,0.885,0.927,
161,sat_manol_c8,0.830,1.081,1.079,
162,sat_manol_c8_p,0.593,0.784,0.853,
163,sat_manol_g10_i_d,0.750,0.888,0.882,
164,sat_manol_g10_i,0.834,1.056,1.098,
165,sat_manol_g10_i_p,0.589,0.746,0.801,
166,sat_MD5-28-1_d,0.084,0.105,0.116,
167,sat_MD5-28-1,0.110,0.167,0.191,
168,sat_MD5-28-1_p,0.086,0.120,0.138,
169,sat_MD5-28-2_d,0.084,0.104,0.114,
170,sat_MD5-28-2,0.110,0.166,0.184,
171,sat_MD5-28-2_p,0.089,0.124,0.136,
172,sat_MD5-28-4_d,0.082,0.103,0.115,
173,sat_MD5-28-4,0.110,0.172,0.190,
174,sat_MD5-28-4_p,0.084,0.119,0.133,
175,sat_MD5-29-4_d,0.086,0.110,0.117,
176,sat_MD5-29-4,0.114,0.175,0.194,
177,sat_MD5-29-4_p,0.090,0.126,0.139,
178,sat_MD5-30-4_d,0.092,0.114,0.123,
179,sat_MD5-30-4,0.116,0.181,0.192,
180,sat_MD5-30-4_p,0.090,0.136,0.149,
181,sat_MD5-30-5_d,0.089,0.111,0.121,
182,sat_MD5-30-5,0.116,0.180,0.192,
183,sat_MD5-30-5_p,0.093,0.136,0.138,
184,sat_min_d,0.665,0.735,0.753,
185,sat_min,0.676,0.800,0.885,
186,sat_min_p,0.444,0.514,0.569,
187,sat_p30_d,1.128,1.291,1.346,
188,sat_p30,0.984,1.066,1.095,
189,sat_p30_p,0.715,0.807,0.876,
190,sat_p30_NOT_d,0.428,0.601,0.652,
191,sat_p30_NOT,0.328,0.422,0.473,
192,sat_p30_NOT_p,0.263,0.401,0.468,
193,sat_non_p30_d,1.126,1.290,1.354,
194,sat_non_p30,0.982,1.079,1.089,
195,sat_non_p30_p,0.707,0.814,0.876,
196,sat_post_d,1.243,1.267,1.284,
197,sat_post,0.868,0.908,0.914,
198,sat_post_p,0.624,0.658,0.674,
199,sat_post-ee_d,1.215,1.234,1.247,
200,sat_post-ee,0.835,0.873,0.880,
201,sat_post-ee_p,0.602,0.636,0.646,
