id,dataset,k=2,k=3,k=4,
0,sat_10pipe_d,0.894,0.979,1.088,
1,sat_10pipe,0.633,0.841,0.779,
2,sat_10pipe_p,0.572,1.250,0.828,
3,sat_11pipe_d,1.738,1.904,1.927,
4,sat_11pipe,1.036,1.482,0.000,
5,sat_11pipe_p,1.645,1.691,2.062,
6,sat_11pipe_kd,1.173,1.386,1.340,
7,sat_11pipe_k,0.728,1.282,1.007,
8,sat_11pipe_kp,0.793,1.042,0.000,
9,sat_6s10_d,0.233,0.155,0.096,
10,sat_6s10,0.177,0.217,0.280,
11,sat_6s10_p,0.070,0.111,0.098,
12,sat_6s11_d,0.104,0.187,0.166,
13,sat_6s11,0.239,0.185,0.149,
14,sat_6s11_p,0.073,0.093,0.121,
15,sat_6s12_d,0.076,0.106,0.083,
16,sat_6s12,0.121,0.229,0.172,
17,sat_6s12_p,0.076,0.092,0.118,
18,sat_130_d,0.121,0.125,0.140,
19,sat_130,0.134,0.154,0.000,
20,sat_130_p,0.090,0.158,0.168,
21,sat_131_d,0.117,0.232,0.225,
22,sat_131,0.164,0.211,0.173,
23,sat_131_p,0.106,0.100,0.135,
24,sat_133_d,0.209,0.200,0.264,
25,sat_133,0.142,0.150,0.161,
26,sat_133_p,0.132,0.111,0.118,
27,sat_153_d,0.133,0.180,0.240,
28,sat_153,0.173,0.182,0.177,
29,sat_153_p,0.111,0.130,0.130,
30,sat_16_d,0.066,0.080,0.081,
31,sat_16,0.093,0.129,0.140,
32,sat_16_p,0.071,0.104,0.094,
33,sat_184_d,0.075,0.081,0.093,
34,sat_184,0.099,0.130,0.140,
35,sat_184_p,0.078,0.097,0.109,
36,sat_9_d,0.070,0.080,0.079,
37,sat_9,0.103,0.129,0.149,
38,sat_9_p,0.071,0.091,0.098,
39,sat_9dlx_d,0.398,0.461,0.454,
40,sat_9dlx,0.367,0.504,0.540,
41,sat_9dlx_p,0.453,0.622,0.649,
42,sat_bug7,3.351,4.925,5.262,
43,sat_bug8_d,7.026,7.394,7.662,
44,sat_bug8,3.441,4.930,5.394,
