id,dataset,part2_cut,part2_time,part3_cut,part3_time,part4_cut,part4_time,
0,sat_10pipe_d,timeout,123.185,28412.0,264.854,33663.6,363.899,
1,sat_10pipe,timeout,123.185,147753.4,480.174,164248.4,788.467,
2,sat_10pipe_p,timeout,123.185,146812.6,290.786,214319.40000000002,422.76,
3,sat_11pipe_d,timeout,123.185,timeout,504.18999999999994,timeout,1350.65,
4,sat_11pipe,segfault,123.185,segfault,504.18999999999994,segfault,1350.65,
5,sat_11pipe_p,segfault,123.185,segfault,504.18999999999994,segfault,1350.65,
6,sat_11pipe_kd,timeout,123.185,timeout,504.18999999999994,49052.8,997.98,
7,sat_11pipe_k,timeout,123.185,timeout,504.18999999999994,225275.80000000002,1150.165,
8,sat_11pipe_kp,timeout,123.185,200969.6,338.834,299050.4,613.009,
9,sat_6s10_d,350.4,3.087,581.8,4.516,743.9999999999999,6.324,
10,sat_6s10,2257.4,5.681,3598.2,11.466,4182.6,11.103,
11,sat_6s10_p,1994.0,4.196,3360.0,6.836,4277.2,7.116,
12,sat_6s11_d,356.8,3.251,579.8,6.139,749.0000000000001,6.724,
13,sat_6s11,2320.8,6.446,3477.4,9.542,4339.0,10.824,
14,sat_6s11_p,2135.0,4.11,3413.2,7.959,4441.4,7.853,
15,sat_6s12_d,344.0,3.375,557.2,5.388,740.8,6.498,
16,sat_6s12,2211.0,6.142,3366.0,11.361,4223.4,10.152,
17,sat_6s12_p,2096.2,2.283,3339.8,6.839,4352.4,5.673,
18,sat_130_d,331.6,2.497,405.4,7.455,649.4,9.713,
19,sat_130,1296.6,11.259,2331.4,12.397,3253.2,19.745,
20,sat_130_p,1452.2,7.25,2986.4,11.145,3629.0,12.384,
21,sat_131_d,292.0,4.256,412.59999999999997,7.389,622.4000000000001,11.726,
22,sat_131,1407.4,6.857,2223.0,12.438,3363.6,18.677,
23,sat_131_p,1395.4,7.642,2771.3999999999996,10.599,3436.0,11.833,
24,sat_133_d,348.4,3.632,453.6,7.688,690.5999999999999,9.457,
25,sat_133,1943.6,7.126,3450.2,13.932,3908.7999999999997,18.813,
26,sat_133_p,2063.2,4.055,3198.2,6.768,4079.0,7.201,
27,sat_153_d,80.8,6.236,247.2,12.932,284.0,16.034,
28,sat_153,261.2,11.205,367.2,12.111,641.6000000000001,15.228,
29,sat_153_p,196.4,3.368,482.4,8.348,674.0,10.442,
30,sat_16_d,360.6,3.72,511.20000000000005,4.743,767.6,6.823,
31,sat_16,2022.8,2.738,3211.3999999999996,7.015,3939.0,10.652,
32,sat_16_p,1819.0,3.286,3282.4,7.523,4270.4,5.495,
33,sat_184_d,395.4,3.403,675.2,6.893,806.4000000000001,6.874,
34,sat_184,2187.0,5.648,3529.2,9.899,4648.6,11.877,
35,sat_184_p,2060.4,4.811,3448.6,8.168,4532.6,7.521,
36,sat_9_d,358.4,3.683,556.8,6.463,755.4000000000001,5.988,
37,sat_9,2050.4,5.16,3502.4,9.315,4243.2,9.273,
38,sat_9_p,2094.2,3.645,3316.0,8.302,4236.6,5.968,
39,sat_9dlx_d,7825.2,97.98,6749.4,71.253,11006.599999999999,105.443,
40,sat_9dlx,30860.6,116.3,81294.6,347.38,87648.6,262.003,
41,sat_9dlx_p,62878.4,71.633,95565.2,147.331,136668.4,129.019,
42,sat_bug7,segfault,123.185,segfault,504.18999999999994,segfault,1350.65,
43,sat_bug8_d,0,129.019,0,129.019,0,129.019,
44,sat_bug8,segfault,123.185,segfault,504.18999999999994,segfault,1350.65,
45,sat_bug8_p,timeout,123.185,segfault,504.18999999999994,segfault,1350.65,
46,sat_aaai_d,1101.4,14.566,1569.8000000000002,21.923,1712.4,48.786,
47,sat_aaai,2437.2,22.039,3563.0,32.72,4512.2,43.335,
