dataset,gHyPart,policy1,BiPart,policy2,Mt,HEs
sat_10pipe_d,4135,-HDH,4135,PP,2282,77639
sat_10pipe,48230,-HRH,48230,MDEG,57984,2082017
sat_10pipe_p,62705,-HSNWH,62705,MWD,105125,2082017
sat_11pipe_d,4867,-HDH,3204,PP,2202,89315
sat_11pipe,55310,-HRH,55310,MDEG,54408,5584003
sat_11pipe_p,210539,-HRH,210539,MDEG,262614,5584003
sat_11pipe_kd,4735,-HDH,4735,PP,2843,104244
sat_11pipe_k,63660,-HRH,63660,MDEG,69289,3007883
sat_11pipe_kp,78222,-HDH,78222,PP,144937,3007883
sat_6s10_d,477,-HDH,490,PP,390,33900
sat_6s10,2798,-HRH,2798,MDEG,2675,99184
sat_6s10_p,2395,-HRH,2395,MDEG,2722,99184
sat_6s11_d,521,-HSNWH,521,MWD,391,33276
sat_6s11,2348,-HSNWH,2348,MWD,2542,97312
sat_6s11_p,2927,-HSNWH,2927,MWD,2834,97312
sat_6s12_d,473,-HSNWH,473,MWD,361,34033
sat_6s12,2010,-HRH,2010,MDEG,2418,99580
sat_6s12_p,2419,-HRH,2419,MDEG,2454,99580
sat_130_d,474,-HSNWH,474,MWD,301,49327
sat_130,1895,-RAND,1913,RAND,1589,144361
sat_130_p,2015,-HSNWH,2015,MWD,1607,144361
sat_131_d,394,-HSNWH,394,MWD,273,49282
sat_131,1532,-HSNWH,1749,MWD,1607,144226
sat_131_p,1829,-LDH,1832,PLD,1499,144226
sat_133_d,362,-HDH,512,PP,310,48215
sat_133,1763,-HRH,1763,MDEG,2027,140968
sat_133_p,1838,-HRH,1838,MDEG,2020,140968
sat_153_d,94,-RAND,94,RAND,75,85646
sat_153,192,-HSNWH,192,MWD,148,245440
sat_153_p,467,-HRH,467,MDEG,149,245440
sat_16_d,460,-HSNWH,460,MWD,406,31483
sat_16,1890,-HRH,1890,MDEG,2229,91888
sat_16_p,1979,-HRH,1979,MDEG,2394,91888
sat_184_d,704,-HDH,704,PP,478,33365
sat_184,2805,-HRH,2805,MDEG,2633,97516
sat_184_p,2240,-HSNWH,2240,MWD,2690,97516
sat_9_d,402,-HDH,410,PP,402,34317
sat_9,2276,-HRH,2276,MDEG,2369,100384
sat_9_p,2620,-HSNWH,2620,MWD,2507,100384
sat_9dlx_d,1217,-HDH,1331,PP,939,69789
sat_9dlx,37022,-RAND,37022,RAND,32921,968295
sat_9dlx_p,57266,-LRH,57266,DEG,55428,968295
sat_bug7,367093,-RAND,367093,RAND,358940,13378010
sat_bug8_d,3553,-HSNWH,3553,MWD,4090,521179
sat_bug8,354839,-RAND,354839,RAND,334249,13378617
sat_bug8_p,370110,-HSNWH,370110,MWD,349047,13378617
sat_aaai_d,1451,-LRH,1451,DEG,801,53919
sat_aaai,3180,-HRH,3180,MDEG,2311,308235
sat_aaai_p,2392,-LDH,2392,PLD,2568,308235
sat_ACG_10p_d,2242,-HSNWH,2242,MWD,1813,381708
sat_ACG_10p,5716,-LDH,5768,PLD,3774,1632906
sat_ACG_10p_p,5484,-RAND,10620,RAND,4170,1632906
sat_ACG_5p0_d,2111,-HDH,2111,PP,1651,324716
sat_ACG_5p0,6231,-RAND,6486,RAND,3866,1390931
sat_ACG_5p0_p,7706,-RAND,9347,RAND,4117,1390931
sat_ACG_5p1_d,2190,-RAND,2190,RAND,1412,331196
sat_ACG_5p1,6088,-HDH,5506,PP,4077,1416850
sat_ACG_5p1_p,7080,-HDH,7080,PP,4223,1416850
sat_01_d,300,-HDH,300,PP,244,7502
sat_01,1109,-LDH,1105,PLD,1121,28770
sat_01_p,1051,-LSNWH,1276,WD,1142,28770
sat_27_d,211,-HDH,211,PP,127,7729
sat_27,2852,-HDH,2852,PP,2831,29194
sat_27_p,3226,-HDH,3201,PP,3309,29194
sat_enc1_opt1_05_d,828,-HDH,828,PP,720,59517
sat_enc1_opt1_05,3645,-HDH,3645,PP,1045,561784
sat_enc1_opt1_05_p,2918,-HRH,2918,MDEG,1595,561784
sat_enc1_opt1_10_d,451,-HDH,451,PP,587,46993
sat_enc1_opt1_10,1854,-HRH,1854,MDEG,795,270831
sat_enc1_opt1_10_p,2326,-LDH,3114,PLD,1278,270831
sat_enc1_opt1_15_d,730,-HDH,724,PP,792,61642
sat_enc1_opt1_15,2235,-HRH,2235,MDEG,912,644099
sat_enc1_opt1_15_p,2927,-HRH,2927,MDEG,1744,644099
