dataset,BiPart,Policy,Mt-KaHyPar-SDet,gHyPart-B,gHyPart,best,self_speedup,mt_speedup,gHyPart-B_speedup,gHyPart_speedup,best_speedup
sat_10pipe_d,0.381,RAND,2.664,0.0885933,0.0200104,0.0200104,1,0.143026883,2.863133215,19.39790136,19.39790136
sat_10pipe,5.624,RAND,1.663,0.12474,0.0869863,0.0831705,1,3.382846167,48.33566818,66.52456464,66.52456464
sat_10pipe_p,2.386,RAND,1.417,0.0602801,0.0555249,0.0547956,1,1.684045086,40.08029497,42.98696338,43.11965071
sat_11pipe_d,1.649,RAND,4.736,1.31043,0.0639058,0.0637088,1,0.348194745,0.494123852,25.4523621,25.68996004
sat_11pipe,8.696,RAND,3.142,0.181381,0.15711,0.148431,1,2.767999915,48.37937979,58.24514401,58.24514401
sat_11pipe_p,12.898,RAND,3.757,0.207551,0.191315,0.18241,1,3.432823136,66.66046473,69.46247099,71.00976123
sat_11pipe_kd,0.667,RAND,3.551,0.12541,0.0366226,0.0366226,1,0.187832162,3.603613338,18.72096776,18.72096776
sat_11pipe_k,4.702,RAND,1.96,0.129431,0.118884,0.118884,1,2.398968268,37.91415693,38.62805504,39.5834561
sat_11pipe_kp,3.3,RAND,2.006,0.0710609,0.0619661,0.0619661,1,1.645389389,47.03608523,53.59300498,53.59300498
sat_6s10_d,0.078,RAND,0.119,0.0172543,0.00994335,0.00935685,1,0.657184921,4.656243844,8.541533205,8.541533205
sat_6s10,0.182,RAND,0.186,0.0146593,0.0138077,0.0125761,1,0.976170739,11.94319763,13.03855688,13.50980203
sat_6s10_p,0.231,RAND,0.129,0.0157068,0.0151108,0.0140945,1,1.791091853,15.47469118,15.38645992,16.94380671
sat_6s11_d,0.109,RAND,0.115,0.0181917,0.0121579,0.00998501,1,0.944237819,5.795621913,10.62833964,10.62833964
sat_6s11,0.165,RAND,0.182,0.015468,0.0158113,0.0154571,1,0.906037637,10.318175,10.44297188,11.0694423
sat_6s11_p,0.267,RAND,0.127,0.0175569,0.0120296,0.0120296,1,2.102042578,14.85652602,20.22282983,22.21334798
sat_6s12_d,0.078,RAND,0.116,0.0191163,0.0115406,0.0109196,1,0.671609437,4.262760957,6.943949861,6.943949861
sat_6s12,0.127,RAND,0.186,0.0105837,0.0129799,0.0100453,1,0.68448814,12.12676769,9.757221881,12.12676769
sat_6s12_p,0.303,RAND,0.137,0.0185566,0.00945571,0.00945571,1,2.21053684,16.56135902,30.5095088,30.63539632
sat_130_d,0.116,RAND,0.146,0.0183317,0.00878471,0.00878471,1,0.794536303,6.246297991,11.96011919,12.1540038
sat_130,0.149,RAND,0.207,0.00759322,0.00697171,0.00695513,1,0.719950472,19.21839187,21.78540933,21.78540933
sat_130_p,0.132,RAND,0.147,0.00699898,0.00749607,0.00699898,1,0.898388503,18.98182634,17.32242545,19.0696606
sat_131_d,0.151,RAND,0.152,0.0260397,0.0103486,0.00880449,1,0.996616454,6.041280752,14.78956699,15.35109791
sat_131,0.281,RAND,0.212,0.0174953,0.0100418,0.00964777,1,1.325379697,16.96460375,26.85962263,28.14974059
sat_131_p,0.361,RAND,0.146,0.0165081,0.00915462,0.00868909,1,2.478459186,21.17811321,36.19914947,41.51477167
sat_133_d,0.085,RAND,0.142,0.0183993,0.0106871,0.0106871,1,0.599535264,4.275008801,7.593285749,7.662006364
sat_133,0.252,RAND,0.199,0.015785,0.0125399,0.0125399,1,1.26531284,15.01760994,19.85706068,20.62361895
sat_133_p,0.36,RAND,0.154,0.01663,0.0165039,0.0165039,1,2.343146045,18.82392311,20.09478038,22.26221175
sat_153_d,0.107,RAND,0.196,0.0170673,0.0114753,0.0111217,1,0.546426589,6.246278502,9.193229659,9.27024943
sat_153,0.18,RAND,0.24,0.00797248,0.00896223,0.00797248,1,0.750594042,22.65441818,19.60929568,22.65441818
sat_153_p,0.175,RAND,0.172,0.0101962,0.0114423,0.00945114,1,1.016717479,17.59906514,15.30844326,18.59632792
sat_16_d,0.091,RAND,0.115,0.0162891,0.0136826,0.0124854,1,0.7912846,5.323162778,6.496937158,7.503855002
sat_16,0.215,RAND,0.168,0.0171555,0.0197578,0.0171555,1,1.282098269,11.78870258,11.34756265,12.2239658
sat_16_p,0.246,RAND,0.131,0.0149528,0.0166017,0.0146016,1,1.878267785,14.8069677,14.87906226,16.59807031
sat_184_d,0.087,RAND,0.123,0.0192461,0.0100792,0.0100792,1,0.71005701,4.357385769,8.407746724,8.809502111
sat_184,0.157,RAND,0.194,0.0118406,0.00972022,0.00972022,1,0.807775002,12.95336788,15.3832587,15.3832587
sat_184_p,0.21,RAND,0.15,0.0107971,0.0109063,0.0107971,1,1.404571741,17.44765703,17.78651105,19.52689132
sat_9_d,0.084,RAND,0.121,0.0196709,0.0112077,0.0105924,1,0.693390481,3.858361391,8.128350525,8.128350525
sat_9,0.13,RAND,0.194,0.0105092,0.0168571,0.0100037,1,0.671596023,11.85720279,7.183114156,11.85720279
sat_9_p,0.246,RAND,0.13,0.0168941,0.0156618,0.0151416,1,1.885295148,15.25590856,16.70945918,16.70945918
sat_9dlx_d,0.436,RAND,1.146,0.234523,0.0173192,0.01654,1,0.380404793,0.884332907,25.99586213,25.99586213
sat_9dlx,1.254,RAND,0.982,0.044995,0.0401538,0.0401538,1,1.276719482,28.48964013,30.59954613,32.21182744
sat_9dlx_p,1.655,RAND,1.273,0.0425386,0.0430139,0.042077,1,1.300356557,38.32926109,38.12116773,39.85186184
