id,dataset,hedges,ghypart_k2,ghypart_k3,ghypart_k4,bipart_k1,bipart_k2,bipart_k3,mtkahypar_k2,mtkahypar_k3,mtkahypar_k4,hmetis_k2,hmetis_k3,hmetis_k4
0,sat_10pipe_d,77639,4135.0,8239.0,11050.0,4135.0,8352.0,11053.0,2300.0,4224.0,5211.0,22718,16339,23791
1,sat_10pipe,2082017,48230.0,97670.0,119136.0,48230.0,97670.0,119136.0,57987.0,81621.0,157841.0,45232,136511,151725
2,sat_10pipe_p,2082017,62705.0,304303.0,187892.0,62705.0,304303.0,187892.0,105125.0,155061.0,212435.0,136810,141776,172149
3,sat_11pipe_d,89315,4867.0,9689.0,13532.0,3204.0,8387.0,9750.0,2177.0,3924.0,6480.0,52325,31996,51305
4,sat_11pipe,5584003,55310.0,285110.0,246497.0,55310.0,285110.0,246497.0,53865.0,178702.0,363258.0,segfault,segfault,segfault
5,sat_11pipe_p,5584003,210539.0,283869.0,595069.0,210539.0,283869.0,595069.0,288032.0,337083.0,903157.0,segfault,segfault,segfault
6,sat_11pipe_kd,104244,4735.0,7753.0,11976.0,4735.0,8450.0,12136.0,2832.0,5474.0,6019.0,31953,32094,32807
7,sat_11pipe_k,3007883,63660.0,140237.0,158728.0,63660.0,140237.0,158728.0,69340.0,118134.0,214782.0,59659,193129,208411
8,sat_11pipe_kp,3007883,78222.0,356490.0,265374.0,78222.0,356490.0,265374.0,144937.0,210241.0,309896.0,186795,195353,288369
9,sat_6s10_d,33900,477.0,1261.0,1007.0,490.0,794.0,1170.0,390.0,595.0,740.0,346,509,631
10,sat_6s10,99184,2798.0,4276.0,5877.0,2798.0,4276.0,5877.0,2649.0,3976.0,4804.0,2148,3159,3904
11,sat_6s10_p,99184,2395.0,4237.0,5420.0,2395.0,4237.0,5402.0,2722.0,4028.0,4788.0,1930,3317,3921
12,sat_6s11_d,33276,521.0,1005.0,1384.0,521.0,1005.0,1384.0,391.0,591.0,750.0,356,497,643
13,sat_6s11,97312,2348.0,4113.0,6288.0,2348.0,4113.0,5653.0,2542.0,4007.0,4627.0,2120,3131,3926
14,sat_6s11_p,97312,2927.0,5814.0,6149.0,2927.0,5814.0,6149.0,2834.0,3815.0,5053.0,1957,3222,3961
15,sat_6s12_d,34033,473.0,1102.0,1441.0,473.0,1102.0,1441.0,361.0,555.0,688.0,340,495,628
16,sat_6s12,99580,2010.0,5295.0,4820.0,2010.0,5295.0,4894.0,2418.0,3795.0,4748.0,2150,3300,3905
17,sat_6s12_p,99580,2419.0,5911.0,4931.0,2419.0,5911.0,4931.0,2454.0,3810.0,4754.0,1927,3185,3992
