id,dataset,k=1,k=2,k=3,hedges
0,sat_10pipe_d,4135,8352,11053,77639
1,sat_10pipe,48230,97670,119136,2082017
2,sat_10pipe_p,62705,304303,187892,2082017
3,sat_11pipe_d,3204,8387,9750,89315
4,sat_11pipe,55310,285110,246497,5584003
5,sat_11pipe_p,210539,283869,595069,5584003
6,sat_11pipe_kd,4735,8450,12136,104244
7,sat_11pipe_k,63660,140237,158728,3007883
8,sat_11pipe_kp,78222,356490,265374,3007883
9,sat_6s10_d,490,794,1170,33900
10,sat_6s10,2798,4276,5877,99184
11,sat_6s10_p,2395,4237,5402,99184
12,sat_6s11_d,521,1005,1384,33276
13,sat_6s11,2348,4113,5653,97312
14,sat_6s11_p,2927,5814,6149,97312
15,sat_6s12_d,473,1102,1441,34033
16,sat_6s12,2010,5295,4894,99580
17,sat_6s12_p,2419,5911,4931,99580
18,sat_130_d,474,601,1244,49327
19,sat_130,1913,5412,5382,144361
20,sat_130_p,2015,3814,5602,144361
21,sat_131_d,394,654,1100,49282
22,sat_131,1749,3352,4662,144226
23,sat_131_p,1832,3959,5469,144226
24,sat_133_d,512,964,1122,48215
25,sat_133,1763,3679,4809,140968
26,sat_133_p,1838,5568,4411,140968
27,sat_153_d,94,415,458,85646
28,sat_153,192,1653,2981,245440
29,sat_153_p,467,520,1710,245440
30,sat_16_d,460,1053,1120,31483
31,sat_16,1890,4055,5192,91888
32,sat_16_p,1979,4505,5216,91888
33,sat_184_d,704,1188,1648,33365
34,sat_184,2805,5646,6345,97516
35,sat_184_p,2240,4583,5499,97516
36,sat_9_d,410,802,1233,34317
37,sat_9,2276,4727,4806,100384
38,sat_9_p,2620,4068,5076,100384
39,sat_9dlx_d,1331,1793,2843,69789
40,sat_9dlx,37022,111717,132497,968295
41,sat_9dlx_p,57266,167774,192548,968295
42,sat_bug7,367093,367093,367093,13378010
43,sat_bug8_d,3553,20334,21410,521179
44,sat_bug8,354839,354839,354839,13378617
45,sat_bug8_p,354839,354839,354839,0
46,sat_aaai_d,1451,3612,4173,53919
47,sat_aaai,3180,5194,6895,308235
48,sat_aaai_p,2392,3915,6313,308235
49,sat_ACG_10p_d,2242,7129,6845,381708
50,sat_ACG_10p,5768,8121,14232,1632906
51,sat_ACG_10p_p,10620,15845,20120,1632906
52,sat_ACG_5p0_d,2111,3300,4997,324716
53,sat_ACG_5p0,6486,10978,16951,1390931
54,sat_ACG_5p0_p,9347,15219,19497,1390931
55,sat_ACG_5p1_d,2190,7341,6915,331196
56,sat_ACG_5p1,5506,11846,15941,1416850
57,sat_ACG_5p1_p,7080,13822,18698,1416850
58,sat_01_d,300,747,1045,7502
59,sat_01,1105,2886,3246,28770
60,sat_01_p,1276,3341,3926,28770
61,sat_27_d,211,376,658,7729
62,sat_27,2852,5126,5606,29194
63,sat_27_p,3201,4902,5468,29194
64,sat_enc1_opt1_05_d,828,1368,2014,59517
65,sat_enc1_opt1_05,3645,6393,8202,561784
66,sat_enc1_opt1_05_p,2918,4815,5081,561784
67,sat_enc1_opt1_10_d,451,803,1149,46993
68,sat_enc1_opt1_10,1854,3189,3148,270831
69,sat_enc1_opt1_10_p,3114,5514,4677,270831
70,sat_enc1_opt1_15_d,724,1411,1530,61642
71,sat_enc1_opt1_15,2235,4033,3554,644099
72,sat_enc1_opt1_15_p,2927,3700,4840,644099
73,sat_enc1_opt2_4_d,548,1072,1718,14636
74,sat_enc1_opt2_4,357,773,950,386163
75,sat_enc1_opt2_4_p,495,1363,1498,386163
76,sat_enc1_opt2_12_d,370,946,1261,9495
77,sat_enc1_opt2_12,382,729,785,147853
78,sat_enc1_opt2_12_p,789,1646,3120,147853
79,sat_enc1_opt2_16_d,398,899,1353,9643
80,sat_enc1_opt2_16,424,801,770,152744
81,sat_enc1_opt2_16_p,727,1266,1586,152744
82,sat_enc2_opt1_05_d,705,1321,1720,56533
83,sat_enc2_opt1_05,1440,2880,4145,526872
84,sat_enc2_opt1_05_p,1980,4274,6142,526872
85,sat_enc2_opt1_15_d,674,1215,1545,58752
86,sat_enc2_opt1_15,1488,2979,5391,580963
87,sat_enc2_opt1_15_p,2064,4298,6023,580963
88,sat_enc3_opt1_50_d,3958,6613,7965,1613160
89,sat_enc3_opt1_50,17953,54965,54888,6429816
90,sat_enc3_opt1_50_p,1980,5452,8650,6429816
91,sat_enc3_opt2_21_d,3230,3573,6588,1484061
92,sat_enc3_opt2_21,903,1867,6293,5933456
93,sat_enc3_opt2_21_p,4304,2529,14102,5933456
94,sat_enc3_opt2_12_d,2428,4042,4815,1236271
95,sat_enc3_opt2_12,1449,5052,6459,4932603
96,sat_enc3_opt2_12_p,12096,13064,20152,4932603
97,sat_enc3_opt2_14_d,3491,4129,6585,1240678
98,sat_enc3_opt2_14,1362,4267,4983,4950217
99,sat_enc3_opt2_14_p,7359,10940,16263,4950217
100,sat_blocks_d,1521,11578,10110,559571
101,sat_blocks,19987,43346,62347,10223027
102,sat_blocks_p,21984,54432,84823,10223027
103,sat_bob-opt_d,174,321,364,51144
104,sat_bob-opt,1427,2559,2092,152446
105,sat_bob-opt_p,421,6852,5344,152446
106,sat_bob_d,248,827,1008,26294
107,sat_bob,1919,4622,4404,77920
108,sat_bob_p,2039,4705,5107,77920
109,sat_c10_d,1496,1736,3398,133998
110,sat_c10,6731,14196,16012,398467
111,sat_c10_p,7909,13741,19766,398467
112,sat_count_d,117,235,385,18607
113,sat_count,379,866,994,55724
114,sat_count_p,424,726,1074,55724
115,sat_ctl_d,982,2285,2510,8806
116,sat_ctl,0,3187,3722,90812
117,sat_ctl_p,1710,20184,7018,90812
118,sat_ctl_5_d,2985,10628,10703,15232
119,sat_ctl_5,5096,10346,12531,134756
120,sat_ctl_5_p,4950,9677,12093,134756
121,sat_dated_11_d,3743,7774,8928,141860
122,sat_dated_11,10089,16021,18184,629461
123,sat_dated_11_p,8158,15321,14398,629461
124,sat_dated_17_d,6684,10969,13883,229544
125,sat_dated_17,16829,25032,27074,1070757
126,sat_dated_17_p,15439,25817,32133,1070757
