id,dataset,hedges,k=2_cut,k=3_cut,k=4_cut,k=2_perf,k=3_perf,k=4_perf
0,sat_10pipe_d,77639,4135,7952,11053,0.0742956,0.143566,0.237722
1,sat_10pipe,2082017,48230,97670,119136,0.0867639,0.150875,0.238959
2,sat_10pipe_p,2082017,62705,304303,187892,0.0883504,0.160265,0.170699
3,sat_11pipe_d,89315,3213,8387,9868,1.04156,1.06735,1.18421
4,sat_11pipe,5584003,55310,285110,246497,0.136213,0.281434,0.490023
5,sat_11pipe_p,5584003,210539,283869,595069,0.266711,0.341269,0.452789
6,sat_11pipe_kd,104244,4735,7721,12215,0.0996367,0.136529,0.155612
7,sat_11pipe_k,3007883,63660,140237,158728,0.0897958,0.172654,0.230603
8,sat_11pipe_kp,3007883,78222,356490,265374,0.0858232,0.168611,0.164454
9,sat_6s10_d,33900,490,794,1170,0.0154503,0.0178206,0.021873
10,sat_6s10,99184,2798,4276,5877,0.00735168,0.0155037,0.028803
11,sat_6s10_p,99184,2395,4237,5402,0.00830749,0.0128571,0.0213799
12,sat_6s11_d,33276,521,1005,1384,0.014035,0.0221704,0.0262779
13,sat_6s11,97312,2348,4113,5653,0.0073616,0.0182858,0.0285022
14,sat_6s11_p,97312,2927,5814,6149,0.00543046,0.00901379,0.0191521
15,sat_6s12_d,34033,473,1102,1441,0.015802,0.0217448,0.0267004
16,sat_6s12,99580,2010,5295,4894,0.00752634,0.018345,0.0277717
17,sat_6s12_p,99580,2419,5911,4931,0.00899366,0.011944,0.0284107
18,sat_130_d,49327,474,601,1244,0.0138628,0.0176631,0.0288042
19,sat_130,144361,1913,5412,5382,0.0061344,0.0218637,0.0211103
20,sat_130_p,144361,2015,3814,5602,0.00658205,0.0130365,0.0159812
21,sat_131_d,49282,394,654,1100,0.0132522,0.0228555,0.024211
22,sat_131,144226,1749,3352,4662,0.0112079,0.013266,0.0256835
23,sat_131_p,144226,1832,3959,5469,0.00518182,0.00973638,0.0215261
24,sat_133_d,48215,512,964,1122,0.0167952,0.0211768,0.0278879
25,sat_133,140968,1763,3679,4809,0.00720473,0.0186567,0.024753
26,sat_133_p,140968,1838,5568,4411,0.00863331,0.0187902,0.0203746
27,sat_153_d,85646,94,415,458,0.0125508,0.0180924,0.0288962
28,sat_153,245440,192,1653,2981,0.00825955,0.0145598,0.0249286
29,sat_153_p,245440,467,520,1710,0.00775126,0.0148865,0.0162865
30,sat_16_d,31483,460,1053,1120,0.0133233,0.0228486,0.0229824
31,sat_16,91888,1890,4055,5192,0.0084977,0.01891,0.0219804
32,sat_16_p,91888,1979,4505,5216,0.010899,0.0138972,0.0206965
33,sat_184_d,33365,704,1188,1648,0.0139998,0.0235341,0.0236842
34,sat_184,97516,2805,5646,6345,0.0064345,0.0181559,0.0310236
35,sat_184_p,97516,2240,4583,5499,0.00940374,0.0111046,0.0202156
36,sat_9_d,34317,410,802,1233,0.0139572,0.0175924,0.022282
37,sat_9,100384,2276,4727,4806,0.00829494,0.0209197,0.0419214
38,sat_9_p,100384,2620,4068,5076,0.0071527,0.0113485,0.0206032
39,sat_9dlx_d,69789,1331,1793,2843,0.210517,0.235324,0.234986
40,sat_9dlx,968295,37022,111717,132497,0.0289328,0.0707799,0.0816826
41,sat_9dlx_p,968295,57266,167774,192548,0.038366,0.0691467,0.0817181
42,sat_bug7,13378010,367093,873059,1320570,0.324257,0.487878,0.950776
43,sat_bug8_d,521179,3553,20334,21410,11.8568,12.119,23.378
44,sat_bug8,13378617,354839,695726,1058041,0.336288,0.666044,0.672983
45,sat_bug8_p,13378617,370110,1544126,1954653,0.40589,1.41625,0.935124
46,sat_aaai_d,53919,1451,3612,4173,0.00749846,0.0149799,0.0164547
47,sat_aaai,308235,3180,5194,6895,0.0111392,0.0419788,0.0510295
48,sat_aaai_p,308235,2392,3915,6313,0.0068087,0.0120913,0.0184975
49,sat_ACG_10p_d,381708,2242,7129,6845,0.0100331,0.0204659,0.0386942
50,sat_ACG_10p,1632906,5768,8121,14232,0.016679,0.0350371,0.0499984
51,sat_ACG_10p_p,1632906,10620,15845,20120,0.0164127,0.0311561,0.0475793
52,sat_ACG_5p0_d,324716,2111,3300,4997,0.0103103,0.0182966,0.0369544
53,sat_ACG_5p0,1390931,6486,10978,16951,0.0223208,0.0345924,0.0458915
54,sat_ACG_5p0_p,1390931,9347,15219,19497,0.0185346,0.0306768,0.0437227
55,sat_ACG_5p1_d,331196,2190,7341,6915,0.0117083,0.0187485,0.0309011
56,sat_ACG_5p1,1416850,5506,11846,15941,0.0243533,0.0375915,0.0627065
57,sat_ACG_5p1_p,1416850,7080,13822,18698,0.0240878,0.0343664,0.0505714
58,sat_01_d,7502,300,747,1045,0.00987082,0.00892541,0.0134236
59,sat_01,28770,1105,2886,3246,0.00577091,0.0129384,0.0131885
60,sat_01_p,28770,1276,3341,3926,0.00735053,0.00992829,0.0151523
