id,dataset,hedges,k=2,k=3,k=4,
0,sat_10pipe_d,2082017,24972,28271,47316,
1,sat_10pipe,155278,80589,146255,176615,
2,sat_10pipe_p,77639,62837,155027,184516,
3,sat_11pipe_d,5584003,46720,64659,77565,
4,sat_11pipe,178630,58655,308466,278710,
5,sat_11pipe_p,89315,214473,426332,724825,
6,sat_11pipe_kd,3007883,26616,45294,53116,
7,sat_11pipe_k,208488,79221,193650,171869,
8,sat_11pipe_kp,104244,186481,211074,304962,
9,sat_6s10_d,99184,838,1859,1721,
10,sat_6s10,67800,2452,5858,6366,
11,sat_6s10_p,33900,4049,6885,7824,
12,sat_6s11_d,97312,1494,1472,2412,
13,sat_6s11,66552,4430,6349,7503,
14,sat_6s11_p,33276,7238,6486,10353,
15,sat_6s12_d,99580,1145,1622,2331,
16,sat_6s12,68066,3650,7499,7659,
17,sat_6s12_p,34033,6786,7267,9256,
18,sat_130_d,144361,545,1300,1637,
19,sat_130,98654,1913,5412,5382,
20,sat_130_p,49327,4020,5624,8458,
21,sat_131_d,144226,515,1091,1661,
22,sat_131,98564,1768,2860,4119,
23,sat_131_p,49282,1855,5550,6178,
24,sat_133_d,140968,766,1448,1416,
25,sat_133,96430,2234,4981,5234,
26,sat_133_p,48215,4060,5559,7915,
27,sat_153_d,245440,94,415,458,
28,sat_153,171292,232,1077,1003,
29,sat_153_p,85646,196,2444,970,
30,sat_16_d,91888,965,1334,2121,
31,sat_16,62966,4582,5642,8373,
32,sat_16_p,31483,6366,7723,8792,
33,sat_184_d,97516,983,1712,2303,
34,sat_184,66730,3473,7280,7218,
35,sat_184_p,33365,6387,7872,9612,
36,sat_9_d,100384,896,1213,1815,
37,sat_9,68634,2746,5755,6539,
38,sat_9_p,34317,4729,7436,8219,
39,sat_9dlx_d,968295,14945,16374,26260,
40,sat_9dlx,139578,37022,111717,132497,
41,sat_9dlx_p,69789,67958,139615,139046,
42,sat_bug7,1042294,367093,873059,1320570,
43,sat_bug8_d,13378617,74087,129362,175194,
44,sat_bug8,1042358,354839,695726,1058041,
45,sat_bug8_p,521179,398696,1358857,2009828,
46,sat_aaai_d,308235,2122,3361,4907,
47,sat_aaai,107838,6058,6024,8444,
48,sat_aaai_p,53919,4786,6245,10525,
49,sat_ACG_10p_d,1632906,3397,7047,8639,
50,sat_ACG_10p,763416,8523,12598,16624,
51,sat_ACG_10p_p,381708,10620,15845,20120,
52,sat_ACG_5p0_d,1390931,2808,5529,8989,
53,sat_ACG_5p0,649432,6486,10978,16951,
54,sat_ACG_5p0_p,324716,9347,15219,19497,
55,sat_ACG_5p1_d,1416850,2190,7341,6915,
56,sat_ACG_5p1,662392,6493,11589,16719,
57,sat_ACG_5p1_p,331196,8127,14247,20412,
58,sat_01_d,28770,564,1025,1489,
59,sat_01,15004,1258,2866,3312,
60,sat_01_p,7502,1267,2064,3228,
61,sat_27_d,29194,975,1082,1585,
62,sat_27,15458,3465,5462,5696,
63,sat_27_p,7729,3555,5373,5650,
64,sat_enc1_opt1_05_d,561784,2124,4376,4647,
65,sat_enc1_opt1_05,118700,4608,7203,8898,
66,sat_enc1_opt1_05_p,59517,6552,10336,12109,
67,sat_enc1_opt1_10_d,270831,1986,2834,3518,
68,sat_enc1_opt1_10,93632,3773,5733,6839,
69,sat_enc1_opt1_10_p,46993,5913,8093,9667,
70,sat_enc1_opt1_15_d,644099,2668,3599,5284,
71,sat_enc1_opt1_15,122885,4531,6746,8387,
72,sat_enc1_opt1_15_p,61642,6943,10490,11314,
73,sat_enc1_opt2_4_d,386163,966,1461,1969,
74,sat_enc1_opt2_4,28738,357,773,950,
75,sat_enc1_opt2_4_p,14636,600,1005,1615,
76,sat_enc1_opt2_12_d,147853,480,826,1128,
77,sat_enc1_opt2_12,18634,382,729,785,
78,sat_enc1_opt2_12_p,9495,889,1098,1777,
79,sat_enc1_opt2_16_d,152744,668,1098,1264,
80,sat_enc1_opt2_16,18930,424,801,770,
81,sat_enc1_opt2_16_p,9643,727,1266,1586,
82,sat_enc2_opt1_05_d,526872,2453,3671,4029,
83,sat_enc2_opt1_05,112732,2561,5986,5905,
84,sat_enc2_opt1_05_p,56533,2946,6204,7095,
85,sat_enc2_opt1_15_d,580963,2113,3914,4507,
86,sat_enc2_opt1_15,117116,2376,4129,5001,
87,sat_enc2_opt1_15_p,58752,3044,7112,7791,
88,sat_enc3_opt1_50_d,6429816,8218,26603,23459,
89,sat_enc3_opt1_50,3226318,10256,13848,17389,
90,sat_enc3_opt1_50_p,1613160,28555,92255,67411,
91,sat_enc3_opt2_21_d,5933456,8383,12355,18621,
92,sat_enc3_opt2_21,2968120,903,1867,6293,
93,sat_enc3_opt2_21_p,1484061,24424,49916,50051,
94,sat_enc3_opt2_12_d,4932603,12676,10738,22790,
95,sat_enc3_opt2_12,2472540,1449,5052,6459,
96,sat_enc3_opt2_12_p,1236271,17345,25998,26015,
97,sat_enc3_opt2_14_d,4950217,5431,10765,15688,
98,sat_enc3_opt2_14,2481354,1362,4267,4983,
99,sat_enc3_opt2_14_p,1240678,12560,19863,16641,
100,sat_blocks_d,10223027,4110,10686,15903,
101,sat_blocks,1119142,19987,43346,62347,
102,sat_blocks_p,559571,21984,54432,84823,
103,sat_bob-opt_d,152446,139,656,894,
104,sat_bob-opt,102288,334,1803,2312,
105,sat_bob-opt_p,51144,638,1533,4618,
106,sat_bob_d,77920,1070,1678,2035,
107,sat_bob,52588,2893,3946,5045,
108,sat_bob_p,26294,3098,4957,5363,
109,sat_c10_d,398467,2447,5151,6951,
110,sat_c10,267996,9756,14370,22558,
111,sat_c10_p,133998,20686,21820,29584,
112,sat_count_d,55724,165,317,679,
113,sat_count,37213,1131,812,2214,
114,sat_count_p,18607,1149,2047,2282,
115,sat_ctl_d,90812,1596,1080,3540,
116,sat_ctl,17612,558,344,3668,
117,sat_ctl_p,8806,196,1114,20513,
118,sat_ctl_5_d,134756,4052,6194,9451,
119,sat_ctl_5,30464,5096,10346,12531,
120,sat_ctl_5_p,15232,6075,14200,13144,
121,sat_dated_11_d,629461,3743,7774,8928,
122,sat_dated_11,283720,11485,17421,19004,
123,sat_dated_11_p,141860,16534,21561,25899,
124,sat_dated_17_d,1070757,7233,11827,14890,
125,sat_dated_17,459088,20591,26722,29575,
126,sat_dated_17_p,229544,27142,32739,41391,
127,sat_E02F20_d,395383,1297,2135,2237,
128,sat_E02F20,20840,190,4849,9502,
129,sat_E02F20_p,10420,709,10405,11273,
130,sat_E02F22_d,1301188,1863,2864,3315,
131,sat_E02F22,27148,243,7721,15307,
132,sat_E02F22_p,13574,253,14070,17030,
133,sat_gss-18_d,94269,547,646,993,
134,sat_gss-18,62728,2083,3720,3520,
135,sat_gss-18_p,31364,3025,3768,4422,
136,sat_gss-19_d,94548,549,737,891,
137,sat_gss-19,62870,1959,3259,3693,
138,sat_gss-19_p,31435,2221,3185,4049,
139,sat_gss-20_d,94748,522,629,951,
140,sat_gss-20,63006,1787,3100,3994,
141,sat_gss-20_p,31503,1925,3401,4267,
142,sat_gss-22_d,95110,495,755,753,
143,sat_gss-22,63232,1883,3326,3990,
144,sat_gss-22_p,31616,2284,3999,4011,
145,sat_k45_d,488120,183,945,1094,
146,sat_k45,327243,1089,1285,2354,
147,sat_k45_p,163622,1165,1427,2331,
148,sat_itox_d,441729,90,2101,2452,
149,sat_itox,294326,1812,4141,6148,
150,sat_itox_p,152256,254,2371,3399,
151,sat_k2fix_d,305160,5835,10696,15553,
152,sat_k2fix,22617,0,40,197,
153,sat_k2fix_p,11313,1665,3722,8630,
154,sat_manol_c10_i_d,750877,4266,6892,10742,
155,sat_manol_c10_i,505032,18057,20021,32258,
156,sat_manol_c10_i_p,252516,15886,20963,33227,
157,sat_manol_c10_d,1291714,4364,13036,9779,
158,sat_manol_c10,867202,23743,34883,50907,
159,sat_manol_c10_p,433601,22805,30832,42363,
160,sat_manol_c8_d,799867,4775,6607,8835,
161,sat_manol_c8,538096,19702,29123,34891,
162,sat_manol_c8_p,269048,15769,25336,40476,
163,sat_manol_g10_i_d,792175,4467,7299,14821,
164,sat_manol_g10_i,532810,14659,16955,23296,
165,sat_manol_g10_i_p,266405,14553,31092,28801,
166,sat_MD5-28-1_d,62558,1200,2069,2467,
167,sat_MD5-28-1,16564,4881,8099,10232,
168,sat_MD5-28-1_p,8282,4344,7563,8860,
169,sat_MD5-28-2_d,62554,1182,2111,2372,
170,sat_MD5-28-2,16562,4283,8270,9779,
171,sat_MD5-28-2_p,8281,4722,7674,10458,
172,sat_MD5-28-4_d,62544,1485,2109,2797,
173,sat_MD5-28-4,16562,4719,7662,10114,
174,sat_MD5-28-4_p,8281,4593,7204,9238,
175,sat_MD5-29-4_d,65312,1333,2180,2771,
176,sat_MD5-29-4,17180,4354,9485,10025,
177,sat_MD5-29-4_p,8590,5177,8700,10332,
178,sat_MD5-30-4_d,68106,1286,2186,2659,
179,sat_MD5-30-4,17810,5686,9087,11335,
180,sat_MD5-30-4_p,8905,4933,12374,10603,
181,sat_MD5-30-5_d,68103,1368,2303,2569,
182,sat_MD5-30-5,17810,4865,9425,11029,
183,sat_MD5-30-5_p,8905,5377,11003,11211,
184,sat_min_d,746444,2462,9103,14851,
185,sat_min,498653,4353,28151,40261,
186,sat_min_p,249327,4753,34540,44676,
187,sat_p30_d,1643601,3934,4519,8682,
188,sat_p30,643132,9572,19210,21870,
189,sat_p30_p,324116,10280,26781,23973,
190,sat_p30_NOT_d,483561,3322,7936,7258,
191,sat_p30_NOT,189412,4381,11027,13519,
192,sat_p30_NOT_p,95456,9661,14638,19483,
193,sat_non_p30_d,1643601,3934,4519,8682,
194,sat_non_p30,643132,9572,19210,21870,
195,sat_non_p30_p,324116,10280,26781,23973,
196,sat_post_d,1607567,3089,4788,7895,
197,sat_post,553559,6388,4488,8127,
198,sat_post_p,276895,1983,7466,4886,
199,sat_post-ee_d,1575975,1071,2739,3467,
200,sat_post-ee,532170,4820,4723,6462,
201,sat_post-ee_p,266199,3935,6041,11318,
202,sat_L100_d,1522583,34018,52574,66747,
203,sat_L100,631234,73400,99003,168166,
204,sat_L100_p,315617,76911,155502,181716,
205,sat_L150_d,2456708,51562,77537,95655,
206,sat_L150,973984,121741,189453,256302,
207,sat_L150_p,486992,182673,258778,316389,
208,sat_L200_d,3513333,72996,112992,152427,
209,sat_L200,1341734,166731,315631,394223,
210,sat_L200_p,670867,252687,383894,404742,
211,sat_L80_d,1183233,27383,46878,54725,
212,sat_L80,501134,87441,111688,137442,
213,sat_L80_p,250567,61474,124830,142953,
214,sat_k100_1d,6356704,1305,2858,3154,
215,sat_k100_1,3195850,4510,8760,15953,
216,sat_k100_1p,1621762,4439,5939,19046,
217,sat_k100_2d,6356692,1264,2391,2863,
218,sat_k100_2,3195838,4987,8003,9644,
219,sat_k100_2p,1621756,7221,12541,16699,
220,sat_k70_d,4433524,701,2035,3096,
221,sat_k70,2229790,4573,7593,9172,
222,sat_k70_p,1131652,5078,12319,14253,
223,sat_k75_d,4754042,1285,2166,2896,
224,sat_k75,2390788,3945,8227,11515,
225,sat_k75_p,1213331,3118,7402,8640,
226,sat_k80_d,5074584,730,3866,2764,
227,sat_k80,2551810,3452,9336,7579,
228,sat_k80_p,1295022,4676,11670,11974,
229,sat_k85_2d,5395102,1399,2865,4145,
230,sat_k85_2,2712808,6287,8275,12602,
231,sat_k85_2p,1376701,3019,7256,12187,
232,sat_k85_3d,5395102,1422,2209,3755,
233,sat_k85_3,2712808,6287,8275,12602,
