id,dataset,k=2,k=3,k=4,
0,sat_10pipe_d,0.0142009,0.0244253,0.833257,
1,sat_10pipe,0.0590153,0.111414,0.124508,
2,sat_10pipe_p,0.0394163,0.0577457,0.111659,
3,sat_11pipe_d,0.0505804,1.52102,4.20018,
4,sat_11pipe,0.11884,0.628897,1.18207,
5,sat_11pipe_p,0.140082,0.139914,0.282785,
6,sat_11pipe_kd,0.0254241,0.0331623,0.949496,
7,sat_11pipe_k,0.0844501,0.170551,0.211724,
8,sat_11pipe_kp,0.0468003,0.0609083,0.113527,
9,sat_6s10_d,0.0077848,0.0101699,0.0179917,
10,sat_6s10,0.00935537,0.0201237,0.0230435,
11,sat_6s10_p,0.0121755,0.0176813,0.0276533,
12,sat_6s11_d,0.00714289,0.0152401,0.0161978,
13,sat_6s11,0.0112561,0.023225,0.0309922,
14,sat_6s11_p,0.0107676,0.0170264,0.0196558,
15,sat_6s12_d,0.00769912,0.0133233,0.0239548,
16,sat_6s12,0.00881359,0.0187438,0.0267861,
17,sat_6s12_p,0.00746029,0.0188557,0.0166697,
18,sat_130_d,0.00639367,0.0157368,0.0204423,
19,sat_130,0.00555981,0.0183561,0.0222045,
20,sat_130_p,0.00597986,0.0220516,0.0238054,
21,sat_131_d,0.0066255,0.0138696,0.0204186,
22,sat_131,0.00575979,0.0144547,0.0266128,
23,sat_131_p,0.00733753,0.0207318,0.0215454,
24,sat_133_d,0.00853594,0.0161062,0.0204587,
25,sat_133,0.00968405,0.0199067,0.0226296,
26,sat_133_p,0.0136947,0.0148601,0.028668,
27,sat_153_d,0.00835585,0.013002,0.0197163,
28,sat_153,0.00586138,0.0151304,0.0206309,
29,sat_153_p,0.00712429,0.0159008,0.0229905,
30,sat_16_d,0.0109286,0.0102706,0.0210887,
31,sat_16,0.0125472,0.0182535,0.0310433,
32,sat_16_p,0.0120522,0.0167388,0.0248388,
33,sat_184_d,0.0100199,0.0118321,0.0243741,
34,sat_184,0.00788315,0.0185651,0.0257309,
35,sat_184_p,0.00852396,0.0143873,0.0189646,
36,sat_9_d,0.00883727,0.0145236,0.0193695,
37,sat_9,0.0131077,0.0174628,0.0332752,
38,sat_9_p,0.0105422,0.0163571,0.0255033,
39,sat_9dlx_d,0.0114657,0.0671472,0.0199363,
40,sat_9dlx,0.0255032,0.075873,0.0728475,
41,sat_9dlx_p,0.0298509,0.0378653,0.0717843,
42,sat_bug7,0.240765,0.364331,0.773371,
43,sat_bug8_d,0.12681,3.48263,1.83913,
44,sat_bug8,0.250468,0.514931,0.533756,
45,sat_bug8_p,0.370854,0.585857,0.637732,
46,sat_aaai_d,0.0053123,0.0152258,0.0291482,
47,sat_aaai,0.00960483,0.0242124,0.0231885,
48,sat_aaai_p,0.00825644,0.0216909,0.0294568,
49,sat_ACG_10p_d,0.0133881,0.0208321,0.0294826,
50,sat_ACG_10p,0.013078,0.0282152,0.0408652,
51,sat_ACG_10p_p,0.0220951,0.0307304,0.0477362,
52,sat_ACG_5p0_d,0.00927786,0.0207787,0.0286344,
53,sat_ACG_5p0,0.016803,0.0296598,0.0412835,
54,sat_ACG_5p0_p,0.0163889,0.0259258,0.0502893,
55,sat_ACG_5p1_d,0.0105206,0.0158431,0.0374666,
56,sat_ACG_5p1,0.0166474,0.0305777,0.0425698,
57,sat_ACG_5p1_p,0.0174756,0.0287355,0.0437756,
58,sat_01_d,0.00586563,0.00769747,0.0144956,
59,sat_01,0.00835634,0.0123383,0.0210285,
60,sat_01_p,0.00459635,0.0102148,0.0133846,
61,sat_27_d,0.00685329,0.00823246,0.0164538,
62,sat_27,0.0113939,0.0130652,0.0208231,
63,sat_27_p,0.00756105,0.00855544,0.0131666,
64,sat_enc1_opt1_05_d,0.00969475,0.0182504,0.0192309,
65,sat_enc1_opt1_05,0.0138087,0.0254301,0.0317043,
66,sat_enc1_opt1_05_p,0.00960232,0.0256291,0.0224892,
67,sat_enc1_opt1_10_d,0.00691377,0.0159619,0.018765,
68,sat_enc1_opt1_10,0.0220954,0.0216025,0.0388395,
69,sat_enc1_opt1_10_p,0.0117831,0.0202192,0.0278067,
70,sat_enc1_opt1_15_d,0.0131417,0.0168083,0.0220482,
71,sat_enc1_opt1_15,0.0103532,0.0256606,0.0264154,
72,sat_enc1_opt1_15_p,0.0158078,0.0204765,0.0340306,
73,sat_enc1_opt2_4_d,0.00781666,0.0110135,0.0180733,
74,sat_enc1_opt2_4,0.00811256,0.0171015,0.021436,
75,sat_enc1_opt2_4_p,0.00721097,0.014787,0.0285262,
76,sat_enc1_opt2_12_d,0.00588695,0.0110767,0.0137872,
77,sat_enc1_opt2_12,0.00786762,0.0120906,0.0202306,
78,sat_enc1_opt2_12_p,0.00625368,0.0105677,0.0200284,
79,sat_enc1_opt2_16_d,0.00554844,0.0112623,0.0156246,
80,sat_enc1_opt2_16,0.00700638,0.0134083,0.0131225,
81,sat_enc1_opt2_16_p,0.00518864,0.0102313,0.0204004,
82,sat_enc2_opt1_05_d,0.00874146,0.0154569,0.0173699,
83,sat_enc2_opt1_05,0.00985294,0.0243928,0.0290613,
84,sat_enc2_opt1_05_p,0.0120464,0.0286225,0.0327947,
85,sat_enc2_opt1_15_d,0.00907928,0.0254018,0.0189962,
86,sat_enc2_opt1_15,0.00920518,0.0216849,0.0268634,
87,sat_enc2_opt1_15_p,0.0102597,0.0233835,0.0308863,
88,sat_enc3_opt1_50_d,0.0450106,0.0671811,0.114491,
89,sat_enc3_opt1_50,0.0583811,0.0861523,0.125301,
90,sat_enc3_opt1_50_p,0.0724338,0.12901,0.171493,
91,sat_enc3_opt2_21_d,0.0382937,0.0550415,0.0833323,
92,sat_enc3_opt2_21,0.0444601,0.0795,0.111465,
93,sat_enc3_opt2_21_p,0.0466931,0.088132,0.113534,
94,sat_enc3_opt2_12_d,0.0285147,0.0611791,0.0815015,
95,sat_enc3_opt2_12,0.0388162,0.0728586,0.101505,
96,sat_enc3_opt2_12_p,0.0351155,0.0660538,0.0910781,
97,sat_enc3_opt2_14_d,0.0325398,0.0505355,0.0771644,
98,sat_enc3_opt2_14,0.0394488,0.0735174,0.111623,
99,sat_enc3_opt2_14_p,0.0383189,0.0746828,0.0957741,
100,sat_blocks_d,0.0436711,0.0667115,0.0922541,
101,sat_blocks,0.114092,0.195967,0.254014,
102,sat_blocks_p,0.171437,0.276555,0.369668,
103,sat_bob-opt_d,0.00574514,0.0149006,0.0203751,
104,sat_bob-opt,0.00627161,0.013912,0.027616,
105,sat_bob-opt_p,0.00886898,0.0151455,0.024143,
106,sat_bob_d,0.00517206,0.0109662,0.0130741,
107,sat_bob,0.00824682,0.0210088,0.0187101,
108,sat_bob_p,0.00808616,0.014491,0.0196462,
109,sat_c10_d,0.0100849,0.0260848,0.0264003,
110,sat_c10,0.019556,0.0284843,0.0512402,
111,sat_c10_p,0.0139412,0.022746,0.0440518,
112,sat_count_d,0.00671282,0.0118678,0.0185614,
113,sat_count,0.00935279,0.0109725,0.0209061,
114,sat_count_p,0.00554291,0.00956297,0.0176328,
115,sat_ctl_d,0.00414887,0.0108317,0.0131296,
116,sat_ctl,0.00615693,0.0108949,0.0214896,
117,sat_ctl_p,0.00606407,0.0102135,0.018309,
118,sat_ctl_5_d,0.00521407,0.0101191,0.0118078,
119,sat_ctl_5,0.00883714,0.0176481,0.027248,
120,sat_ctl_5_p,0.0117331,0.0177151,0.030019,
121,sat_dated_11_d,0.0101992,0.0361465,0.0366164,
122,sat_dated_11,0.0142243,0.0202755,0.036284,
123,sat_dated_11_p,0.010889,0.024982,0.0314259,
124,sat_dated_17_d,0.00947901,0.0187181,0.0213289,
125,sat_dated_17,0.0161935,0.0282302,0.0417822,
126,sat_dated_17_p,0.0200228,0.0316077,0.0426563,
127,sat_E02F20_d,0.0103699,0.0208572,0.0270784,
128,sat_E02F20,0.0057695,0.0161868,0.0217279,
129,sat_E02F20_p,0.00552218,0.0158686,0.0175598,
130,sat_E02F22_d,0.0327015,0.536627,0.0808651,
131,sat_E02F22,0.0132886,0.0274804,0.0399433,
132,sat_E02F22_p,0.012729,0.0248708,0.0395192,
133,sat_gss-18_d,0.00698918,0.00734017,0.0122792,
134,sat_gss-18,0.0133852,0.0187421,0.0279755,
135,sat_gss-18_p,0.00721086,0.0135687,0.0172887,
136,sat_gss-19_d,0.0048218,0.0116999,0.012981,
137,sat_gss-19,0.0117664,0.0153693,0.0286532,
138,sat_gss-19_p,0.0106421,0.0216686,0.0232501,
139,sat_gss-20_d,0.00498206,0.00869242,0.0147223,
140,sat_gss-20,0.0109098,0.0142554,0.0251606,
141,sat_gss-20_p,0.00924298,0.0156787,0.0235076,
142,sat_gss-22_d,0.00627958,0.0143984,0.0116591,
143,sat_gss-22,0.00938121,0.022658,0.0247404,
144,sat_gss-22_p,0.0109287,0.016336,0.0247389,
145,sat_k45_d,0.0235621,0.0271672,0.0400828,
146,sat_k45,0.00769283,0.0132007,0.0258283,
147,sat_k45_p,0.00745732,0.0171797,0.0197541,
148,sat_itox_d,0.0315397,0.0268951,0.0463845,
149,sat_itox,0.0121474,0.0230954,0.0366096,
150,sat_itox_p,0.0115491,0.0275559,0.0277268,
151,sat_k2fix_d,0.0109288,0.0138643,0.0663187,
152,sat_k2fix,0.00423707,0.0127671,0.0146885,
153,sat_k2fix_p,0.0123803,0.017386,0.0352397,
154,sat_manol_c10_i_d,0.0160514,0.024844,0.0317096,
155,sat_manol_c10_i,0.027501,0.0462219,0.0578882,
156,sat_manol_c10_i_p,0.024329,0.0382017,0.0568854,
157,sat_manol_c10_d,0.0209181,0.0287778,0.0485519,
158,sat_manol_c10,0.051333,0.056927,0.0965582,
159,sat_manol_c10_p,0.0317064,0.0624742,0.0795019,
160,sat_manol_c8_d,0.0142598,0.0219207,0.0596862,
161,sat_manol_c8,0.013816,0.0526022,0.0530394,
162,sat_manol_c8_p,0.0234546,0.026401,0.052226,
163,sat_manol_g10_i_d,0.0145925,0.0285792,0.0372632,
164,sat_manol_g10_i,0.027236,0.048734,0.063671,
165,sat_manol_g10_i_p,0.0252323,0.0395528,0.0598253,
166,sat_MD5-28-1_d,0.00565177,0.0286407,0.0180646,
167,sat_MD5-28-1,0.00878491,0.0159369,0.0219545,
168,sat_MD5-28-1_p,0.00670274,0.0124382,0.0192575,
169,sat_MD5-28-2_d,0.00828367,0.0167434,0.0324704,
170,sat_MD5-28-2,0.00824439,0.0165288,0.0206695,
171,sat_MD5-28-2_p,0.00666268,0.00944779,0.0164988,
172,sat_MD5-28-4_d,0.00644187,0.0215457,0.0133408,
173,sat_MD5-28-4,0.0110346,0.0180855,0.0207463,
174,sat_MD5-28-4_p,0.00577746,0.0128477,0.0170248,
175,sat_MD5-29-4_d,0.00794964,0.0199391,0.0260004,
176,sat_MD5-29-4,0.00908296,0.0160399,0.0237634,
177,sat_MD5-29-4_p,0.010117,0.0126214,0.0168608,
178,sat_MD5-30-4_d,0.00758692,0.0114894,0.0156609,
179,sat_MD5-30-4,0.00930022,0.0173709,0.0214669,
180,sat_MD5-30-4_p,0.00595289,0.0146635,0.0192148,
181,sat_MD5-30-5_d,0.00910158,0.0122283,0.0154624,
182,sat_MD5-30-5,0.00906862,0.0160407,0.0249226,
183,sat_MD5-30-5_p,0.00556607,0.0124365,0.0157571,
184,sat_min_d,0.0155293,0.0235293,0.0537862,
185,sat_min,0.0152794,0.0238435,0.0453511,
186,sat_min_p,0.0148341,0.0289405,0.0432781,
187,sat_p30_d,0.0148961,0.0417592,0.0527427,
188,sat_p30,0.0140792,0.0455732,0.0688159,
189,sat_p30_p,0.0276535,0.0476938,0.0545454,
190,sat_p30_NOT_d,0.00888677,0.0390205,0.025525,
191,sat_p30_NOT,0.016658,0.0252629,0.0423119,
192,sat_p30_NOT_p,0.0205868,0.0358311,0.0535366,
193,sat_non_p30_d,0.0151148,0.0423464,0.0528447,
194,sat_non_p30,0.0141743,0.046597,0.0701009,
195,sat_non_p30_p,0.0271898,0.0484838,0.0550089,
196,sat_post_d,0.0210563,0.0285511,0.05887,
197,sat_post,0.018832,0.0343624,0.0506342,
198,sat_post_p,0.0200062,0.0378571,0.0476682,
199,sat_post-ee_d,0.0138231,0.0261491,0.0489688,
200,sat_post-ee,0.0152402,0.0241296,0.0473638,
201,sat_post-ee_p,0.0135356,0.0211317,0.0428966,
202,sat_L100_d,0.0570879,0.0796829,0.227381,
203,sat_L100,0.0313362,0.0630228,0.128176,
204,sat_L100_p,0.0488052,0.0917475,0.113087,
205,sat_L150_d,0.0967457,0.129803,0.487611,
206,sat_L150,0.0430629,0.0849322,0.311886,
207,sat_L150_p,0.0438434,0.103406,0.157561,
208,sat_L200_d,0.105,0.120218,0.151529,
209,sat_L200,0.0827824,0.339611,0.217745,
210,sat_L200_p,0.176092,0.277694,0.305168,
211,sat_L80_d,0.051622,0.0875757,0.130448,
212,sat_L80,0.0253679,0.0624277,0.171599,
