id,dataset,hedges,k=2_cut,k=3_cut,k=4_cut,k=2_perf,k=3_perf,k=4_perf
0,sat_10pipe_d,77639,4135,8239,11050,0.0203078,0.0339196,0.167617
1,sat_10pipe,2082017,48230,97670,119136,0.0701941,0.11954,0.208699
2,sat_10pipe_p,2082017,62705,304303,187892,0.0658023,0.123274,0.133135
3,sat_11pipe_d,89315,4867,9689,13532,0.0261795,0.101496,0.139423
4,sat_11pipe,5584003,55310,285110,246497,0.0980728,0.204654,0.39385
5,sat_11pipe_p,5584003,210539,283869,595069,0.205634,0.26256,0.376279
6,sat_11pipe_kd,104244,4735,7753,11976,0.0275107,0.0429206,0.250542
7,sat_11pipe_k,3007883,63660,140237,158728,0.0705248,0.132405,0.19179
8,sat_11pipe_kp,3007883,78222,356490,265374,0.0694411,0.13814,0.132723
9,sat_6s10_d,33900,477,1261,1007,0.00614379,0.0154961,0.0183649
10,sat_6s10,99184,2798,4276,5877,0.00741187,0.0164108,0.0299446
11,sat_6s10_p,99184,2395,4237,5420,0.00842342,0.0131313,0.0210912
12,sat_6s11_d,33276,521,1005,1384,0.00739617,0.01517,0.0195383
13,sat_6s11,97312,2348,4113,6288,0.00770096,0.0170643,0.0252975
14,sat_6s11_p,97312,2927,5814,6149,0.00593551,0.00906815,0.0226206
15,sat_6s12_d,34033,473,1102,1441,0.00927702,0.0141396,0.020212
16,sat_6s12,99580,2010,5295,4820,0.00688435,0.0173957,0.0277037
17,sat_6s12_p,99580,2419,5911,4931,0.00932165,0.0140603,0.0298426
18,sat_130_d,49327,474,601,1244,0.0080029,0.011499,0.0221799
19,sat_130,144361,1895,5061,5950,0.00502361,0.0199238,0.0231879
20,sat_130_p,144361,2015,3814,5602,0.00660832,0.0131293,0.0161952
21,sat_131_d,49282,394,654,1100,0.00746672,0.0164587,0.0181398
22,sat_131,144226,1532,3352,3893,0.00833877,0.0141416,0.025893
23,sat_131_p,144226,1829,4691,4284,0.00477498,0.0103111,0.016395
24,sat_133_d,48215,362,974,1398,0.00829016,0.0242988,0.0157376
25,sat_133,140968,1763,3679,5082,0.00759905,0.0181596,0.0245549
26,sat_133_p,140968,1838,5568,4411,0.00988665,0.0186243,0.0220892
27,sat_153_d,85646,94,415,458,0.0087663,0.0135542,0.0210974
28,sat_153,245440,192,1653,2981,0.0074001,0.0145152,0.0252205
29,sat_153_p,245440,467,520,1710,0.00752977,0.0149473,0.016811
30,sat_16_d,31483,460,1053,1120,0.00690043,0.0167702,0.0165515
31,sat_16,91888,1890,4029,5192,0.00797561,0.0133514,0.0224185
32,sat_16_p,91888,1979,4505,5216,0.00964241,0.0147202,0.021344
33,sat_184_d,33365,704,1316,1648,0.00687531,0.0127006,0.0168994
34,sat_184,97516,2805,5646,6345,0.00562087,0.0180541,0.033296
35,sat_184_p,97516,2240,4583,5499,0.00991938,0.0112277,0.0201087
36,sat_9_d,34317,402,970,1194,0.00788443,0.0104798,0.0143111
37,sat_9,100384,2276,4727,4806,0.00764603,0.0197443,0.042772
38,sat_9_p,100384,2620,4068,5076,0.00758813,0.0130028,0.0214032
39,sat_9dlx_d,69789,1217,1835,2746,0.0129873,0.0185653,0.0273008
40,sat_9dlx,968295,37022,112841,119020,0.0251273,0.0725914,0.0756088
41,sat_9dlx_p,968295,57266,167774,192548,0.0370643,0.0585657,0.0810554
42,sat_bug7,13378010,367093,836271,1309366,0.240585,0.363921,0.787473
43,sat_bug8_d,521179,3553,20334,21321,0.310651,0.605831,0.451797
44,sat_bug8,13378617,354839,695726,1091739,0.253542,0.520776,0.537751
45,sat_bug8_p,13378617,370110,1544126,1954653,0.245701,1.10731,0.64361
46,sat_aaai_d,53919,1451,3612,4173,0.00772549,0.0154619,0.0162612
47,sat_aaai,308235,3180,5194,6895,0.00982454,0.0365123,0.048584
48,sat_aaai_p,308235,2392,4065,6337,0.00804253,0.0106178,0.0202547
49,sat_ACG_10p_d,381708,2242,7129,6776,0.00879191,0.0184762,0.0341365
50,sat_ACG_10p,1632906,5716,12630,16477,0.018892,0.030762,0.0556398
51,sat_ACG_10p_p,1632906,5484,22346,16201,0.02212,0.0314259,0.0503182
52,sat_ACG_5p0_d,324716,2111,3489,5378,0.00886691,0.0172395,0.041225
53,sat_ACG_5p0,1390931,6231,12413,14893,0.0173373,0.0300919,0.0447393
54,sat_ACG_5p0_p,1390931,7706,14907,14266,0.0162956,0.0275054,0.0455104
55,sat_ACG_5p1_d,331196,2190,7377,6906,0.0114521,0.0173196,0.0382861
56,sat_ACG_5p1,1416850,6088,13308,19000,0.0235132,0.0321922,0.0483031
57,sat_ACG_5p1_p,1416850,7080,12599,18504,0.0196972,0.0310178,0.0467291
58,sat_01_d,7502,300,747,1045,0.00730685,0.00745845,0.0134428
59,sat_01,28770,1109,2835,3426,0.00534401,0.0118343,0.0137708
60,sat_01_p,28770,1051,2301,3343,0.00447092,0.00849692,0.0128372
61,sat_27_d,7729,211,376,658,0.00451141,0.0071973,0.00870469
62,sat_27,29194,2852,5126,5606,0.00900105,0.0132298,0.0176356
63,sat_27_p,29194,3226,4874,5643,0.00568389,0.012179,0.0135326
64,sat_enc1_opt1_05_d,59517,828,1368,2014,0.0081539,0.0122732,0.0212974
65,sat_enc1_opt1_05,561784,3645,6393,8362,0.0161492,0.0270043,0.0392471
66,sat_enc1_opt1_05_p,561784,2918,4815,5081,0.0147842,0.0327163,0.0336312
67,sat_enc1_opt1_10_d,46993,451,803,1149,0.00566654,0.0108465,0.0131611
68,sat_enc1_opt1_10,270831,1854,3189,3150,0.00999387,0.0224299,0.019726
69,sat_enc1_opt1_10_p,270831,2326,5024,4422,0.00843262,0.0150277,0.0179379
70,sat_enc1_opt1_15_d,61642,730,1402,1578,0.00707437,0.0208713,0.0279783
71,sat_enc1_opt1_15,644099,2235,4033,3554,0.0151492,0.0340187,0.0556175
72,sat_enc1_opt1_15_p,644099,2927,3700,4840,0.0170621,0.0278567,0.0430293
73,sat_enc1_opt2_4_d,14636,548,1072,1726,0.0059312,0.0110822,0.0144922
74,sat_enc1_opt2_4,386163,357,774,978,0.0070009,0.0157789,0.0199566
75,sat_enc1_opt2_4_p,386163,495,1252,1498,0.00646465,0.0128138,0.0202958
76,sat_enc1_opt2_12_d,9495,370,802,1261,0.00300829,0.00625109,0.0103227
77,sat_enc1_opt2_12,147853,382,729,817,0.00734334,0.0132078,0.021052
78,sat_enc1_opt2_12_p,147853,789,1698,3127,0.00422771,0.0110601,0.0161584
79,sat_enc1_opt2_16_d,9643,398,899,1415,0.00498697,0.00832226,0.0115895
80,sat_enc1_opt2_16,152744,424,801,770,0.00585275,0.0123983,0.0144737
81,sat_enc1_opt2_16_p,152744,706,1181,1741,0.00491441,0.0105675,0.0203592
82,sat_enc2_opt1_05_d,56533,705,1321,1720,0.00575801,0.0198177,0.021137
83,sat_enc2_opt1_05,526872,1440,2880,4143,0.00965194,0.0163899,0.031118
84,sat_enc2_opt1_05_p,526872,2037,4270,7318,0.0126769,0.0195641,0.0344817
85,sat_enc2_opt1_15_d,58752,674,1215,1581,0.00614759,0.0123258,0.0182257
86,sat_enc2_opt1_15,580963,1488,2980,5491,0.0103,0.01819,0.0276683
87,sat_enc2_opt1_15_p,580963,2208,3818,6603,0.0128203,0.0240578,0.0373548
