id,dataset,k=2,k=3,k=4,
0,sat_10pipe_d,0.447,0.98,26.085,
1,sat_10pipe,5.584,8.289,8.875,
2,sat_10pipe_p,2.365,3.471,4.64,
3,sat_11pipe_d,1.749,100.838,270.13,
4,sat_11pipe,8.857,19.235,64.043,
5,sat_11pipe_p,13.189,12.822,19.906,
6,sat_11pipe_kd,0.754,1.67,40.268,
7,sat_11pipe_k,4.671,9.187,9.667,
8,sat_11pipe_kp,3.26,4.922,8.752,
9,sat_6s10_d,0.08,0.131,0.17,
10,sat_6s10,0.181,0.291,0.485,
11,sat_6s10_p,0.229,0.307,0.373,
12,sat_6s11_d,0.096,0.16,0.179,
13,sat_6s11,0.166,0.348,0.412,
14,sat_6s11_p,0.258,0.298,0.418,
15,sat_6s12_d,0.081,0.156,0.182,
16,sat_6s12,0.135,0.282,0.342,
17,sat_6s12_p,0.299,0.359,0.457,
18,sat_130_d,0.117,0.172,0.268,
19,sat_130,0.149,0.397,0.392,
20,sat_130_p,0.134,0.421,0.474,
21,sat_131_d,0.16,0.173,0.348,
22,sat_131,0.275,0.424,0.531,
23,sat_131_p,0.358,0.375,0.581,
24,sat_133_d,0.09,0.161,0.237,
25,sat_133,0.242,0.452,0.497,
26,sat_133_p,0.349,0.342,0.599,
27,sat_153_d,0.115,0.212,0.282,
28,sat_153,0.182,0.34,0.441,
29,sat_153_p,0.175,0.297,0.492,
30,sat_16_d,0.083,0.117,0.226,
31,sat_16,0.208,0.376,0.438,
32,sat_16_p,0.245,0.321,0.417,
33,sat_184_d,0.092,0.146,0.201,
34,sat_184,0.153,0.386,0.34,
35,sat_184_p,0.207,0.236,0.392,
36,sat_9_d,0.086,0.172,0.209,
37,sat_9,0.131,0.312,0.368,
38,sat_9_p,0.235,0.429,0.409,
39,sat_9dlx_d,0.456,0.628,0.924,
40,sat_9dlx,1.237,3.144,3.518,
41,sat_9dlx_p,1.645,1.728,3.742,
42,sat_bug7,20.297,35.852,66.647,
43,sat_bug8_d,5.057,7.209,92.452,
44,sat_bug8,23.331,41.338,43.065,
45,sat_bug8_p,19.036,55.365,37.02,
46,sat_aaai_d,0.131,0.34,0.297,
47,sat_aaai,0.373,0.547,0.756,
48,sat_aaai_p,0.386,0.609,0.683,
49,sat_ACG_10p_d,0.552,0.877,1.176,
50,sat_ACG_10p,1.057,1.604,2.141,
51,sat_ACG_10p_p,0.924,1.486,1.973,
52,sat_ACG_5p0_d,0.555,1.164,1.1,
53,sat_ACG_5p0,0.955,1.583,1.9,
54,sat_ACG_5p0_p,0.816,1.42,1.688,
55,sat_ACG_5p1_d,0.526,0.823,1.052,
56,sat_ACG_5p1,0.935,1.583,2.043,
57,sat_ACG_5p1_p,0.835,1.317,1.717,
58,sat_01_d,0.047,0.064,0.139,
59,sat_01,0.084,0.129,0.187,
60,sat_01_p,0.059,0.111,0.149,
61,sat_27_d,0.06,0.06,0.136,
62,sat_27,0.102,0.179,0.226,
63,sat_27_p,0.104,0.146,0.168,
64,sat_enc1_opt1_05_d,0.229,0.38,0.471,
65,sat_enc1_opt1_05,0.527,0.842,0.828,
66,sat_enc1_opt1_05_p,0.317,0.667,0.678,
67,sat_enc1_opt1_10_d,0.152,0.278,0.334,
68,sat_enc1_opt1_10,0.653,0.513,0.944,
69,sat_enc1_opt1_10_p,0.215,0.463,0.435,
70,sat_enc1_opt1_15_d,0.241,0.427,0.516,
71,sat_enc1_opt1_15,0.536,0.822,0.932,
72,sat_enc1_opt1_15_p,0.453,0.768,0.916,
73,sat_enc1_opt2_4_d,0.124,0.203,0.847,
74,sat_enc1_opt2_4,0.18,0.305,0.448,
75,sat_enc1_opt2_4_p,0.19,0.327,0.494,
