id,dataset,k=2,k=3,k=4,
0,sat_10pipe_d,0.695,1.61,21.554,
1,sat_10pipe,5.554,8.804,9.042,
2,sat_10pipe_p,2.408,4.127,4.961,
3,sat_11pipe_d,2.51,88.612,235.744,
4,sat_11pipe,9.603,20.896,42.06,
5,sat_11pipe_p,11.52,13.071,19.254,
6,sat_11pipe_kd,1.091,2.836,34.534,
7,sat_11pipe_k,5.158,10.364,10.998,
8,sat_11pipe_kp,3.227,5.261,8.718,
9,sat_6s10_d,0.068,0.118,0.159,
10,sat_6s10,0.145,0.246,0.389,
11,sat_6s10_p,0.203,0.263,0.32,
12,sat_6s11_d,0.083,0.14,0.164,
13,sat_6s11,0.136,0.292,0.347,
14,sat_6s11_p,0.217,0.262,0.355,
15,sat_6s12_d,0.067,0.141,0.162,
16,sat_6s12,0.111,0.24,0.291,
17,sat_6s12_p,0.245,0.316,0.383,
18,sat_130_d,0.11,0.175,0.257,
19,sat_130,0.144,0.362,0.363,
20,sat_130_p,0.129,0.38,0.414,
21,sat_131_d,0.141,0.174,0.312,
22,sat_131,0.246,0.387,0.478,
23,sat_131_p,0.293,0.348,0.474,
24,sat_133_d,0.089,0.167,0.231,
25,sat_133,0.209,0.401,0.435,
26,sat_133_p,0.292,0.306,0.515,
27,sat_153_d,0.133,0.257,0.343,
28,sat_153,0.211,0.401,0.504,
29,sat_153_p,0.188,0.33,0.51,
30,sat_16_d,0.067,0.106,0.197,
31,sat_16,0.176,0.297,0.364,
32,sat_16_p,0.218,0.291,0.346,
33,sat_184_d,0.076,0.129,0.182,
34,sat_184,0.127,0.318,0.297,
35,sat_184_p,0.179,0.208,0.327,
36,sat_9_d,0.074,0.151,0.186,
37,sat_9,0.106,0.266,0.308,
38,sat_9_p,0.199,0.357,0.36,
39,sat_9dlx_d,0.57,0.875,1.28,
40,sat_9dlx,1.489,3.365,3.783,
41,sat_9dlx_p,1.334,1.767,3.145,
42,sat_bug7,22.392,22.392,22.392,
43,sat_bug8_d,7.827,12.039,77.081,
44,sat_bug8,24.752,24.752,24.752,
45,sat_bug8_p,20.932,20.932,20.932,
46,sat_aaai_d,0.158,0.379,0.379,
47,sat_aaai,0.366,0.592,0.749,
48,sat_aaai_p,0.358,0.604,0.68,
49,sat_ACG_10p_d,0.879,1.42,2.02,
50,sat_ACG_10p,1.524,2.471,3.336,
51,sat_ACG_10p_p,1.356,2.272,3.049,
52,sat_ACG_5p0_d,0.765,1.576,1.766,
53,sat_ACG_5p0,1.318,2.341,2.853,
54,sat_ACG_5p0_p,1.161,2.067,2.524,
55,sat_ACG_5p1_d,0.73,1.352,1.771,
56,sat_ACG_5p1,1.32,2.321,2.971,
57,sat_ACG_5p1_p,1.185,1.995,2.561,
58,sat_01_d,0.04,0.06,0.115,
59,sat_01,0.067,0.107,0.158,
60,sat_01_p,0.061,0.09,0.134,
61,sat_27_d,0.047,0.057,0.117,
62,sat_27,0.095,0.146,0.192,
63,sat_27_p,0.087,0.112,0.141,
64,sat_enc1_opt1_05_d,0.266,0.499,0.629,
65,sat_enc1_opt1_05,0.484,0.89,0.91,
66,sat_enc1_opt1_05_p,0.359,0.72,0.801,
67,sat_enc1_opt1_10_d,0.157,0.302,0.358,
68,sat_enc1_opt1_10,0.512,0.491,0.8,
69,sat_enc1_opt1_10_p,0.219,0.428,0.443,
70,sat_enc1_opt1_15_d,0.287,0.573,0.709,
71,sat_enc1_opt1_15,0.551,0.978,1.085,
72,sat_enc1_opt1_15_p,0.506,0.831,1.06,
73,sat_enc1_opt2_4_d,0.16,0.298,0.84,
74,sat_enc1_opt2_4,0.206,0.368,0.512,
75,sat_enc1_opt2_4_p,0.242,0.376,0.539,
76,sat_enc1_opt2_12_d,0.063,0.102,0.15,
77,sat_enc1_opt2_12,0.113,0.164,0.256,
78,sat_enc1_opt2_12_p,0.09,0.149,0.249,
79,sat_enc1_opt2_16_d,0.059,0.125,0.144,
80,sat_enc1_opt2_16,0.08,0.171,0.2,
81,sat_enc1_opt2_16_p,0.085,0.155,0.221,
82,sat_enc2_opt1_05_d,0.258,0.478,0.971,
83,sat_enc2_opt1_05,0.407,0.647,0.914,
84,sat_enc2_opt1_05_p,0.385,0.681,0.825,
85,sat_enc2_opt1_15_d,0.262,0.529,0.644,
86,sat_enc2_opt1_15,0.428,0.752,0.994,
87,sat_enc2_opt1_15_p,0.362,0.612,0.864,
88,sat_enc3_opt1_50_d,3.376,6.497,8.157,
89,sat_enc3_opt1_50,6.1,10.569,13.074,
90,sat_enc3_opt1_50_p,6.344,11.532,14.724,
91,sat_enc3_opt2_21_d,3.091,5.733,7.118,
92,sat_enc3_opt2_21,5.329,9.256,11.778,
93,sat_enc3_opt2_21_p,6.212,10.051,13.682,
94,sat_enc3_opt2_12_d,2.478,4.473,6.237,
95,sat_enc3_opt2_12,4.411,7.833,10.152,
96,sat_enc3_opt2_12_p,4.01,7.261,9.106,
