id,dataset,k=2,k=3,k=4,
0,sat_10pipe_d,0.74,1.797,30.15,
1,sat_10pipe,10.487,16.28,16.84,
2,sat_10pipe_p,4.582,6.945,11.663,
3,sat_11pipe_d,2.602,124.577,328.249,
4,sat_11pipe,17.643,38.406,182.385,
5,sat_11pipe_p,22.314,24.239,36.37,
6,sat_11pipe_kd,1.155,3.152,48.47,
7,sat_11pipe_k,8.2,18.854,18.168,
8,sat_11pipe_kp,11.689,14.104,27.294,
9,sat_6s10_d,0.201,0.339,0.467,
10,sat_6s10,0.455,0.603,1.385,
11,sat_6s10_p,0.513,0.764,0.885,
12,sat_6s11_d,0.262,0.445,0.503,
13,sat_6s11,0.405,0.872,1.145,
14,sat_6s11_p,0.637,0.613,1.068,
15,sat_6s12_d,0.199,0.444,0.488,
16,sat_6s12,0.256,0.712,0.828,
17,sat_6s12_p,0.575,0.695,1.024,
18,sat_130_d,0.3,0.43,0.747,
19,sat_130,0.262,0.996,0.929,
20,sat_130_p,0.269,0.903,1.162,
21,sat_131_d,0.422,0.409,0.988,
22,sat_131,0.668,1.071,1.375,
23,sat_131_p,0.708,0.812,1.3,
24,sat_133_d,0.204,0.4,0.608,
25,sat_133,0.603,0.962,1.315,
26,sat_133_p,0.71,0.686,1.362,
27,sat_153_d,0.194,0.449,0.643,
28,sat_153,0.348,0.707,0.989,
29,sat_153_p,0.349,0.62,1.184,
30,sat_16_d,0.214,0.315,0.667,
31,sat_16,0.538,0.888,1.114,
32,sat_16_p,0.461,0.671,0.933,
33,sat_184_d,0.23,0.387,0.586,
34,sat_184,0.358,0.89,0.81,
35,sat_184_p,0.394,0.506,0.916,
36,sat_9_d,0.222,0.491,0.607,
37,sat_9,0.254,0.809,0.916,
38,sat_9_p,0.593,0.942,1.038,
39,sat_9dlx_d,1.051,1.231,1.962,
40,sat_9dlx,2.319,7.053,6.857,
41,sat_9dlx_p,3.473,3.66,9.989,
42,sat_bug7,35.146,68.306,120.412,
43,sat_bug8_d,7.91,12.51,152.429,
44,sat_bug8,40.603,78.975,84.527,
45,sat_bug8_p,36.947,117.054,77.514,
46,sat_aaai_d,0.233,0.865,0.622,
47,sat_aaai,0.546,1.213,1.899,
48,sat_aaai_p,0.858,1.103,1.476,
49,sat_ACG_10p_d,0.834,1.493,2.196,
50,sat_ACG_10p,1.627,2.682,3.82,
51,sat_ACG_10p_p,1.458,2.518,3.478,
52,sat_ACG_5p0_d,0.936,2.721,2.158,
53,sat_ACG_5p0,1.573,2.936,3.525,
54,sat_ACG_5p0_p,1.346,2.283,3.067,
55,sat_ACG_5p1_d,0.78,1.442,1.992,
56,sat_ACG_5p1,1.549,2.903,4.345,
57,sat_ACG_5p1_p,1.357,2.253,3.101,
58,sat_01_d,0.169,0.235,0.485,
59,sat_01,0.256,0.413,0.624,
60,sat_01_p,0.166,0.345,0.469,
61,sat_27_d,0.192,0.209,0.489,
62,sat_27,0.271,0.39,0.635,
63,sat_27_p,0.245,0.4,0.446,
64,sat_enc1_opt1_05_d,0.43,0.81,1.056,
65,sat_enc1_opt1_05,1.257,2.313,2.02,
66,sat_enc1_opt1_05_p,0.568,1.282,1.437,
67,sat_enc1_opt1_10_d,0.328,0.644,0.816,
68,sat_enc1_opt1_10,1.837,1.222,2.651,
69,sat_enc1_opt1_10_p,0.434,1.214,1.012,
70,sat_enc1_opt1_15_d,0.45,0.928,1.132,
71,sat_enc1_opt1_15,1.158,1.672,2.023,
72,sat_enc1_opt1_15_p,0.91,1.461,1.897,
73,sat_enc1_opt2_4_d,0.233,0.423,2.683,
74,sat_enc1_opt2_4,0.316,0.593,1.001,
75,sat_enc1_opt2_4_p,0.338,0.667,1.165,
76,sat_enc1_opt2_12_d,0.139,0.212,0.378,
