id,dataset,k=2,k=3,k=4,hedges
0,sat_10pipe_d,24972,29049,47316,77639
1,sat_10pipe,80589,146255,176615,2082017
2,sat_10pipe_p,62837,155027,184516,2082017
3,sat_11pipe_d,46720,64659,77565,89315
4,sat_11pipe,58655,308466,278710,5584003
5,sat_11pipe_p,214473,426332,724825,5584003
6,sat_11pipe_kd,26616,45294,53116,104244
7,sat_11pipe_k,79221,193650,171869,3007883
8,sat_11pipe_kp,186481,211074,304962,3007883
9,sat_6s10_d,838,1859,1721,33900
10,sat_6s10,2452,5858,6366,99184
11,sat_6s10_p,4049,6885,7824,99184
12,sat_6s11_d,1494,1472,2412,33276
13,sat_6s11,4430,6349,7503,97312
14,sat_6s11_p,7238,6486,10353,97312
15,sat_6s12_d,1145,1622,2331,34033
16,sat_6s12,3650,7499,7659,99580
17,sat_6s12_p,6786,7267,9256,99580
18,sat_130_d,545,1300,1637,49327
19,sat_130,1913,5412,5382,144361
20,sat_130_p,4020,5624,8458,144361
21,sat_131_d,515,1091,1661,49282
22,sat_131,1768,2860,4119,144226
23,sat_131_p,1855,5550,6178,144226
24,sat_133_d,766,1448,1416,48215
25,sat_133,2234,4981,5234,140968
26,sat_133_p,4060,5559,7915,140968
27,sat_153_d,94,415,458,85646
28,sat_153,232,1077,1003,245440
29,sat_153_p,196,2444,970,245440
30,sat_16_d,965,1334,2121,31483
31,sat_16,4582,5642,8373,91888
32,sat_16_p,6366,7723,8792,91888
33,sat_184_d,983,1712,2303,33365
34,sat_184,3473,7280,7218,97516
35,sat_184_p,6387,7872,9612,97516
36,sat_9_d,896,1213,1815,34317
37,sat_9,2746,5755,6539,100384
38,sat_9_p,4729,7436,8219,100384
39,sat_9dlx_d,14945,16374,26260,69789
40,sat_9dlx,37022,111717,132497,968295
41,sat_9dlx_p,67958,139615,139046,968295
42,sat_bug7,367093,873059,1320570,13378010
43,sat_bug8_d,74087,129362,175701,521179
44,sat_bug8,354839,695726,1058041,13378617
45,sat_bug8_p,398696,1358857,2009828,13378617
46,sat_aaai_d,2122,3361,4907,53919
47,sat_aaai,6058,6024,8444,308235
48,sat_aaai_p,4786,6245,10525,308235
49,sat_ACG_10p_d,3397,7047,8639,381708
50,sat_ACG_10p,8523,12598,16624,1632906
51,sat_ACG_10p_p,10620,15845,20120,1632906
52,sat_ACG_5p0_d,2808,5529,8989,324716
53,sat_ACG_5p0,6486,10978,16951,1390931
54,sat_ACG_5p0_p,9347,15219,19497,1390931
55,sat_ACG_5p1_d,2190,7341,6915,331196
56,sat_ACG_5p1,6493,11589,16719,1416850
57,sat_ACG_5p1_p,8127,14247,20412,1416850
58,sat_01_d,564,1025,1489,7502
59,sat_01,1258,2866,3312,28770
60,sat_01_p,1267,2064,3228,28770
61,sat_27_d,975,1082,1585,7729
62,sat_27,3465,5462,5696,29194
63,sat_27_p,3555,5373,5650,29194
64,sat_enc1_opt1_05_d,2177,4376,4229,59517
65,sat_enc1_opt1_05,4608,7203,8898,561784
66,sat_enc1_opt1_05_p,6552,10336,12109,561784
67,sat_enc1_opt1_10_d,1986,2834,3518,46993
68,sat_enc1_opt1_10,3773,5733,6839,270831
69,sat_enc1_opt1_10_p,5913,8093,9667,270831
70,sat_enc1_opt1_15_d,2718,3599,5035,61642
71,sat_enc1_opt1_15,4531,6746,8387,644099
72,sat_enc1_opt1_15_p,6943,10490,11314,644099
73,sat_enc1_opt2_4_d,966,1461,1969,14636
74,sat_enc1_opt2_4,357,773,950,386163
75,sat_enc1_opt2_4_p,600,1005,1615,386163
76,sat_enc1_opt2_12_d,480,826,1128,9495
77,sat_enc1_opt2_12,382,729,785,147853
78,sat_enc1_opt2_12_p,889,1098,1777,147853
79,sat_enc1_opt2_16_d,668,1098,1264,9643
80,sat_enc1_opt2_16,424,801,770,152744
81,sat_enc1_opt2_16_p,727,1266,1586,152744
82,sat_enc2_opt1_05_d,2453,3671,4029,56533
83,sat_enc2_opt1_05,2561,5986,5905,526872
84,sat_enc2_opt1_05_p,2946,6204,7095,526872
85,sat_enc2_opt1_15_d,2113,3914,4507,58752
86,sat_enc2_opt1_15,2376,4129,5001,580963
87,sat_enc2_opt1_15_p,3044,7112,7791,580963
88,sat_enc3_opt1_50_d,8218,26603,23459,1613160
89,sat_enc3_opt1_50,10256,13848,17389,6429816
90,sat_enc3_opt1_50_p,28555,92255,67411,6429816
91,sat_enc3_opt2_21_d,8383,12355,18621,1484061
92,sat_enc3_opt2_21,903,1867,6293,5933456
93,sat_enc3_opt2_21_p,24424,49916,50051,5933456
94,sat_enc3_opt2_12_d,12676,10738,22790,1236271
95,sat_enc3_opt2_12,1449,5052,6459,4932603
96,sat_enc3_opt2_12_p,17345,25998,26015,4932603
97,sat_enc3_opt2_14_d,5431,10765,15688,1240678
98,sat_enc3_opt2_14,1362,4267,4983,4950217
99,sat_enc3_opt2_14_p,12560,19863,16641,4950217
100,sat_blocks_d,4110,10686,15903,559571
101,sat_blocks,19987,43346,62347,10223027
102,sat_blocks_p,21984,54432,84823,10223027
103,sat_bob-opt_d,139,656,894,51144
104,sat_bob-opt,334,1803,2312,152446
105,sat_bob-opt_p,638,1533,4618,152446
106,sat_bob_d,1070,1678,2035,26294
107,sat_bob,2893,3946,5045,77920
108,sat_bob_p,3098,4957,5363,77920
109,sat_c10_d,2447,5151,6951,133998
110,sat_c10,9756,14370,22558,398467
111,sat_c10_p,20686,21820,29584,398467
112,sat_count_d,165,317,679,18607
113,sat_count,1131,812,2214,55724
114,sat_count_p,1149,2047,2282,55724
115,sat_ctl_d,1596,1080,3540,8806
116,sat_ctl,558,344,3668,90812
117,sat_ctl_p,196,1114,20513,90812
118,sat_ctl_5_d,4052,6194,9451,15232
119,sat_ctl_5,5096,10346,12531,134756
120,sat_ctl_5_p,6075,14200,13144,134756
121,sat_dated_11_d,3743,7774,8928,141860
122,sat_dated_11,11485,17421,19004,629461
123,sat_dated_11_p,16534,21561,25899,629461
124,sat_dated_17_d,7233,11827,14890,229544
125,sat_dated_17,20591,26722,29575,1070757
126,sat_dated_17_p,27142,32739,41391,1070757
127,sat_E02F20_d,1297,2135,2237,10420
128,sat_E02F20,190,4849,9502,395383
129,sat_E02F20_p,709,10405,11273,395383
130,sat_E02F22_d,1863,2864,3315,13574
131,sat_E02F22,243,7721,15307,1301188
132,sat_E02F22_p,253,14070,17030,1301188
133,sat_gss-18_d,547,646,993,31364
134,sat_gss-18,2083,3720,3520,94269
135,sat_gss-18_p,3025,3768,4422,94269
136,sat_gss-19_d,549,737,891,31435
137,sat_gss-19,1959,3259,3693,94548
138,sat_gss-19_p,2221,3185,4049,94548
139,sat_gss-20_d,522,629,951,31503
140,sat_gss-20,1787,3100,3994,94748
141,sat_gss-20_p,1925,3401,4267,94748
142,sat_gss-22_d,495,755,753,31616
143,sat_gss-22,1883,3326,3990,95110
144,sat_gss-22_p,2284,3999,4011,95110
145,sat_k45_d,183,945,1094,163622
146,sat_k45,1089,1285,2354,488120
147,sat_k45_p,1165,1427,2331,488120
148,sat_itox_d,90,2101,2452,152256
149,sat_itox,1812,4141,6148,441729
150,sat_itox_p,254,2371,3399,441729
151,sat_k2fix_d,5835,10696,15553,11313
152,sat_k2fix,0,40,197,305160
153,sat_k2fix_p,1665,3722,8630,305160
154,sat_manol_c10_i_d,4266,6892,10742,252516
155,sat_manol_c10_i,18057,20021,32258,750877
156,sat_manol_c10_i_p,15886,20963,33227,750877
157,sat_manol_c10_d,4364,13036,9779,433601
158,sat_manol_c10,23743,34883,50907,1291714
159,sat_manol_c10_p,22805,30832,42363,1291714
160,sat_manol_c8_d,4775,6607,8835,269048
161,sat_manol_c8,19702,29123,34891,799867
162,sat_manol_c8_p,15769,25336,40476,799867
163,sat_manol_g10_i_d,4467,7299,14821,266405
164,sat_manol_g10_i,14659,16955,23296,792175
165,sat_manol_g10_i_p,14553,31092,28801,792175
166,sat_MD5-28-1_d,1200,2069,2467,8282
167,sat_MD5-28-1,4881,8099,10232,62558
168,sat_MD5-28-1_p,4344,7563,8860,62558
169,sat_MD5-28-2_d,1182,2111,2372,8281
170,sat_MD5-28-2,4283,8270,9779,62554
171,sat_MD5-28-2_p,4722,7674,10458,62554
172,sat_MD5-28-4_d,1485,2109,2797,8281
173,sat_MD5-28-4,4719,7662,10114,62544
174,sat_MD5-28-4_p,4593,7204,9238,62544
175,sat_MD5-29-4_d,1333,2180,2771,8590
