id,dataset,k=2,k=3,k=4,
0,sat_10pipe_d,0.084055,0.0974577,0.931755,
1,sat_10pipe,0.0882844,0.140606,0.155218,
2,sat_10pipe_p,0.0432131,0.0685403,0.0941409,
3,sat_11pipe_d,2.3212,3.77841,6.49735,
4,sat_11pipe,0.146038,0.337286,0.719017,
5,sat_11pipe_p,0.1524,0.179178,0.29081,
6,sat_11pipe_kd,0.12108,0.140391,1.02943,
7,sat_11pipe_k,0.0953996,0.169797,0.184951,
8,sat_11pipe_kp,0.0518563,0.0850544,0.142266,
9,sat_6s10_d,0.0125213,0.0167012,0.0246487,
10,sat_6s10,0.0122139,0.0123288,0.0320615,
11,sat_6s10_p,0.0103018,0.0180887,0.0202329,
12,sat_6s11_d,0.01344,0.02122,0.0266936,
13,sat_6s11,0.0112047,0.0202993,0.027787,
14,sat_6s11_p,0.013762,0.0142031,0.0251263,
15,sat_6s12_d,0.014086,0.0201136,0.0262534,
16,sat_6s12,0.00742899,0.0169532,0.0245417,
17,sat_6s12_p,0.0136388,0.0158021,0.0261877,
18,sat_130_d,0.0149194,0.0199949,0.0277011,
19,sat_130,0.00616038,0.0245401,0.0208717,
20,sat_130_p,0.00595763,0.0197229,0.0246819,
21,sat_131_d,0.0161562,0.020125,0.0344505,
22,sat_131,0.0144604,0.0211253,0.0295125,
23,sat_131_p,0.0145627,0.0173246,0.0287893,
24,sat_133_d,0.0145958,0.0226569,0.0255378,
25,sat_133,0.0123732,0.0181704,0.0308656,
26,sat_133_p,0.0133841,0.0147946,0.0295403,
27,sat_153_d,0.0124826,0.0185725,0.0286887,
28,sat_153,0.00744771,0.0153974,0.0201125,
29,sat_153_p,0.0076175,0.0133793,0.024406,
30,sat_16_d,0.0115751,0.0157929,0.0292211,
31,sat_16,0.0123047,0.0186782,0.0282216,
32,sat_16_p,0.0129173,0.015106,0.0242103,
33,sat_184_d,0.0155412,0.0193359,0.0263307,
34,sat_184,0.00972704,0.0193439,0.0203749,
35,sat_184_p,0.00888,0.011925,0.0220451,
36,sat_9_d,0.0157224,0.0242733,0.0247897,
37,sat_9,0.00734851,0.0208003,0.0213903,
38,sat_9_p,0.0130922,0.0195676,0.0234554,
39,sat_9dlx_d,0.37409,0.374018,0.385748,
40,sat_9dlx,0.0268997,0.0705453,0.08183,
41,sat_9dlx_p,0.030953,0.0423801,0.0815267,
42,sat_bug7,0.332347,0.492846,0.961824,
43,sat_bug8_d,25.8345,25.0258,31.1443,
44,sat_bug8,0.340486,0.672934,0.675054,
45,sat_bug8_p,0.327597,0.816807,0.660881,
46,sat_aaai_d,0.00686198,0.0168353,0.0163484,
47,sat_aaai,0.009748,0.0246036,0.0261541,
48,sat_aaai_p,0.0105777,0.0207914,0.0233785,
49,sat_ACG_10p_d,0.0115363,0.0199575,0.0297775,
50,sat_ACG_10p,0.0209968,0.0342787,0.0492443,
51,sat_ACG_10p_p,0.0171617,0.0302118,0.0471465,
52,sat_ACG_5p0_d,0.0151605,0.0375519,0.0325936,
53,sat_ACG_5p0,0.0227436,0.0350598,0.0494923,
54,sat_ACG_5p0_p,0.0185824,0.0301146,0.0429919,
55,sat_ACG_5p1_d,0.0112501,0.020149,0.0318664,
56,sat_ACG_5p1,0.0206567,0.0377786,0.0482992,
57,sat_ACG_5p1_p,0.0179705,0.0290569,0.0447112,
58,sat_01_d,0.00677056,0.00753842,0.0177987,
59,sat_01,0.00757754,0.0132058,0.0209138,
60,sat_01_p,0.00741331,0.0120662,0.016697,
61,sat_27_d,0.0127219,0.0135971,0.0215068,
62,sat_27,0.0100011,0.0141704,0.0239363,
63,sat_27_p,0.00907235,0.0143461,0.0126491,
64,sat_enc1_opt1_05_d,0.0134308,0.0232742,0.0328071,
65,sat_enc1_opt1_05,0.0151142,0.0326282,0.0339148,
66,sat_enc1_opt1_05_p,0.00915622,0.0218778,0.0255034,
67,sat_enc1_opt1_10_d,0.0110782,0.0193959,0.0262024,
68,sat_enc1_opt1_10,0.0226627,0.0199753,0.039396,
69,sat_enc1_opt1_10_p,0.0106591,0.0204052,0.0254955,
70,sat_enc1_opt1_15_d,0.0167252,0.0233618,0.0326077,
71,sat_enc1_opt1_15,0.0120705,0.0273488,0.0266424,
72,sat_enc1_opt1_15_p,0.0171817,0.0215277,0.0319723,
73,sat_enc1_opt2_4_d,0.0110999,0.0169941,0.0529032,
74,sat_enc1_opt2_4,0.0073368,0.0159,0.0207488,
75,sat_enc1_opt2_4_p,0.00704621,0.0171824,0.0258758,
76,sat_enc1_opt2_12_d,0.0084073,0.0136644,0.0183883,
77,sat_enc1_opt2_12,0.00666957,0.0115931,0.0187218,
78,sat_enc1_opt2_12_p,0.0063584,0.0104567,0.0216494,
79,sat_enc1_opt2_16_d,0.0077799,0.0142677,0.0165573,
80,sat_enc1_opt2_16,0.00710266,0.012157,0.0125524,
81,sat_enc1_opt2_16_p,0.00622739,0.0102579,0.0165523,
82,sat_enc2_opt1_05_d,0.0154723,0.023796,0.0482562,
83,sat_enc2_opt1_05,0.010551,0.0231438,0.039546,
84,sat_enc2_opt1_05_p,0.0132085,0.0212049,0.0299256,
85,sat_enc2_opt1_15_d,0.0133974,0.0236241,0.0362905,
86,sat_enc2_opt1_15,0.0101268,0.0247624,0.0310879,
87,sat_enc2_opt1_15_p,0.00969619,0.0183172,0.0313168,
88,sat_enc3_opt1_50_d,0.0403825,0.108497,0.111542,
89,sat_enc3_opt1_50,0.0761748,0.13113,0.165682,
90,sat_enc3_opt1_50_p,0.0942712,0.173448,0.218223,
91,sat_enc3_opt2_21_d,0.0448977,0.0748627,0.103123,
92,sat_enc3_opt2_21,0.0595349,0.10382,0.136968,
93,sat_enc3_opt2_21_p,0.0750194,0.11865,0.180944,
94,sat_enc3_opt2_12_d,0.0357931,0.0634388,0.105594,
95,sat_enc3_opt2_12,0.0504613,0.0881942,0.131219,
96,sat_enc3_opt2_12_p,0.0496492,0.0972214,0.119922,
97,sat_enc3_opt2_14_d,0.0357599,0.0843231,0.11666,
98,sat_enc3_opt2_14,0.0520204,0.0879783,0.126764,
99,sat_enc3_opt2_14_p,0.0496057,0.0953644,0.126088,
100,sat_blocks_d,0.0744075,0.1273,0.233311,
101,sat_blocks,0.152042,0.257356,0.3379,
102,sat_blocks_p,0.20728,0.341547,0.433952,
103,sat_bob-opt_d,0.00829734,0.017938,0.0236902,
104,sat_bob-opt,0.0061585,0.0151166,0.0257032,
105,sat_bob-opt_p,0.0123058,0.0168392,0.0251467,
106,sat_bob_d,0.00642477,0.00862752,0.0149069,
107,sat_bob,0.00776842,0.0176788,0.0204679,
108,sat_bob_p,0.00676202,0.0107224,0.0199955,
109,sat_c10_d,0.0208623,0.0469815,0.048088,
110,sat_c10,0.0215775,0.0302078,0.0620506,
111,sat_c10_p,0.0144275,0.021995,0.0417197,
112,sat_count_d,0.00588621,0.012464,0.0160614,
113,sat_count,0.00989699,0.0129523,0.0206973,
114,sat_count_p,0.00579955,0.00909957,0.017069,
115,sat_ctl_d,0.00519197,0.0105257,0.0133596,
116,sat_ctl,0.00598726,0.00914,0.0169075,
117,sat_ctl_p,0.0058663,0.0124969,0.0154904,
118,sat_ctl_5_d,0.00591363,0.0106405,0.0141498,
