id,dataset,k=2,k=3,k=4,
0,sat_10pipe_d,0.0511683,0.0841874,1.68816,
1,sat_10pipe,0.143611,0.296223,0.342272,
2,sat_10pipe_p,0.137348,0.206536,0.338242,
3,sat_11pipe_d,0.177284,0.0,13.5668,
4,sat_11pipe,0.0,0.0,0.0,
5,sat_11pipe_p,0.417592,0.545833,0.0,
6,sat_11pipe_kd,0.090623,0.126059,2.53516,
7,sat_11pipe_k,0.219527,0.477956,0.0,
8,sat_11pipe_kp,0.132975,0.211901,0.411482,
9,sat_6s10_d,0.0141921,0.0226611,0.0327642,
10,sat_6s10,0.0135674,0.0344228,0.0387914,
11,sat_6s10_p,0.017062,0.028353,0.0399408,
12,sat_6s11_d,0.0165309,0.0309079,0.0352758,
13,sat_6s11,0.0173241,0.037532,0.0542907,
14,sat_6s11_p,0.015847,0.0316299,0.0362444,
15,sat_6s12_d,0.0151984,0.0234526,0.0427484,
16,sat_6s12,0.0147807,0.0340457,0.048515,
17,sat_6s12_p,0.0131998,0.0288276,0.0334687,
18,sat_130_d,0.0166249,0.0355695,0.0426274,
19,sat_130,0.0105253,0.0337803,0.0510153,
20,sat_130_p,0.0105154,0.0353849,0.0442134,
21,sat_131_d,0.0160131,0.0298819,0.0476836,
22,sat_131,0.011808,0.0273347,0.0472902,
23,sat_131_p,0.0121655,0.038716,0.0508271,
24,sat_133_d,0.0173605,0.0328038,0.0422802,
25,sat_133,0.0157749,0.0375245,0.0450181,
26,sat_133_p,0.0224459,0.0271283,0.0535047,
27,sat_153_d,0.0246289,0.0403695,0.0564221,
28,sat_153,0.0123699,0.0322282,0.0476655,
29,sat_153_p,0.0144923,0.0335238,0.0557943,
30,sat_16_d,0.0161034,0.0232617,0.0387789,
31,sat_16,0.0208235,0.035083,0.0581224,
32,sat_16_p,0.0172279,0.0262966,0.0396915,
33,sat_184_d,0.0192275,0.0258389,0.0435544,
34,sat_184,0.0131853,0.0335897,0.0517569,
35,sat_184_p,0.0153436,0.0254828,0.0421441,
36,sat_9_d,0.0160531,0.0303026,0.0410639,
37,sat_9,0.0188733,0.0328288,0.0572565,
