id,dataset,k=2,k=3,k=4,
0,sat_10pipe_d,0.0306178,0.0505314,0.989467,
1,sat_10pipe,0.0852634,0.174642,0.205872,
2,sat_10pipe_p,0.0767269,0.100798,0.183982,
3,sat_11pipe_d,0.0993521,2.48519,6.76471,
4,sat_11pipe,0.210095,0.882371,1.63257,
5,sat_11pipe_p,0.23144,0.252733,0.482244,
6,sat_11pipe_kd,0.0533223,0.0741163,1.4438,
7,sat_11pipe_k,0.15203,0.286208,0.354894,
8,sat_11pipe_kp,0.0865146,0.12601,0.213946,
9,sat_6s10_d,0.0105738,0.0156689,0.0279082,
10,sat_6s10,0.0130048,0.0292199,0.0355765,
11,sat_6s10_p,0.0154519,0.0241433,0.0363827,
12,sat_6s11_d,0.0120141,0.0242625,0.0271728,
13,sat_6s11,0.015747,0.0304099,0.0442767,
14,sat_6s11_p,0.014745,0.0264986,0.0311718,
15,sat_6s12_d,0.0108586,0.016457,0.0354872,
16,sat_6s12,0.0124591,0.0257204,0.0422826,
17,sat_6s12_p,0.0114285,0.025849,0.0307122,
18,sat_130_d,0.0103342,0.0258242,0.0322431,
19,sat_130,0.00853588,0.0273526,0.0355664,
20,sat_130_p,0.00896743,0.0334659,0.0363836,
21,sat_131_d,0.011482,0.0210334,0.0330555,
22,sat_131,0.0105427,0.0231125,0.0406313,
23,sat_131_p,0.0100472,0.031513,0.0350443,
24,sat_133_d,0.0113701,0.0227279,0.0327288,
25,sat_133,0.0145175,0.0292828,0.0327772,
26,sat_133_p,0.0207064,0.0221485,0.0448381,
27,sat_153_d,0.0139652,0.0263868,0.0371651,
28,sat_153,0.010514,0.0250092,0.0340334,
29,sat_153_p,0.0130822,0.0261114,0.0411168,
30,sat_16_d,0.0142425,0.0173678,0.0290583,
31,sat_16,0.016959,0.0259324,0.0436048,
32,sat_16_p,0.0170874,0.0235274,0.036441,
33,sat_184_d,0.0128119,0.0192454,0.0349651,
34,sat_184,0.0103559,0.0285605,0.0382025,
35,sat_184_p,0.0129217,0.0200179,0.0305608,
36,sat_9_d,0.0118892,0.0235741,0.0296689,
37,sat_9,0.015447,0.0275783,0.0476389,
38,sat_9_p,0.0149072,0.0246177,0.0369924,
39,sat_9dlx_d,0.0236036,0.0978128,0.0388894,
40,sat_9dlx,0.0531574,0.118163,0.118899,
41,sat_9dlx_p,0.0510927,0.0741879,0.12477,
42,sat_bug7,0.12477,0.12477,0.12477,
43,sat_bug8_d,0.246579,4.66658,2.32595,
44,sat_bug8,2.32595,2.32595,2.32595,
45,sat_bug8_p,2.32595,2.32595,2.32595,
46,sat_aaai_d,0.00858107,0.0212662,0.0496315,
47,sat_aaai,0.016955,0.0391714,0.0432023,
48,sat_aaai_p,0.016288,0.0384759,0.0495605,
49,sat_ACG_10p_d,0.0247547,0.046066,0.0641712,
50,sat_ACG_10p,0.0334165,0.0712815,0.100683,
51,sat_ACG_10p_p,0.0427864,0.0696486,0.146403,
52,sat_ACG_5p0_d,0.0220075,0.043492,0.0580968,
53,sat_ACG_5p0,0.0356144,0.0693374,0.106337,
54,sat_ACG_5p0_p,0.0342383,0.064687,0.0923923,
55,sat_ACG_5p1_d,0.0215528,0.0379718,0.0672452,
56,sat_ACG_5p1,0.036499,0.0725838,0.0950506,
57,sat_ACG_5p1_p,0.0369404,0.0687542,0.0977003,
58,sat_01_d,0.00836651,0.0132587,0.0233191,
59,sat_01,0.0119676,0.0167534,0.0327837,
60,sat_01_p,0.00899344,0.0152037,0.0239667,
61,sat_27_d,0.0119403,0.0127941,0.0242741,
62,sat_27,0.0154665,0.0183843,0.0293047,
63,sat_27_p,0.00950109,0.0137493,0.0210773,
64,sat_enc1_opt1_05_d,0.0211306,0.0390606,0.0441595,
65,sat_enc1_opt1_05,0.0237845,0.0470186,0.0640855,
66,sat_enc1_opt1_05_p,0.0196532,0.0442696,0.0559473,
67,sat_enc1_opt1_10_d,0.0155143,0.0269012,0.0372357,
68,sat_enc1_opt1_10,0.0368496,0.0384912,0.0634753,
69,sat_enc1_opt1_10_p,0.0192846,0.0370964,0.0485786,
70,sat_enc1_opt1_15_d,0.0248573,0.0387778,0.0465962,
71,sat_enc1_opt1_15,0.0220929,0.0635343,0.0575663,
72,sat_enc1_opt1_15_p,0.0280758,0.0458518,0.0829026,
73,sat_enc1_opt2_4_d,0.0143283,0.0224893,0.034327,
74,sat_enc1_opt2_4,0.0149435,0.0302965,0.0411065,
75,sat_enc1_opt2_4_p,0.0143974,0.0288925,0.057599,
76,sat_enc1_opt2_12_d,0.00945996,0.0178485,0.02383,
77,sat_enc1_opt2_12,0.0116266,0.0203364,0.0331556,
78,sat_enc1_opt2_12_p,0.00964437,0.0167777,0.0306353,
79,sat_enc1_opt2_16_d,0.0113616,0.0201732,0.0286361,
80,sat_enc1_opt2_16,0.0102819,0.0194871,0.0258063,
81,sat_enc1_opt2_16_p,0.00929973,0.0169017,0.0321638,
82,sat_enc2_opt1_05_d,0.0201075,0.0384816,0.0402601,
83,sat_enc2_opt1_05,0.0219762,0.0445243,0.056533,
84,sat_enc2_opt1_05_p,0.0214482,0.0497623,0.0589705,
85,sat_enc2_opt1_15_d,0.0213032,0.0480202,0.0440916,
86,sat_enc2_opt1_15,0.020677,0.0405148,0.0551797,
87,sat_enc2_opt1_15_p,0.0216184,0.0444868,0.0622201,
88,sat_enc3_opt1_50_d,0.105207,0.157135,0.23346,
89,sat_enc3_opt1_50,0.131818,0.225504,0.313029,
90,sat_enc3_opt1_50_p,0.172889,0.311672,0.384934,
91,sat_enc3_opt2_21_d,0.088179,0.130375,0.184036,
92,sat_enc3_opt2_21,0.114577,0.207753,0.288771,
93,sat_enc3_opt2_21_p,0.118825,0.229528,0.293604,
94,sat_enc3_opt2_12_d,0.0648676,0.134112,0.170677,
95,sat_enc3_opt2_12,0.0962463,0.188944,0.256024,
96,sat_enc3_opt2_12_p,0.0873647,0.173667,0.23805,
97,sat_enc3_opt2_14_d,0.0674242,0.11169,0.167299,
98,sat_enc3_opt2_14,0.0976764,0.19418,0.266945,
99,sat_enc3_opt2_14_p,0.0976736,0.190349,0.248634,
100,sat_blocks_d,0.133804,0.189086,0.251633,
101,sat_blocks,0.238326,0.453495,0.585955,
102,sat_blocks_p,0.29726,0.486411,0.67529,
103,sat_bob-opt_d,0.00835733,0.0208268,0.031867,
104,sat_bob-opt,0.0100994,0.0247098,0.040907,
105,sat_bob-opt_p,0.0132091,0.0264157,0.0402498,
106,sat_bob_d,0.00777535,0.0154227,0.0200049,
107,sat_bob,0.0114441,0.0263876,0.0261,
108,sat_bob_p,0.010934,0.0199814,0.0291675,
109,sat_c10_d,0.0191211,0.0455646,0.0447838,
110,sat_c10,0.0400611,0.05047,0.0803287,
111,sat_c10_p,0.0257604,0.0471643,0.0717591,
112,sat_count_d,0.00823911,0.0167838,0.0239468,
113,sat_count,0.0126025,0.0184179,0.0296072,
114,sat_count_p,0.00892368,0.0137604,0.0273046,
115,sat_ctl_d,0.00654856,0.0148287,0.0191641,
116,sat_ctl,0.00847339,0.0152108,0.0303043,
117,sat_ctl_p,0.00955047,0.0172562,0.0273063,
118,sat_ctl_5_d,0.00806655,0.0164047,0.0216359,
119,sat_ctl_5,0.0128526,0.0290084,0.0394631,
120,sat_ctl_5_p,0.0188553,0.0293535,0.043731,
121,sat_dated_11_d,0.0173106,0.056638,0.05727,
122,sat_dated_11,0.0279336,0.0394362,0.0673295,
123,sat_dated_11_p,0.0220384,0.0433751,0.0550522,
124,sat_dated_17_d,0.0170098,0.0398114,0.0466444,
125,sat_dated_17,0.0334102,0.0658583,0.0832583,
126,sat_dated_17_p,0.0386343,0.0612334,0.0866277,
127,sat_E02F20_d,0.0196174,0.0337811,0.0489251,
128,sat_E02F20,0.0103412,0.0288804,0.0382332,
129,sat_E02F20_p,0.00934215,0.0251669,0.0325603,
130,sat_E02F22_d,0.0577744,0.583421,0.157094,
131,sat_E02F22,0.0242618,0.0552467,0.0876796,
132,sat_E02F22_p,0.0242561,0.0495573,0.0847345,
133,sat_gss-18_d,0.00901703,0.0107148,0.0166123,
134,sat_gss-18,0.0208404,0.0282451,0.0407449,
135,sat_gss-18_p,0.00936437,0.019998,0.0292287,
136,sat_gss-19_d,0.00717993,0.0148365,0.0212217,
137,sat_gss-19,0.0160457,0.0228592,0.0400652,
138,sat_gss-19_p,0.0148892,0.0326331,0.0355122,
139,sat_gss-20_d,0.00637731,0.0144162,0.022757,
140,sat_gss-20,0.0158216,0.0198157,0.036271,
141,sat_gss-20_p,0.0130987,0.0247129,0.0366066,
142,sat_gss-22_d,0.00722027,0.0213135,0.0184686,
143,sat_gss-22,0.0124742,0.0314455,0.0355057,
144,sat_gss-22_p,0.0175704,0.0242516,0.0357269,
145,sat_k45_d,0.0331746,0.0418648,0.0613745,
146,sat_k45,0.0151217,0.0274167,0.0476774,
147,sat_k45_p,0.0159507,0.0316027,0.0407298,
148,sat_itox_d,0.0562279,0.0490951,0.0713467,
149,sat_itox,0.0235712,0.0423447,0.0644674,
150,sat_itox_p,0.020068,0.0532639,0.0501228,
151,sat_k2fix_d,0.015731,0.0191469,0.0892638,
152,sat_k2fix,0.00684413,0.0231076,0.027248,
153,sat_k2fix_p,0.0197182,0.0375417,0.0656472,
154,sat_manol_c10_i_d,0.0329925,0.0473792,0.0626535,
155,sat_manol_c10_i,0.0514322,0.0768277,0.101256,
156,sat_manol_c10_i_p,0.0499187,0.0733381,0.101121,
157,sat_manol_c10_d,0.0505487,0.0738769,0.109983,
158,sat_manol_c10,0.111539,0.13781,0.182443,
159,sat_manol_c10_p,0.0648034,0.118231,0.16603,
160,sat_manol_c8_d,0.0286379,0.0485462,0.100374,
161,sat_manol_c8,0.0292903,0.11186,0.106049,
162,sat_manol_c8_p,0.0419949,0.056365,0.0905591,
163,sat_manol_g10_i_d,0.0315574,0.0520257,0.065165,
164,sat_manol_g10_i,0.0492655,0.0957778,0.103669,
165,sat_manol_g10_i_p,0.047721,0.0713574,0.115566,
166,sat_MD5-28-1_d,0.0114903,0.0407487,0.028005,
167,sat_MD5-28-1,0.0115739,0.022743,0.02932,
168,sat_MD5-28-1_p,0.0104571,0.0228932,0.0274726,
169,sat_MD5-28-2_d,0.0110727,0.0234109,0.0429702,
170,sat_MD5-28-2,0.0113281,0.0227306,0.0301949,
171,sat_MD5-28-2_p,0.00982981,0.0153655,0.023737,
172,sat_MD5-28-4_d,0.0112511,0.0295028,0.0199084,
173,sat_MD5-28-4,0.0149385,0.0254563,0.0334065,
174,sat_MD5-28-4_p,0.009559,0.0185938,0.0274253,
175,sat_MD5-29-4_d,0.0102089,0.0276701,0.035047,
176,sat_MD5-29-4,0.0125404,0.0241524,0.0352533,
177,sat_MD5-29-4_p,0.0124574,0.0176391,0.028831,
178,sat_MD5-30-4_d,0.0115724,0.0192167,0.0239147,
179,sat_MD5-30-4,0.0135533,0.0266637,0.0318697,
180,sat_MD5-30-4_p,0.00949533,0.0218611,0.0259269,
181,sat_MD5-30-5_d,0.0120738,0.0167862,0.0245326,
182,sat_MD5-30-5,0.0141812,0.020667,0.0368855,
183,sat_MD5-30-5_p,0.00828386,0.0183472,0.0273544,
184,sat_min_d,0.0277115,0.0439718,0.0804151,
185,sat_min,0.0317274,0.049071,0.0967071,
186,sat_min_p,0.0286143,0.0602,0.0754208,
187,sat_p30_d,0.0285912,0.0879565,0.0961465,
188,sat_p30,0.0380756,0.0880762,0.137022,
189,sat_p30_p,0.059637,0.0951551,0.1161,
190,sat_p30_NOT_d,0.0165483,0.0736454,0.0440324,
191,sat_p30_NOT,0.0318101,0.0504162,0.0724416,
192,sat_p30_NOT_p,0.0361325,0.0665481,0.0988114,
193,sat_non_p30_d,0.0292951,0.0897923,0.0971805,
194,sat_non_p30,0.0390641,0.0956997,0.183883,
195,sat_non_p30_p,0.0567612,0.0990632,0.166818,
196,sat_post_d,0.0442548,0.0683039,0.113435,
197,sat_post,0.0406681,0.0690535,0.107006,
198,sat_post_p,0.0440461,0.080492,0.0965108,
199,sat_post-ee_d,0.0325625,0.061489,0.0991269,
200,sat_post-ee,0.0328307,0.0627077,0.0992456,
201,sat_post-ee_p,0.0300137,0.0535834,0.112703,
202,sat_L100_d,0.091702,0.136053,0.324741,
203,sat_L100,0.0503253,0.102516,0.234208,
204,sat_L100_p,0.0903309,0.139312,0.179041,
205,sat_L150_d,0.190747,0.267428,0.687031,
206,sat_L150,0.082677,0.163982,0.455164,
207,sat_L150_p,0.0791127,0.172805,0.293432,
208,sat_L200_d,0.20892,0.226019,0.302504,
209,sat_L200,0.153617,0.503414,0.378387,
210,sat_L200_p,0.424023,0.455695,0.650284,
211,sat_L80_d,0.0845137,0.136019,0.175208,
212,sat_L80,0.0455397,0.106632,0.502178,
213,sat_L80_p,0.058321,0.116784,0.159651,
214,sat_k100_1d,0.0642844,0.116645,0.313964,
215,sat_k100_1,0.100885,0.195153,0.267074,
216,sat_k100_1p,0.0864908,0.179804,0.248425,
217,sat_k100_2d,0.0624479,0.128009,0.344144,
218,sat_k100_2,0.106578,0.192959,0.268368,
219,sat_k100_2p,0.0996699,0.186631,0.258012,
220,sat_k70_d,0.0512797,0.0925094,0.120899,
221,sat_k70,0.16771,0.156314,0.403794,
222,sat_k70_p,0.070076,0.135523,0.183705,
223,sat_k75_d,0.0503589,0.0904862,0.132524,
224,sat_k75,0.0798151,0.164554,0.224885,
225,sat_k75_p,0.0722954,0.152286,0.20078,
226,sat_k80_d,0.0521021,0.0921194,0.128045,
227,sat_k80,0.0874785,0.18107,0.242049,
228,sat_k80_p,0.0765858,0.161716,0.206177,
229,sat_k85_2d,0.0566966,0.103769,0.135624,
230,sat_k85_2,0.0939134,0.187396,0.237029,
231,sat_k85_2p,0.0803701,0.175123,0.300408,
232,sat_k85_3d,0.0554581,0.10114,0.13414,
233,sat_k85_3,0.0894207,0.174471,0.230793,
234,sat_k85_3p,0.0788158,0.168542,0.314931,
235,sat_k90_d,0.0593919,0.119596,0.137794,
236,sat_k90,0.0895055,0.189236,0.265419,
237,sat_k90_p,0.0832521,0.171021,0.227072,
238,sat_k95_d,0.0603918,0.108767,0.15184,
239,sat_k95,0.0962725,0.201133,0.330645,
240,sat_k95_p,0.0834841,0.177766,0.23853,
241,sat_slp_d,0.0188249,0.0445994,0.0684474,
242,sat_slp,0.0392266,0.0695887,0.08127,
243,sat_slp_p,0.0477182,0.0974621,0.102998,
244,sat_030_d,0.0621273,0.0869424,0.142023,
245,sat_030,0.0735737,0.208459,0.181858,
246,sat_030_p,0.0986429,0.187311,0.218973,
247,sat_050_d,0.0616468,0.125741,0.177599,
248,sat_050,0.0899829,0.241922,0.29229,
249,sat_050_p,0.0752853,0.168481,0.238762,
250,sat_UCG-10p0_d,0.0178484,0.0309433,0.0617699,
251,sat_UCG-10p0,0.0335709,0.0565585,0.0833651,
252,sat_UCG-10p0_p,0.0352047,0.0713978,0.0800561,
253,sat_UCG-10p1_d,0.0171642,0.0586702,0.0441054,
254,sat_UCG-10p1,0.0304883,0.0581187,0.0947591,
255,sat_UCG-10p1_p,0.0288266,0.051205,0.0747456,
256,sat_UCG-5p0_d,0.0243694,0.0367785,0.0550009,
257,sat_UCG-5p0,0.0383084,0.10045,0.117248,
258,sat_UCG-5p0_p,0.0372247,0.0624591,0.0796323,
259,sat_UR-15_d,0.0217999,0.036611,0.0505694,
260,sat_UR-15,0.0436125,0.082335,0.0904277,
261,sat_UR-15_p,0.0355516,0.055411,0.0770752,
262,sat_UR-20_d,0.0220715,0.037787,0.0539212,
263,sat_UR-20,0.0438514,0.0872069,0.102269,
264,sat_UR-20_p,0.0447985,0.0809903,0.101193,
265,sat_UTI_d,0.0363471,0.0593339,0.0799676,
266,sat_UTI,0.0341473,0.0586761,0.0929751,
267,sat_UTI_p,0.0370572,0.0556245,0.0827375,
268,sat_2.0_d,0.0457905,0.063839,0.276514,
269,sat_2.0,0.100749,0.247826,0.306253,
270,sat_2.0_p,0.0730874,0.154815,0.18951,
271,sat_4.0-9_d,0.0537876,0.0592069,0.545391,
272,sat_4.0-9,0.104581,0.186242,0.188429,
273,sat_4.0-9_p,0.100113,0.142573,0.177802,
274,192bit,0.0137896,0.0158,0.0269445,
275,2cubes,0.0129718,0.0306626,0.0467393,
276,2D,0.0105855,0.0216487,0.0341512,
277,3D,0.0310659,0.053378,0.0651418,
278,ABACUS,0.00616814,0.0149975,0.0151287,
279,af23560,0.00547807,0.0118748,0.0142279,
280,af_shell,0.0306131,0.0564636,0.0874999,
281,airfoil,0.00592041,0.00973329,0.0163508,
282,Andrews,0.0139,0.0247462,0.0285167,
283,appu,0.010386,0.0237283,0.033286,
284,as-22,0.0104282,0.0134705,0.050852,
285,astro,0.0167793,0.0231752,0.0358501,
286,atmos,0.0817786,0.139018,0.178799,
287,av41092,0.0129129,0.0242633,0.0299461,
288,barrier,0.029615,0.0410554,0.0575744,
289,Baumann,0.0118548,0.0211706,0.0302043,
290,bayer04,0.00572383,0.00961033,0.0211837,
291,bbmat,0.0100271,0.0165629,0.0256951,
292,bcsstk,0.00485502,0.0110158,0.0166268,
293,Ben,0.0243545,0.0427799,0.0635606,
294,bibd,0.00411334,0.0144874,0.0166826,
295,bips,0.00614423,0.0137976,0.0158054,
296,bloweya,0.00771305,0.0272128,0.029666,
297,bundle,0.00661852,0.0117868,0.0168255,
298,c-55,0.0157509,0.0247385,0.0302375,
299,c-61,0.00845093,0.0130623,0.0281233,
300,c-64,0.0190871,0.0356362,0.0492611,
301,CondMat,0.00938372,0.016705,0.0190262,
302,cage10,0.00769854,0.0135763,0.0173425,
303,ccc,0.00564066,0.0194809,0.0280292,
304,cfd,0.016042,0.0236024,0.0369173,
305,Chem97Zt,0.00243828,0.00572003,0.00684114,
306,circuit,0.00838747,0.0113299,0.0229929,
307,ckt,0.0173159,0.0275007,0.0397698,
308,cnr,0.0186059,0.0343624,0.0461848,
309,conf5_4,0.00761198,0.0252495,0.0200225,
310,copter,0.00591096,0.0123967,0.0171184,
311,coupled,0.00498929,0.0165884,0.017941,
312,crash,0.0153807,0.0282744,0.0385989,
313,cryg,0.00496374,0.0131294,0.0152196,
314,crystk,0.00442824,0.00957103,0.012457,
315,d_pretok,0.014312,0.0278582,0.0407546,
316,dac11,0.0524987,0.112958,0.153619,
317,dac14,0.0426992,0.0870306,0.114859,
318,dac16,0.0544689,0.0824126,0.101799,
319,dac2,0.0561882,0.117251,0.14067,
320,dac3,0.059479,0.108349,0.123775,
321,dac6,0.0641884,0.105346,0.156911,
322,dac7,0.058882,0.133626,0.172948,
323,delta,0.00761213,0.017117,0.0248835,
324,denormal,0.0108402,0.0201013,0.0278929,
325,dict,0.00668142,0.0567553,0.0465531,
326,diel,0.0581772,0.104536,0.130062,
327,cova2,0.00807222,0.0159193,0.0261217,
328,ecl32,0.0202897,0.0174745,0.037538,
329,Emilia,0.08361,0.144627,0.20996,
330,epb1,0.00624541,0.0139448,0.0207212,
331,ESOC,0.0328203,0.124613,0.059923,
332,Eternity,0.00867802,0.0328713,0.236929,
333,ex19,0.00224877,0.00852809,0.00977849,
334,F2,0.0129679,0.0231627,0.0343885,
335,fd18,0.0186347,0.0218649,0.0282314,
336,fem,0.0122603,0.0309933,0.0345055,
337,finan,0.00883991,0.014574,0.0246839,
338,flower,0.0132163,0.0254054,0.0528776,
339,foldoc,0.0131091,0.0310716,0.0263929,
340,Franz,0.0157203,0.042212,0.0308992,
341,G2,0.0233816,0.0483287,0.0562934,
342,g7jac,0.0056081,0.0123997,0.0167433,
343,garon,0.00425735,0.0127064,0.013896,
344,gearbox,0.0200048,0.0383502,0.0520609,
345,gemat,0.0076187,0.00875601,0.0124944,
346,graphics,0.00731265,0.0135373,0.0208902,
347,gyro,0.0039312,0.00768244,0.0193342,
348,H2O,0.017423,0.0365426,0.0386072,
349,HEP,0.0143572,0.0617734,0.027322,
350,HTC,0.0247656,0.0391443,0.0509542,
351,hvdc1,0.00494181,0.0106279,0.0172907,
352,IG5,0.00597586,0.0369519,0.0591543,
353,Ill,0.00648131,0.0128459,0.0189495,
