id,dataset,k=2,k=3,k=4,
0,sat_10pipe_d,0.0285668,0.0441622,0.919346,
1,sat_10pipe,0.0906194,0.175963,0.197819,
2,sat_10pipe_p,0.0652162,0.104139,0.190133,
3,sat_11pipe_d,0.0847352,2.19778,6.07201,
4,sat_11pipe,0.168213,0.821399,1.52014,
5,sat_11pipe_p,0.206973,0.223416,0.421916,
6,sat_11pipe_kd,0.0463724,0.0660881,1.30759,
7,sat_11pipe_k,0.129587,0.259574,0.320846,
8,sat_11pipe_kp,0.0749119,0.133688,0.207084,
9,sat_6s10_d,0.0109175,0.0195264,0.031452,
10,sat_6s10,0.0125214,0.0290035,0.036401,
11,sat_6s10_p,0.0142476,0.0241623,0.0372525,
12,sat_6s11_d,0.0116936,0.025568,0.0283827,
13,sat_6s11,0.0154714,0.0326427,0.0451654,
14,sat_6s11_p,0.012734,0.0225612,0.033214,
15,sat_6s12_d,0.0111374,0.0178501,0.036305,
16,sat_6s12,0.0122687,0.0273318,0.0451844,
17,sat_6s12_p,0.0111318,0.0257,0.0332248,
18,sat_130_d,0.0118815,0.0260689,0.0331751,
19,sat_130,0.00823363,0.0254857,0.037539,
20,sat_130_p,0.0084097,0.0334682,0.0391749,
21,sat_131_d,0.011906,0.0220305,0.0371553,
22,sat_131,0.0103385,0.0234692,0.04037,
23,sat_131_p,0.0125764,0.0336159,0.0352206,
24,sat_133_d,0.0127075,0.0261893,0.0335011,
25,sat_133,0.0129629,0.0352181,0.0360254,
26,sat_133_p,0.0208158,0.0251568,0.0461332,
27,sat_153_d,0.0136809,0.0273199,0.0410743,
28,sat_153,0.0104015,0.0245352,0.0349921,
29,sat_153_p,0.013609,0.0260632,0.0439113,
30,sat_16_d,0.0142979,0.0194451,0.0330027,
31,sat_16,0.0181684,0.0266948,0.0474437,
32,sat_16_p,0.0151507,0.026614,0.037567,
33,sat_184_d,0.0139201,0.0215943,0.0348469,
34,sat_184,0.0106246,0.0288878,0.0428893,
35,sat_184_p,0.0146694,0.0225406,0.0334086,
36,sat_9_d,0.0146473,0.0245743,0.0338996,
37,sat_9,0.0181815,0.0265381,0.0482433,
38,sat_9_p,0.0150482,0.0244698,0.0406852,
39,sat_9dlx_d,0.0216447,0.0932848,0.0375268,
40,sat_9dlx,0.0441278,0.114817,0.129926,
41,sat_9dlx_p,0.0479943,0.0604745,0.125325,
42,sat_bug7,0.365819,0.590996,1.29371,
43,sat_bug8_d,0.226153,4.27904,2.06619,
44,sat_bug8,0.405108,0.911211,0.914923,
45,sat_bug8_p,0.53785,0.902997,1.02397,
46,sat_aaai_d,0.00761854,0.0231243,0.0514459,
47,sat_aaai,0.0172675,0.0433724,0.0421382,
48,sat_aaai_p,0.0171914,0.0388714,0.0508703,
49,sat_ACG_10p_d,0.0242211,0.0438985,0.0589375,
50,sat_ACG_10p,0.031278,0.0663228,0.0940856,
51,sat_ACG_10p_p,0.0398668,0.0696862,0.136888,
52,sat_ACG_5p0_d,0.0219455,0.0402755,0.0560013,
53,sat_ACG_5p0,0.0339923,0.0652063,0.0952064,
54,sat_ACG_5p0_p,0.031736,0.0576802,0.0922956,
55,sat_ACG_5p1_d,0.0200798,0.0415265,0.0683599,
56,sat_ACG_5p1,0.0372583,0.0670006,0.126367,
57,sat_ACG_5p1_p,0.0352913,0.0815306,0.0894619,
58,sat_01_d,0.00949498,0.0157306,0.0275164,
59,sat_01,0.0118052,0.0183028,0.035953,
60,sat_01_p,0.00864807,0.0177276,0.0250702,
61,sat_27_d,0.0120762,0.0136428,0.0268625,
62,sat_27,0.0143299,0.015139,0.0332982,
63,sat_27_p,0.0101377,0.0168738,0.02267,
64,sat_enc1_opt1_05_d,0.0208818,0.0396648,0.0451959,
65,sat_enc1_opt1_05,0.023646,0.0434526,0.0617736,
66,sat_enc1_opt1_05_p,0.0202185,0.0404564,0.050731,
67,sat_enc1_opt1_10_d,0.0158954,0.0302108,0.0388078,
68,sat_enc1_opt1_10,0.0315599,0.0380492,0.058793,
69,sat_enc1_opt1_10_p,0.0198045,0.0395468,0.0495278,
70,sat_enc1_opt1_15_d,0.0221563,0.0405281,0.0464482,
71,sat_enc1_opt1_15,0.0211452,0.0445192,0.0514683,
72,sat_enc1_opt1_15_p,0.0267123,0.0432154,0.0643151,
73,sat_enc1_opt2_4_d,0.0128425,0.0220356,0.0345663,
74,sat_enc1_opt2_4,0.0139284,0.0291193,0.0394547,
75,sat_enc1_opt2_4_p,0.0136119,0.0257007,0.0530912,
76,sat_enc1_opt2_12_d,0.0101695,0.020444,0.0265138,
77,sat_enc1_opt2_12,0.0122019,0.0216497,0.0340711,
78,sat_enc1_opt2_12_p,0.0109771,0.0170103,0.0353431,
79,sat_enc1_opt2_16_d,0.0123961,0.0213104,0.02924,
80,sat_enc1_opt2_16,0.00996371,0.0220933,0.0267262,
81,sat_enc1_opt2_16_p,0.00802658,0.0168986,0.0333607,
82,sat_enc2_opt1_05_d,0.0193932,0.0330752,0.037882,
