id,dataset,total_hyperedges,k=2,k=3,k=4,
0,sat_10pipe_d,2082017,24972,29414,47316,
1,sat_10pipe,155278,82830,149040,177254,
2,sat_10pipe_p,77639,62837,155027,188246,
3,sat_11pipe_d,5584003,46720,64659,77565,
4,sat_11pipe,178630,58611,294492,535413,
5,sat_11pipe_p,89315,214473,426479,724173,
6,sat_11pipe_kd,3007883,26616,45294,53207,
7,sat_11pipe_k,208488,76563,192111,174243,
8,sat_11pipe_kp,104244,186481,211575,305101,
9,sat_6s10_d,99184,838,1624,1716,
10,sat_6s10,67800,2836,6376,6370,
11,sat_6s10_p,33900,5493,6421,8566,
12,sat_6s11_d,97312,1553,1359,2658,
13,sat_6s11,66552,4430,6349,7652,
14,sat_6s11_p,33276,5713,6413,10282,
15,sat_6s12_d,99580,1150,1791,2403,
16,sat_6s12,68066,5055,6616,8624,
17,sat_6s12_p,34033,5248,6512,8254,
18,sat_130_d,144361,756,975,1560,
19,sat_130,98654,1895,5061,5950,
20,sat_130_p,49327,4020,5624,7679,
21,sat_131_d,144226,860,1325,1979,
22,sat_131,98564,2600,5306,8663,
23,sat_131_p,49282,5196,3535,10446,
24,sat_133_d,140968,766,1448,1433,
25,sat_133,96430,2233,4910,6483,
26,sat_133_p,48215,4060,5559,7915,
27,sat_153_d,245440,94,415,458,
28,sat_153,171292,269,1015,1141,
29,sat_153_p,85646,769,1658,2013,
30,sat_16_d,91888,948,1334,2371,
31,sat_16,62966,4582,5642,8441,
32,sat_16_p,31483,6366,7933,10504,
33,sat_184_d,97516,992,2276,2452,
34,sat_184,66730,3010,7768,8874,
35,sat_184_p,33365,5928,9046,8931,
36,sat_9_d,100384,657,1678,2372,
37,sat_9,68634,5197,5739,9003,
38,sat_9_p,34317,4779,6748,7408,
39,sat_9dlx_d,968295,14628,16754,22934,
40,sat_9dlx,139578,37022,112841,119020,
41,sat_9dlx_p,69789,67958,139615,140837,
42,sat_bug7,1042294,367093,836271,1309366,
43,sat_bug8_d,13378617,73590,119370,167256,
44,sat_bug8,1042358,354839,695726,1091739,
45,sat_bug8_p,521179,421481,1483872,1983845,
46,sat_aaai_d,308235,1906,3866,4177,
47,sat_aaai,107838,6058,5958,8409,
48,sat_aaai_p,53919,4583,6687,8554,
49,sat_ACG_10p_d,1632906,2378,6486,7302,
50,sat_ACG_10p,763416,8533,14089,16496,
51,sat_ACG_10p_p,381708,5484,22346,16201,
52,sat_ACG_5p0_d,1390931,2357,5405,6717,
53,sat_ACG_5p0,649432,6231,12413,14893,
54,sat_ACG_5p0_p,324716,7706,14907,14266,
55,sat_ACG_5p1_d,1416850,2190,7377,6906,
56,sat_ACG_5p1,662392,7184,13198,15391,
57,sat_ACG_5p1_p,331196,8550,14557,19700,
58,sat_01_d,28770,564,1025,1693,
59,sat_01,15004,1352,2605,3275,
60,sat_01_p,7502,1219,2104,3410,
61,sat_27_d,29194,975,1082,1585,
62,sat_27,15458,3469,4741,6049,
63,sat_27_p,7729,3580,5505,5629,
64,sat_enc1_opt1_05_d,561784,2745,3792,5405,
65,sat_enc1_opt1_05,118700,4499,6760,8360,
66,sat_enc1_opt1_05_p,59517,6552,10341,11463,
67,sat_enc1_opt1_10_d,270831,1892,2332,3334,
68,sat_enc1_opt1_10,93632,3773,5808,6827,
69,sat_enc1_opt1_10_p,46993,6273,9197,10262,
70,sat_enc1_opt1_15_d,644099,2689,3622,5060,
71,sat_enc1_opt1_15,122885,4427,6832,8099,
72,sat_enc1_opt1_15_p,61642,6943,10490,11321,
73,sat_enc1_opt2_4_d,386163,981,1348,2536,
74,sat_enc1_opt2_4,28738,357,774,978,
75,sat_enc1_opt2_4_p,14636,600,1005,1446,
76,sat_enc1_opt2_12_d,147853,501,1035,1006,
77,sat_enc1_opt2_12,18634,382,729,817,
78,sat_enc1_opt2_12_p,9495,889,1105,1731,
