id,dataset,k=2,k=3,k=4,hedges
0,sat_10pipe_d,2300,4224,5211,77639
1,sat_10pipe,57987,81621,157841,2082017
2,sat_10pipe_p,105125,155061,212435,2082017
3,sat_11pipe_d,2177,3924,6480,89315
4,sat_11pipe,53865,178702,363258,5584003
5,sat_11pipe_p,288032,337083,903157,5584003
6,sat_11pipe_kd,2832,5474,6019,104244
7,sat_11pipe_k,69340,118134,214782,3007883
8,sat_11pipe_kp,144937,210241,309896,3007883
9,sat_6s10_d,390,595,740,33900
10,sat_6s10,2649,3976,4804,99184
11,sat_6s10_p,2722,4028,4788,99184
12,sat_6s11_d,391,591,750,33276
13,sat_6s11,2542,4007,4627,97312
14,sat_6s11_p,2834,3815,5053,97312
15,sat_6s12_d,361,555,688,34033
16,sat_6s12,2418,3795,4748,99580
17,sat_6s12_p,2454,3810,4754,99580
18,sat_130_d,301,418,563,49327
19,sat_130,1589,2938,3789,144361
20,sat_130_p,1607,2229,3988,144361
21,sat_131_d,273,469,629,49282
22,sat_131,1607,2896,3596,144226
23,sat_131_p,1499,2915,3460,144226
24,sat_133_d,310,535,682,48215
25,sat_133,2027,3352,4378,140968
26,sat_133_p,2020,3569,4393,140968
27,sat_153_d,75,213,313,85646
28,sat_153,157,466,826,245440
29,sat_153_p,149,462,786,245440
30,sat_16_d,395,596,776,31483
31,sat_16,2202,3717,4381,91888
32,sat_16_p,2393,3483,4428,91888
33,sat_184_d,478,728,818,33365
34,sat_184,2633,3926,5224,97516
35,sat_184_p,2690,3985,4677,97516
36,sat_9_d,402,620,748,34317
37,sat_9,2419,3724,4586,100384
38,sat_9_p,2507,3678,4603,100384
39,sat_9dlx_d,939,976,1105,69789
40,sat_9dlx,32921,73031,81379,968295
41,sat_9dlx_p,55428,99094,118161,968295
42,sat_bug7,357185,869093,925920,13378010
43,sat_bug8_d,4090,8577,16247,521179
44,sat_bug8,351861,854946,916384,13378617
45,sat_bug8_p,349047,1271930,1679647,13378617
46,sat_aaai_d,801,1341,1657,53919
47,sat_aaai,2311,3436,3889,308235
48,sat_aaai_p,2568,4309,4771,308235
49,sat_ACG_10p_d,1852,1896,3465,381708
50,sat_ACG_10p,3774,4648,10416,1632906
51,sat_ACG_10p_p,4170,5006,10679,1632906
52,sat_ACG_5p0_d,1667,2334,3383,324716
53,sat_ACG_5p0,3866,7502,9511,1390931
54,sat_ACG_5p0_p,4272,7017,9829,1390931
55,sat_ACG_5p1_d,1412,2290,3454,331196
56,sat_ACG_5p1,4077,7123,10303,1416850
57,sat_ACG_5p1_p,4223,7290,10529,1416850
58,sat_01_d,244,537,611,7502
59,sat_01,1098,2114,2552,28770
60,sat_01_p,1125,1992,2648,28770
61,sat_27_d,127,199,202,7729
62,sat_27,2814,4114,4485,29194
63,sat_27_p,3367,4868,5406,29194
64,sat_enc1_opt1_05_d,720,1055,1211,59517
65,sat_enc1_opt1_05,1039,1579,1755,561784
66,sat_enc1_opt1_05_p,1595,2284,2718,561784
67,sat_enc1_opt1_10_d,587,796,908,46993
68,sat_enc1_opt1_10,795,1129,1328,270831
69,sat_enc1_opt1_10_p,1278,1766,2097,270831
70,sat_enc1_opt1_15_d,792,1146,1222,61642
71,sat_enc1_opt1_15,969,1259,1564,644099
72,sat_enc1_opt1_15_p,1746,2429,2771,644099
73,sat_enc1_opt2_4_d,552,805,858,14636
74,sat_enc1_opt2_4,281,389,415,386163
75,sat_enc1_opt2_4_p,474,835,819,386163
76,sat_enc1_opt2_12_d,412,583,691,9495
77,sat_enc1_opt2_12,543,686,845,147853
78,sat_enc1_opt2_12_p,744,1074,1176,147853
79,sat_enc1_opt2_16_d,431,590,732,9643
80,sat_enc1_opt2_16,351,740,519,152744
81,sat_enc1_opt2_16_p,786,1054,1042,152744
82,sat_enc2_opt1_05_d,672,972,1165,56533
83,sat_enc2_opt1_05,970,1522,1677,526872
84,sat_enc2_opt1_05_p,1595,2353,2669,526872
85,sat_enc2_opt1_15_d,711,948,1114,58752
86,sat_enc2_opt1_15,972,1345,1702,580963
87,sat_enc2_opt1_15_p,1669,2315,2707,580963
88,sat_enc3_opt1_50_d,2903,3924,4458,1613160
89,sat_enc3_opt1_50,2700,4824,6701,6429816
90,sat_enc3_opt1_50_p,1740,3449,4659,6429816
91,sat_enc3_opt2_21_d,2602,3415,4361,1484061
92,sat_enc3_opt2_21,760,2671,4016,5933456
93,sat_enc3_opt2_21_p,343,3432,3436,5933456
94,sat_enc3_opt2_12_d,1676,2910,2992,1236271
95,sat_enc3_opt2_12,705,3619,3742,4932603
96,sat_enc3_opt2_12_p,813,4207,4080,4932603
97,sat_enc3_opt2_14_d,1672,2575,2869,1240678
98,sat_enc3_opt2_14,836,3662,3757,4950217
99,sat_enc3_opt2_14_p,684,3868,3985,4950217
100,sat_blocks_d,1481,2962,4443,559571
101,sat_blocks,9937,19897,29810,10223027
102,sat_blocks_p,9955,19910,39820,10223027
103,sat_bob-opt_d,98,125,159,51144
104,sat_bob-opt,468,885,1135,152446
105,sat_bob-opt_p,462,739,1218,152446
106,sat_bob_d,283,777,683,26294
107,sat_bob,2217,2717,3964,77920
108,sat_bob_p,2339,2752,4355,77920
109,sat_c10_d,632,1264,1289,133998
110,sat_c10,5133,10795,11848,398467
111,sat_c10_p,5385,10121,11288,398467
112,sat_count_d,104,183,266,18607
113,sat_count,390,591,972,55724
114,sat_count_p,331,629,882,55724
115,sat_ctl_d,720,1054,1457,8806
116,sat_ctl,0,20,2116,90812
117,sat_ctl_p,0,40,4177,90812
118,sat_ctl_5_d,2142,2705,3664,15232
119,sat_ctl_5,4170,7861,10959,134756
120,sat_ctl_5_p,4170,7965,10771,134756
121,sat_dated_11_d,1817,2564,2998,141860
122,sat_dated_11,4365,6429,7327,629461
123,sat_dated_11_p,6027,8754,10405,629461
124,sat_dated_17_d,2721,4238,4771,229544
125,sat_dated_17,7080,9565,11083,1070757
126,sat_dated_17_p,9759,12517,15631,1070757
127,sat_E02F20_d,309,387,480,10420
128,sat_E02F20,190,6357,8998,395383
129,sat_E02F20_p,190,7287,9124,395383
130,sat_E02F22_d,325,461,581,13574
131,sat_E02F22,231,8365,13876,1301188
132,sat_E02F22_p,231,11200,13594,1301188
133,sat_gss-18_d,116,237,299,31364
134,sat_gss-18,1357,1845,2465,94269
135,sat_gss-18_p,1333,1868,2340,94269
136,sat_gss-19_d,124,193,296,31435
137,sat_gss-19,1370,2324,2578,94548
138,sat_gss-19_p,1372,2125,2500,94548
139,sat_gss-20_d,104,263,291,31503
140,sat_gss-20,1433,2307,2471,94748
141,sat_gss-20_p,1339,2094,2415,94748
142,sat_gss-22_d,128,237,310,31616
143,sat_gss-22,1445,2246,2562,95110
144,sat_gss-22_p,1328,2205,2524,95110
145,sat_k45_d,150,285,398,163622
146,sat_k45,304,626,917,488120
147,sat_k45_p,326,604,926,488120
148,sat_itox_d,38,245,282,152256
149,sat_itox,41,1214,2878,441729
150,sat_itox_p,16,1185,2655,441729
151,sat_k2fix_d,3026,4117,4006,11313
152,sat_k2fix,0,0,0,305160
153,sat_k2fix_p,3023,1306,7668,305160
154,sat_manol_c10_i_d,1041,1453,1798,252516
155,sat_manol_c10_i,7412,9985,14027,750877
156,sat_manol_c10_i_p,5945,9530,13928,750877
157,sat_manol_c10_d,1417,2399,2684,433601
158,sat_manol_c10,8724,16489,21281,1291714
159,sat_manol_c10_p,8682,16699,23144,1291714
160,sat_manol_c8_d,1097,1745,1974,269048
161,sat_manol_c8,6298,11932,14871,799867
162,sat_manol_c8_p,5882,9769,14875,799867
163,sat_manol_g10_i_d,1043,1507,1843,266405
164,sat_manol_g10_i,7890,9274,16093,792175
165,sat_manol_g10_i_p,6316,13777,13805,792175
166,sat_MD5-28-1_d,512,686,787,8282
167,sat_MD5-28-1,3559,5439,6688,62558
168,sat_MD5-28-1_p,3512,5349,6652,62558
169,sat_MD5-28-2_d,534,662,803,8281
170,sat_MD5-28-2,3989,5711,6883,62554
171,sat_MD5-28-2_p,3914,5639,6732,62554
172,sat_MD5-28-4_d,487,665,777,8281
173,sat_MD5-28-4,3924,5760,6781,62544
174,sat_MD5-28-4_p,3856,5884,6575,62544
175,sat_MD5-29-4_d,574,755,831,8590
176,sat_MD5-29-4,4040,5879,6658,65312
177,sat_MD5-29-4_p,4049,6445,7032,65312
178,sat_MD5-30-4_d,517,769,927,8905
179,sat_MD5-30-4,4402,6494,6764,68106
180,sat_MD5-30-4_p,4614,6234,7086,68106
181,sat_MD5-30-5_d,513,802,905,8905
182,sat_MD5-30-5,4410,6408,6935,68103
183,sat_MD5-30-5_p,4459,6085,6909,68103
184,sat_min_d,865,1226,1457,249327
185,sat_min,2298,15753,25738,746444
186,sat_min_p,2283,13282,24662,746444
187,sat_p30_d,188,386,571,324116
188,sat_p30,3334,7141,10136,1643601
189,sat_p30_p,4279,8566,14562,1643601
190,sat_p30_NOT_d,185,1341,2063,95456
191,sat_p30_NOT,3479,6951,10705,483561
192,sat_p30_NOT_p,4279,10405,17880,483561
193,sat_non_p30_d,188,386,571,324116
194,sat_non_p30,3334,7141,10136,1643601
195,sat_non_p30_p,4279,8566,14562,1643601
196,sat_post_d,388,503,804,276895
197,sat_post,1270,1479,1927,1607567
198,sat_post_p,1322,2057,2446,1607567
199,sat_post-ee_d,306,411,717,266199
200,sat_post-ee,879,1475,1582,1575975
201,sat_post-ee_p,1339,2352,3779,1575975
202,sat_L100_d,369,1372,1843,315617
203,sat_L100,85271,126735,144357,1522583
204,sat_L100_p,80937,143670,162120,1522583
205,sat_L150_d,375,2638,2762,486992
